timeframe_min,arm,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r
15,joint,2736,749,1987,0,0.2737573099415205,0.25737563291444526,0.2907734046924652,0.28362573099415206,0.02418725193242265,66.17632128710837,-1.0759034749034755,-4.975603852947959,15.024396147052043,1.0319400867849045,2.8545601265185625,-1.042722301698689,78.61485477178441,-2.0886936416184967,442.03496747148876,12.612481725146198,7.25,174.47428147147053,2461,1739,30,89,38,1390,1633,64,2649,1653,1900,17,1745,791,996,4,1326,447,578,6,877,126,148,2,580,34,34,2,283,8,8,0,88,1,1,0
15,v9_both,5842,1570,4272,0,0.2687435809654228,0.25753060171174635,0.28026048978373275,0.27901403628894217,-0.08650475473143221,-505.360777141027,-1.0767276485788106,-23.54449266196437,-3.5444926619643664,0.8862129946928684,2.506959543876703,-1.0396271678435043,80.7416571428571,-2.8925263157896213,1015.1851079843606,14.098553577541937,8.25,171.0803114653135,5112,3658,73,153,45,2915,3518,126,5668,3486,4098,28,3756,1690,2186,8,2803,908,1236,13,1761,222,279,3,1106,49,50,4,488,10,10,1,120,1,1,1
60,joint,656,249,407,0,0.3795731707317073,0.34324039421092734,0.4173081468463816,0.38414634146341464,0.589337724708446,386.6055474087406,-1.028348076923077,133.2737228416074,153.27372284160742,1.9517312528052675,3.1840099774270874,-0.9980661842029591,49.90969230769294,-1.3708453608247366,66.0501353895736,52.84146341463415,43.0,342.1130961705955,606,367,3,39,11,329,367,21,650,361,401,1,483,201,234,3,385,112,136,4,278,33,37,1,208,2,2,1,123,0,0,0,39,0,0,0
60,v9_both,1281,441,840,0,0.3442622950819672,0.3187441119701519,0.37071173704377475,0.34894613583138173,0.2637806976337191,337.90307366879415,-1.0325940594059388,43.47920696331983,63.47920696331984,1.4085418672155907,2.6417197538901247,-0.9846373069008936,49.90969230769294,-1.3708453608247366,172.58202800143692,60.20843091334895,45.0,334.354595418412,1134,722,7,47,13,652,768,30,1270,711,829,5,891,357,450,5,692,188,254,5,466,42,46,1,316,2,2,1,157,0,0,0,41,0,0,0
