state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r,never_armed_executed
aligned,47,46,-30.423771443465814,-10.423771443465807,3,43,6,29,25.0,58.58695652173913,4,0,6,7,-0.3649230786783466,0
opposite,0,0,,,0,0,0,0,,,0,0,0,0,,0
unknown,0,0,,,0,0,0,0,,,0,0,0,0,,0
