outcome,direction,fold,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
hard_stop,-1,2023H1,1,-62.20226111197212,-62.20226111197212,-62.20226111197212,0.0,False,0.0,1,0
hard_stop,-1,2024H2,1,-63.91504018369741,-63.91504018369741,-63.91504018369741,0.0,False,0.0,1,0
hard_stop,1,2023H1,2,-60.73552169551908,-60.73552169551908,-121.47104339103817,0.0,False,0.0,2,0
transition_colour_exit,-1,2023H1,6,-41.270104728469875,-45.104428085237494,-247.62062837081925,0.0,False,0.0,6,0
transition_colour_exit,-1,2023H2,7,-38.90648227025561,-29.851858463838514,-272.3453758917892,0.0,False,0.0,7,0
transition_colour_exit,-1,2024H1,8,-40.1809730661949,-44.254663837094405,-321.4477845295592,0.0,False,0.0,8,0
transition_colour_exit,-1,2024H2,2,-24.79628082178163,-24.79628082178163,-49.59256164356326,0.0,False,0.0,2,0
transition_colour_exit,1,2023H1,3,-60.67535192650203,-60.95426402887625,-182.02605577950607,0.0,False,0.0,3,0
transition_colour_exit,1,2023H2,5,-16.10231454381104,-17.867325487677093,-80.51157271905521,0.0,False,0.0,5,0
transition_colour_exit,1,2024H1,4,38.30524259901409,0.22142143286054197,153.22097039605637,2.481113792013782,False,0.5,2,0
transition_colour_exit,1,2024H2,7,-21.65459045349766,-23.32831398170419,-151.58213317448366,0.1850178483320981,False,0.14285714285714285,6,0
