direction,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
-1,30,-28.821628362925555,-32.52256546263375,-864.6488508877666,0.08580192382334527,False,0.1,27,0
1,25,-14.80160779788962,-27.0336391437309,-370.04019494724054,0.46366079286888046,False,0.2,20,0
