event_id,flat_minutes,flat_bars,flat_stop_touched,flat_first_stop_touch_open_time
2023-01-23T10:00:00+00:00_L,50.0,10,True,2023-01-23 14:05:00+00:00
2023-02-23T11:00:00+00:00_S,70.0,14,False,
2023-03-11T01:00:00+00:00_L,0.0,0,False,
2023-03-11T07:00:00+00:00_S,0.0,0,False,
2023-04-09T06:00:00+00:00_S,20.0,4,False,
2023-04-14T15:00:00+00:00_S,140.0,28,False,
2023-05-22T13:00:00+00:00_L,0.0,0,False,
2023-06-12T13:00:00+00:00_S,0.0,0,False,
2023-06-13T15:00:00+00:00_S,70.0,14,False,
2023-06-25T03:00:00+00:00_L,180.0,36,True,2023-06-25 09:20:00+00:00
2023-06-25T11:00:00+00:00_L,0.0,0,False,
2023-06-25T14:00:00+00:00_S,0.0,0,False,
2023-07-10T12:00:00+00:00_S,135.0,27,True,2023-07-10 14:15:00+00:00
2023-07-13T13:00:00+00:00_L,0.0,0,False,
2023-07-26T12:00:00+00:00_L,0.0,0,False,
2023-08-12T14:00:00+00:00_L,185.0,37,True,2023-08-12 21:45:00+00:00
2023-08-29T06:00:00+00:00_S,5.0,1,False,
2023-09-06T07:00:00+00:00_S,50.0,10,False,
2023-09-07T11:00:00+00:00_S,0.0,0,False,
2023-10-06T12:00:00+00:00_S,0.0,0,False,
2023-10-08T15:00:00+00:00_S,15.0,3,False,
2023-11-15T11:00:00+00:00_L,0.0,0,False,
2023-11-21T11:00:00+00:00_S,5.0,1,False,
2023-12-25T21:00:00+00:00_L,55.0,11,False,
2024-02-18T14:00:00+00:00_L,0.0,0,False,
2024-02-29T19:00:00+00:00_L,90.0,18,False,
2024-03-02T20:00:00+00:00_S,0.0,0,False,
2024-03-12T16:00:00+00:00_S,35.0,7,False,
2024-03-16T01:00:00+00:00_S,0.0,0,False,
2024-03-29T07:00:00+00:00_S,15.0,3,False,
2024-04-19T01:00:00+00:00_S,130.0,26,False,
2024-05-07T08:00:00+00:00_L,0.0,0,False,
2024-05-20T06:00:00+00:00_S,0.0,0,False,
2024-05-30T06:00:00+00:00_S,0.0,0,False,
2024-06-04T10:00:00+00:00_L,0.0,0,False,
2024-06-10T12:00:00+00:00_S,5.0,1,False,
2024-07-07T13:00:00+00:00_S,30.0,6,False,
2024-08-16T09:00:00+00:00_L,5.0,1,False,
2024-08-20T15:00:00+00:00_S,125.0,25,True,2024-08-20 19:40:00+00:00
2024-09-21T22:00:00+00:00_L,0.0,0,False,
2024-09-22T22:00:00+00:00_L,0.0,0,False,
2024-10-19T14:00:00+00:00_L,5.0,1,False,
2024-10-31T01:00:00+00:00_L,0.0,0,False,
2024-11-04T10:00:00+00:00_L,0.0,0,False,
2024-11-30T10:00:00+00:00_S,5.0,1,False,
2024-12-06T17:00:00+00:00_L,60.0,12,False,
2024-12-14T20:00:00+00:00_S,300.0,60,True,2024-12-14 23:30:00+00:00
