event_id,mother_decision_time,episode_net_return_before,executed_before,episode_status_before,episode_net_return_after,executed_after,episode_status_after,difference,missed_net_winner,avoided_net_loser,entry_time_before,entry_price_before,initial_stop_before,risk_pct_before,risk_atr_before,exit_time_before,outcome_before,net_return_before,hold_minutes_before,entry_time_after,entry_price_after,initial_stop_after,risk_pct_after,risk_atr_after,exit_time_after,outcome_after,net_return_after,hold_minutes_after,direction,same_executed,participation_changed,entry_delay_minutes,directional_entry_change_bp,former_winner_now_nonpositive,former_loser_now_positive,original_k2_ltf_state
2023-01-23T10:00:00+00:00_L,2023-01-23 11:00:00+00:00,-0.003013469047514537,True,hard_stop,-0.007607403169667569,True,hard_stop,-0.004593934122153032,False,False,2023-01-23 14:00:00+00:00,22793.0,22769.9,0.001013469047514524,0.14571377998719862,2023-01-23 14:10:00+00:00,hard_stop,-0.003013469047514537,10.0,2023-01-23 14:50:00+00:00,22898.3,22769.9,0.005607403169667522,0.8099415303184918,2023-01-23 15:00:00+00:00,hard_stop,-0.007607403169667569,10.0,1,True,False,50.0,46.198394243845975,False,False,opposite
2023-02-23T11:00:00+00:00_S,2023-02-23 12:00:00+00:00,-0.001183697268301141,True,transition_colour_exit,-0.004415045146302308,True,transition_colour_exit,-0.0032313478780011673,False,False,2023-02-23 14:00:00+00:00,24010.7,24271.9,0.010878483342843012,1.2675030645097567,2023-02-23 15:30:00+00:00,transition_colour_exit,-0.001183697268301141,90.0,2023-02-23 15:10:00+00:00,23933.3,24271.9,0.014147652016228527,1.6430954733652572,2023-02-23 15:30:00+00:00,transition_colour_exit,-0.004415045146302308,20.0,-1,True,False,70.0,32.23562828239102,False,False,opposite
2023-03-07T01:00:00+00:00_L,2023-03-07 02:00:00+00:00,-0.003100904346120646,True,hard_stop,0.0,False,expired_no_alignment,0.003100904346120646,False,True,2023-03-07 07:00:00+00:00,22436.1,22411.4,0.001100904346120631,0.29031342292728846,2023-03-07 08:10:00+00:00,hard_stop,-0.003100904346120646,70.0,,,,,,,,,,1,False,True,,,False,False,opposite
2023-04-09T06:00:00+00:00_S,2023-04-09 07:00:00+00:00,-0.001656233102603653,True,transition_colour_exit,-0.0025878157269381124,True,transition_colour_exit,-0.0009315826243344594,False,False,2023-04-09 13:00:00+00:00,27925.9,27997.2,0.0025531853942039207,0.9212639779568615,2023-04-09 14:15:00+00:00,transition_colour_exit,-0.001656233102603653,75.0,2023-04-09 13:20:00+00:00,27899.9,27997.2,0.003487467697016809,1.257208766552635,2023-04-09 14:15:00+00:00,transition_colour_exit,-0.0025878157269381124,55.0,-1,True,False,20.0,9.310353471150279,False,False,opposite
2023-04-14T15:00:00+00:00_S,2023-04-14 16:00:00+00:00,-0.00307087483247037,True,transition_colour_exit,-0.004813471758337682,True,transition_colour_exit,-0.0017425969258673124,False,False,2023-04-14 21:00:00+00:00,30442.4,30620.4,0.005847107980973904,0.8389303997533699,2023-04-14 23:55:00+00:00,transition_colour_exit,-0.00307087483247037,175.0,2023-04-14 23:20:00+00:00,30389.5,30620.4,0.007598019052633359,1.088252973612665,2023-04-14 23:55:00+00:00,transition_colour_exit,-0.004813471758337682,35.0,-1,True,False,140.0,17.37707933671451,False,False,opposite
2023-06-13T15:00:00+00:00_S,2023-06-13 16:00:00+00:00,-0.00344078860965835,True,transition_colour_exit,-0.004672411125893559,True,transition_colour_exit,-0.001231622516235209,False,False,2023-06-13 19:00:00+00:00,25888.6,25985.0,0.0037236467016370702,0.5854629062106012,2023-06-13 20:35:00+00:00,transition_colour_exit,-0.00344078860965835,95.0,2023-06-13 20:10:00+00:00,25856.8,25985.0,0.004958076792178488,0.7785927860601489,2023-06-13 20:35:00+00:00,transition_colour_exit,-0.004672411125893559,25.0,-1,True,False,70.0,12.283398870545081,False,False,opposite
2023-06-25T03:00:00+00:00_L,2023-06-25 04:00:00+00:00,-0.006037072098008743,True,hard_stop,-0.003914155964646724,True,transition_colour_exit,0.0021229161333620183,False,False,2023-06-25 09:00:00+00:00,30740.1,30616.0,0.004037072098008743,0.7780814867675508,2023-06-25 09:25:00+00:00,hard_stop,-0.006037072098008743,25.0,2023-06-25 12:00:00+00:00,30718.5,30616.0,0.003336751468984488,0.6426539274268727,2023-06-25 12:50:00+00:00,transition_colour_exit,-0.003914155964646724,50.0,1,True,False,180.0,-7.026652483238527,False,False,opposite
2023-07-10T12:00:00+00:00_S,2023-07-10 13:00:00+00:00,-0.004575723967144672,True,hard_stop,-0.0029851858463838515,True,transition_colour_exit,0.0015905381207608205,False,False,2023-07-10 14:00:00+00:00,30205.1,30282.9,0.002575723967144718,0.7448748898329428,2023-07-10 14:20:00+00:00,hard_stop,-0.004575723967144672,20.0,2023-07-10 16:15:00+00:00,30248.1,30282.9,0.001150485485038826,0.33318311267593326,2023-07-10 16:20:00+00:00,transition_colour_exit,-0.0029851858463838515,5.0,-1,True,False,135.0,-14.236006502212906,False,False,opposite
2023-07-26T02:00:00+00:00_L,2023-07-26 03:00:00+00:00,-0.001684832207407892,True,transition_colour_exit,0.0,False,expired_no_alignment,0.001684832207407892,False,True,2023-07-26 10:00:00+00:00,29190.8,29130.7,0.002058867862477169,0.6196208063371106,2023-07-26 11:30:00+00:00,transition_colour_exit,-0.001684832207407892,90.0,,,,,,,,,,1,False,True,,,False,False,opposite
2023-08-11T15:00:00+00:00_S,2023-08-11 16:00:00+00:00,-0.002135892644810509,True,transition_colour_exit,0.0,False,expired_no_alignment,0.002135892644810509,False,True,2023-08-12 00:00:00+00:00,29435.0,29520.0,0.002887718702225242,1.0176907213846553,2023-08-12 00:30:00+00:00,transition_colour_exit,-0.002135892644810509,30.0,,,,,,,,,,-1,False,True,,,False,False,opposite
