group,n,known,old_mean_net_bp,new_mean_net_bp,mean_delta_bp,sum_delta_event_bp
loss_to_loss,170,170,-53.60025431911824,-69.87046498866374,-16.27021066954552,-2765.9358138227385
loss_to_win,19,19,-24.022755461111466,127.62749221882295,151.6502476799344,2881.354705918754
win_to_loss,17,17,43.72616395503245,-37.344644321746536,-81.07080827677899,-1378.2037407052428
win_to_win,45,45,116.31480450362837,131.2369587888077,14.922154285179305,671.4969428330687
