arm,population,mg_entry_state,n
baseline,case,aligned,247
baseline,case,opposite,4
baseline,control,aligned,453
baseline,control,opposite,9
candidate,case,aligned,219
candidate,case,opposite,32
candidate,control,aligned,400
candidate,control,opposite,62
