stage,factor,value,params_key,ma_profile,transition_min_votes,runner_buffer_atr,bank_total_fraction,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,p95_net_bp,positive_folds,total_folds,minimum_fold_events,signals_per_30d,runner_armed_events,runner_armed_share,top_decile_positive_pnl_share,robust_score_bp,eligible,stage_selected
1,ma_profile,ema20_sma50,4c60f02ee7d5,ema20_sma50,0,1.0,0.1,34,-2.5172528971150037,-22.517252897115004,-29.041547115899995,0.11764705882352941,0.19939768494579438,-0.46208493190746125,-0.47844156561861806,12.0,-1.238205390176793,89.57307767499124,0.32227902562163857,40.80881930406396,0,5,5,6.8,13,0.38235294117647056,1.0,-19.2955597015025,True,True
1,ma_profile,ema30_sma60,2b531ffbf9f3,ema30_sma60,0,1.0,0.1,29,-7.851730837575935,-27.85173083757594,-33.13759688916005,0.10344827586206896,0.144906050557659,-0.3987601800253846,-0.4142300657752742,13.0,-4.930662197154245,74.5252127664681,0.3940679433914578,35.08705836351755,1,5,5,5.8,10,0.3448275862068966,1.0,-36.32243645724644,True,False
1,ma_profile,ema40_sma80,b8ee18a016b4,ema40_sma80,0,1.0,0.1,25,4.077213597571317,-15.922786402428684,-31.679558794140956,0.2,0.41992342693728674,-0.34402274218335505,-0.3599140049871391,25.0,36.380141130908314,132.11085513966043,0.4805915758490359,64.33568896260282,1,5,4,5.0,7,0.28,0.8453876920318748,-38.92771051713544,True,False
2,transition_min_votes,0,4c60f02ee7d5,ema20_sma50,0,1.0,0.1,34,-2.5172528971150037,-22.517252897115004,-29.041547115899995,0.11764705882352941,0.19939768494579438,-0.46208493190746125,-0.47844156561861806,12.0,-1.238205390176793,89.57307767499124,0.32227902562163857,40.80881930406396,0,5,5,6.8,13,0.38235294117647056,1.0,-19.2955597015025,True,True
2,transition_min_votes,1,e1cffc5451cb,ema20_sma50,1,1.0,0.1,34,-2.5172528971150037,-22.517252897115004,-29.041547115899995,0.11764705882352941,0.19939768494579438,-0.46208493190746125,-0.47844156561861806,12.0,-1.238205390176793,89.57307767499124,0.32227902562163857,40.80881930406396,0,5,5,6.8,13,0.38235294117647056,1.0,-19.2955597015025,True,False
2,transition_min_votes,2,fd09fcb243f1,ema20_sma50,2,1.0,0.1,33,-4.00571558465516,-24.005715584655164,-29.167762082804565,0.12121212121212122,0.17942579063741812,-0.47319649276255615,-0.48732670387085986,10.0,-0.6069725739178418,81.60818303804213,0.3174398191177732,39.01781363178903,0,5,5,6.6,13,0.3939393939393939,1.0,-21.680136322043563,True,False
3,runner_buffer_atr,0.75,900728d9c535,ema20_sma50,0,0.75,0.1,34,-1.7863921317221905,-21.786392131722195,-29.041547115899995,0.11764705882352941,0.21406256832284942,-0.4542552238859243,-0.4709709146376312,11.5,1.0586621094710242,90.24669776907407,0.311945548366511,44.5429949385788,0,5,5,6.8,13,0.38235294117647056,1.0,-18.52825695065772,True,False
3,runner_buffer_atr,1.0,4c60f02ee7d5,ema20_sma50,0,1.0,0.1,34,-2.5172528971150037,-22.517252897115004,-29.041547115899995,0.11764705882352941,0.19939768494579438,-0.46208493190746125,-0.47844156561861806,12.0,-1.238205390176793,89.57307767499124,0.32227902562163857,40.80881930406396,0,5,5,6.8,13,0.38235294117647056,1.0,-19.2955597015025,True,True
3,runner_buffer_atr,1.25,90b459e52a1b,ema20_sma50,0,1.25,0.1,34,-3.382291017776596,-23.3822910177766,-29.218067363524927,0.08823529411764706,0.18591076561885345,-0.47058965586896384,-0.48657027419175813,12.0,-3.521461735390848,88.89945758090943,0.34013685151726314,37.074643669550476,0,5,5,6.8,13,0.38235294117647056,1.0000000000000002,-20.86093549401068,True,False
3,runner_buffer_atr,1.5,ff5f91c20533,ema20_sma50,0,1.5,0.1,34,-4.226199459692496,-24.2261994596925,-30.419794638771737,0.08823529411764706,0.17385968008058583,-0.4787353090881493,-0.4943996353231713,12.0,-5.535118105600448,88.48932498487805,0.3192724006683435,33.340468035037006,0,5,5,6.8,13,0.38235294117647056,1.0000000000000002,-22.675857464586056,True,False
4,bank_total_fraction,0.05,29509ecc8b9d,ema20_sma50,0,1.0,0.05,34,-2.6301182941791117,-22.630118294179113,-29.041547115899995,0.11764705882352941,0.19969601174152796,-0.46372022052272566,-0.4803341476981774,12.0,-1.690458945741741,91.31343156141993,0.31997497185942064,40.769998145945046,0,5,5,6.8,13,0.38235294117647056,1.0000000000000002,-19.459657334209844,True,False
4,bank_total_fraction,0.1,4c60f02ee7d5,ema20_sma50,0,1.0,0.1,34,-2.5172528971150037,-22.517252897115004,-29.041547115899995,0.11764705882352941,0.19939768494579438,-0.46208493190746125,-0.47844156561861806,12.0,-1.238205390176793,89.57307767499124,0.32227902562163857,40.80881930406396,0,5,5,6.8,13,0.38235294117647056,1.0,-19.2955597015025,True,True
4,bank_total_fraction,0.15,ba1313c69bd0,ema20_sma50,0,1.0,0.15,34,-2.4043875000508916,-22.40438750005089,-28.955440290558116,0.11764705882352941,0.19909612654952075,-0.46044562722492255,-0.4765428496923668,12.0,-0.78595183461184,87.83272378856257,0.3245830793838566,40.84764046218287,0,5,5,6.8,13,0.38235294117647056,1.0,-19.356829906013978,True,False
