arm,symbol,timeframe_min,n,wins,losses,breakeven,win_rate,net_mean_r,net_sum_r,net_median_r,gross_mean_r,fee_mean_r,fee_median_r,risk_median_pct,net_mean_bp,pf_r,avg_win_r,avg_loss_r,max_win_r,max_loss_r,closed_trade_drawdown_r,max_loss_streak,net_sum_without_best_r,mfe_median_r,mfe_mean_r,mfe_q75_r,mfe_max_r,mfe_upper_mean_r,excursion_ambiguous,close_peak_median_r,net_float_positive,net_float_then_loss,gross_win_net_loss,holding_median_hours,matched_n,matched_target_mean_r,matched_random_mean_r,matched_excess_mean_r,matched_target_mean_bp,matched_random_mean_bp,matched_excess_mean_bp,inherited_matches,boundary_control_exclusions,paired_bp_weeks,paired_bp_mean_excess_bp,paired_bp_ci_low_bp,paired_bp_ci_high_bp,paired_bp_p_one_sided,paired_bp_minimum_p_resolution,mfe_ge1_n,mfe_ge1_then_loss_n,mfe_ge2_n,mfe_ge2_then_loss_n,mfe_ge3_n,mfe_ge3_then_loss_n,mfe_ge5_n,mfe_ge5_then_loss_n,mfe_ge10_n,mfe_ge10_then_loss_n,signals,skipped_in_position,paired_bp_p_holm_ordinary6
joint,BTCUSDT,5,14,1,13,0,0.07142857142857142,-1.4640492091694537,-20.49668892837235,-1.4761520843378988,-0.7103714574362023,0.753677751733271,0.6533796605596682,0.30917662010008495,-49.532835364351854,0.034612089642289824,0.7348685714285392,-1.6331967307539146,0.7348685714285392,-2.9746377551021417,20.49668892837235,10,-21.23155749980089,0.8570369657296741,1.114215135447518,1.4628976920536725,3.5480952380951964,1.114215135447518,0,0.6341066396209798,8,7,1,2.291666666666667,14,-1.4640492091694537,-2.0943718663108477,0.6303226571413939,-49.532835364351854,-38.22046028276594,-11.312375081585925,14,0,9,-11.312375081585925,-27.464630068887946,5.481127969959565,0.880859375,0.001953125,6,5,2,1,1,0,0,0,0,0,14,0,
joint,BTCUSDT,15,6,2,4,0,0.3333333333333333,0.11271073659938546,0.6762644195963128,-0.9601520821547134,0.33005276731644906,0.2173420307170648,0.21475122740129254,0.93183449373533,-2.8359914470168235,1.1532397320664884,2.5446892510976404,-1.103278520649742,2.982345952023945,-1.2729645603477084,2.4826216572084574,2,-2.3060815324276325,1.4510826618312793,2.474976263841804,3.8449912030202453,6.485007496251792,2.474976263841804,0,1.1920720989026041,5,3,0,16.625,6,0.11271073659938546,0.2694306703912452,-0.15671993379185975,-2.8359914470168235,31.564052930263546,-34.40004437728037,6,0,4,-34.40004437728037,-123.70050578670718,52.759422663868534,0.75,0.0625,3,1,2,0,2,0,1,0,0,0,6,0,
joint,BTCUSDT,60,1,1,0,0,1.0,1.284860735760009,1.284860735760009,1.284860735760009,1.337169457554798,0.052308721794789,0.052308721794789,3.8234541609449897,491.260612637645,,1.284860735760009,,1.284860735760009,1.284860735760009,0.0,0,0.0,2.094523824917574,2.094523824917574,2.094523824917574,2.094523824917574,2.094523824917574,0,2.0072412232495065,1,0,0,119.0,1,1.284860735760009,2.5979612140017516,-1.3131004782417426,491.260612637645,345.4399810214648,145.8206316161802,1,0,1,145.8206316161802,,,,,1,0,1,0,0,0,0,0,0,0,1,0,
joint,ETHUSDT,5,19,2,17,0,0.10526315789473684,0.2862349116143611,5.438463320672861,-1.3561828718609132,1.0174866099921274,0.7312516983777824,0.4384675555555598,0.45613409125925003,44.31189530286626,1.221323243467317,15.00547696261976,-1.4454406237980386,28.85919925857288,-3.8773893129771495,14.689430086781902,9,-23.42073593790002,0.4086265607264394,3.0398579269900785,2.223211763640074,38.20203892493065,3.061877335228869,2,0.1152522935779968,10,8,4,1.75,19,0.2862349116143611,-1.139732716326019,1.42596762794038,44.31189530286626,-40.24492967956452,84.55682498243077,19,0,8,84.55682498243077,-10.719300781946409,370.32943872406946,0.41796875,0.00390625,7,5,6,4,3,1,1,0,1,0,19,0,
joint,ETHUSDT,15,7,2,5,0,0.2857142857142857,-0.537661477360805,-3.7636303415256354,-1.20117722534082,-0.09449842927683791,0.4431630480839775,0.2239118840579713,0.89320850852302,-10.42325384025243,0.4497113601412152,1.537872306786654,-1.3678749910197885,1.9064750483559143,-2.0886936416184967,4.4689281645407295,3,-5.67010538988155,0.6705202312138474,1.565677221388227,2.59296307694378,4.1852998065764195,1.565677221388227,0,0.4550922213312167,5,3,0,9.5,7,-0.537661477360805,-0.36740775677603865,-0.17025372058476623,-10.42325384025243,-32.08962876556079,21.666374925308357,7,0,6,21.666374925308357,-106.87302636386043,147.2514848457702,0.390625,0.015625,3,1,2,0,2,0,0,0,0,0,7,0,
joint,ETHUSDT,60,2,1,1,0,0.5,8.347601369993976,16.695202739987952,8.347601369993976,8.450010682329351,0.10240931233537574,0.10240931233537574,2.3614191586163202,1077.2023201463385,23.10528258987207,17.45046124763703,-0.7552585076490792,17.45046124763703,-0.7552585076490792,0.7552585076490792,1,-0.7552585076490779,12.153630339467881,12.153630339467881,18.01915921510254,23.8846880907372,12.153630339467881,0,11.544039083161026,2,1,0,113.0,2,8.347601369993976,14.601468090673043,-6.253866720679068,1077.2023201463385,1155.172688769252,-77.97036862291365,2,0,2,-77.97036862291365,-114.00180321736397,-41.938934028463336,1.0,0.25,1,0,1,0,1,0,1,0,1,0,2,0,
ordinary,BTCUSDT,5,26,3,23,0,0.11538461538461539,-1.4310918138277489,-37.20838715952147,-1.4409031643457881,-0.5353231169825976,0.8957686968451888,0.5984126436749773,0.334284874061125,-43.04279361195553,0.054823397869822814,0.7194035515844273,-1.7115912093162933,0.8426684444444043,-5.002603174603395,37.20838715952148,12,-38.05105560396588,0.961990198741329,1.3430923660675764,1.63764596676988,5.96533333333332,1.3430923660675764,0,0.7792702040626918,17,14,2,2.5833333333333335,26,-1.4310918138277489,-1.3727622435626659,-0.05832957026508316,-43.04279361195553,-13.96233703465292,-29.08045657730262,26,0,10,-29.08045657730262,-61.92467432318721,-2.292972798913367,0.951171875,0.0009765625,13,10,5,2,3,0,1,0,0,0,31,5,1.0
ordinary,BTCUSDT,15,8,4,4,0,0.5,0.5286262807931306,4.2290102463450445,0.06223700529413828,0.8015804257760757,0.272954144982947,0.2823033071603631,0.70923400173858,30.57292058901488,1.905845312232695,2.2243972686448905,-1.1671447070586292,3.9803809155882273,-1.465121842496298,1.9304924253905105,2,0.24862933075681726,2.0238250886060936,2.9401770737137847,4.0932953173452535,7.734981649604078,2.9401770737137847,0,1.8473904711654305,7,3,0,18.75,8,0.5286262807931306,-0.3637256713717586,0.8923519521648893,30.57292058901488,-44.10101359100206,74.67393418001694,8,0,6,74.67393418001694,-18.0177218204686,148.64686113008062,0.140625,0.015625,5,1,4,0,3,0,2,0,0,0,8,0,0.84375
ordinary,BTCUSDT,60,3,2,1,0,0.6666666666666666,0.8475259286441098,2.5425777859323295,0.7992622647330899,1.0035980858372928,0.1560721571931833,0.1474965248024378,1.35596415080211,97.86948549711032,3.805173580715042,1.7244832698510746,-0.9063887537698196,2.6497042749690594,-0.9063887537698196,0.9063887537698196,1,-0.10712648903672983,2.5922554767046964,2.610343595769289,3.4269951095796065,4.261734742454517,2.610343595769289,0,2.170626349891994,3,1,0,44.0,3,0.8475259286441098,0.18650572575762694,0.6610202028864829,97.86948549711032,13.830492013776981,84.03899348333334,3,0,3,84.03899348333334,-62.007265307151066,241.32741147843913,0.25,0.125,2,0,2,0,1,0,0,0,0,0,3,0,1.0
ordinary,ETHUSDT,5,43,5,38,0,0.11627906976744186,-0.43418114033109173,-18.669789034236945,-1.3040296113510266,0.13558496222315747,0.5697661025542584,0.3897254264825379,0.51318181060214,-11.187340863414486,0.6408556010152917,6.662857004696908,-1.3680019488874076,28.85919925857288,-3.8773893129771495,29.479202234115277,17,-47.52898829280983,0.3938879456706286,1.9015807255657,2.1341199730775977,38.20203892493065,1.917034448938588,3,0.1058631921824274,23,18,6,1.75,43,-0.43418114033109173,-0.938032374219519,0.5038512338884272,-11.187340863414486,-24.75292562184402,13.56558475842952,43,0,9,13.56558475842952,-29.42607555558637,90.4551031007111,0.490234375,0.001953125,15,10,12,7,5,2,1,0,1,0,50,7,1.0
