arm,symbol,timeframe_min,exit_reason,n,wins,losses,breakeven,win_rate,net_mean_r,net_sum_r,net_median_r,gross_mean_r,fee_mean_r,fee_median_r,risk_median_pct,net_mean_bp,pf_r,avg_win_r,avg_loss_r,max_win_r,max_loss_r,closed_trade_drawdown_r,max_loss_streak,net_sum_without_best_r,mfe_median_r,mfe_mean_r,mfe_q75_r,mfe_max_r,mfe_upper_mean_r,excursion_ambiguous,close_peak_median_r,net_float_positive,net_float_then_loss,gross_win_net_loss,holding_median_hours,matched_n,matched_target_mean_r,matched_random_mean_r,matched_excess_mean_r,matched_target_mean_bp,matched_random_mean_bp,matched_excess_mean_bp,inherited_matches,boundary_control_exclusions,paired_bp_weeks,paired_bp_mean_excess_bp,paired_bp_ci_low_bp,paired_bp_ci_high_bp,paired_bp_p_one_sided,paired_bp_minimum_p_resolution,mfe_ge1_n,mfe_ge1_then_loss_n,mfe_ge2_n,mfe_ge2_then_loss_n,mfe_ge3_n,mfe_ge3_then_loss_n,mfe_ge5_n,mfe_ge5_then_loss_n,mfe_ge10_n,mfe_ge10_then_loss_n
joint,BTCUSDT,5,initial_stop,11,0,11,0,0.0,-1.6876162827073962,-18.563779109781358,-1.5233407652907556,-0.999999999999999,0.6876162827074171,0.5233407652907667,0.38216017796527,-60.229661265706724,0.0,,-1.6876162827073962,-1.2495698965913422,-2.9746377551021417,18.56377910978136,11,-17.314209213190015,0.8008086253369429,0.7715747129648786,1.1076750669441102,1.616408934707997,0.7715747129648786,0,0.5714285714285714,6,6,0,1.9166666666666667,11,-1.6876162827073962,-1.9492760935880424,0.2616598108806461,-60.229661265706724,-41.01738240474741,-19.21227886095932,11,0,7,-19.21227886095932,-36.73144467270345,-5.1972076204553455,0.984375,0.0078125,4,4,0,0,0,0,0,0,0,0
joint,BTCUSDT,5,opposite_v6_next_open,1,0,1,0,0.0,-1.5030045523521065,-1.5030045523521065,-1.5030045523521065,-0.5462822458270365,0.9567223065250762,0.9567223065250762,0.20904707524424998,-31.4198705748,0.0,,-1.5030045523521065,-1.5030045523521065,-1.5030045523521065,1.5030045523521065,1,0.0,0.7101669195751263,0.7101669195751263,0.7101669195751263,0.7101669195751263,0.7101669195751263,0,0.6942336874051823,0,0,0,12.583333333333334,1,-1.5030045523521065,-4.317763157894667,2.814758605542561,-31.4198705748,-26.028157842553615,-5.391712732246386,1,0,1,-5.391712732246386,,,,,0,0,0,0,0,0,0,0,0,0
joint,BTCUSDT,5,trailing_stop,2,1,1,0,0.5,-0.21495263311944335,-0.4299052662388867,-0.21495263311944335,0.8005409208600968,1.0154935539795644,1.0154935539795644,0.208834579421465,0.24322469832399918,0.6309109525503988,0.7348685714285392,-1.164773837667426,0.7348685714285392,-1.164773837667426,1.164773837667426,1,-1.164773837667426,3.20076156703823,3.20076156703823,3.3744284025667133,3.5480952380951964,3.20076156703823,0,2.7965405831363985,2,1,1,6.041666666666666,2,-0.21495263311944335,-1.7807029704943658,1.5657503373749224,0.24322469832399918,-28.93353983197398,29.17676453029798,2,0,2,29.17676453029798,-0.4006741100743305,58.754203170670294,0.5,0.25,2,1,2,1,1,0,0,0,0,0
joint,BTCUSDT,15,initial_stop,3,0,3,0,0.0,-1.2341556717167632,-3.7024670151502894,-1.2198453579418325,-0.9999999999999983,0.234155671716766,0.2198453579418367,0.90973037535281,-106.545494513501,0.0,,-1.2341556717167632,-1.2096570968607487,-1.2729645603477084,3.7024670151502894,3,-2.4928099182895407,0.7626211969241045,0.9656604800406411,1.3416674538417197,1.920713710759335,0.9656604800406411,0,0.2069541959211025,2,2,0,3.25,3,-1.2341556717167632,-1.3824886118542798,0.14833294013751663,-106.545494513501,-72.69965269406781,-33.84584181943318,3,0,3,-33.84584181943318,-47.29445838417005,-14.012150081418056,1.0,0.125,1,1,0,0,0,0,0,0,0,0
joint,BTCUSDT,15,opposite_v6_next_open,1,0,1,0,0.0,-0.7106470674486781,-0.7106470674486781,-0.7106470674486781,-0.5931085043988247,0.1175385630498536,0.1175385630498536,1.7015692110781602,-120.921516991365,0.0,,-0.7106470674486781,-0.7106470674486781,-0.7106470674486781,0.7106470674486781,1,0.0,0.9814516129032236,0.9814516129032236,0.9814516129032236,0.9814516129032236,0.9814516129032236,0,0.6851906158357707,1,1,0,18.25,1,-0.7106470674486781,-1.1541625984634845,0.44351553101480634,-120.921516991365,-149.73315317292847,28.811636181563472,1,0,1,28.811636181563472,,,,,0,0,0,0,0,0,0,0,0,0
joint,BTCUSDT,15,trailing_stop,2,2,0,0,1.0,2.5446892510976404,5.089378502195281,2.5446892510976404,2.7867125541487567,0.24202330305111858,0.24202330305111858,0.86262430066353,211.77102592488353,,2.5446892510976404,,2.982345952023945,2.1070325501713354,0.0,0,2.107032550171336,5.485712265012837,5.485712265012837,5.9853598806323145,6.485007496251792,5.485712265012837,0,4.876408666078092,2,0,0,19.75,2,2.5446892510976404,3.4591062281868976,-0.9144169770892574,211.77102592488353,278.6082144183566,-66.83718849347309,2,0,2,-66.83718849347309,-243.7328798157993,110.05850282885312,0.75,0.25,2,0,2,0,2,0,1,0,0,0
joint,BTCUSDT,60,trailing_stop,1,1,0,0,1.0,1.284860735760009,1.284860735760009,1.284860735760009,1.337169457554798,0.052308721794789,0.052308721794789,3.8234541609449897,491.260612637645,,1.284860735760009,,1.284860735760009,1.284860735760009,0.0,0,0.0,2.094523824917574,2.094523824917574,2.094523824917574,2.094523824917574,2.094523824917574,0,2.0072412232495065,1,0,0,119.0,1,1.284860735760009,2.5979612140017516,-1.3131004782417426,491.260612637645,345.4399810214648,145.8206316161802,1,0,1,145.8206316161802,,,,,1,0,1,0,0,0,0,0,0,0
joint,ETHUSDT,5,initial_stop,13,0,13,0,0.0,-1.7797099695244154,-23.1362296038174,-1.4350528683914647,-0.999999999999996,0.7797099695244409,0.4350528683914574,0.4597142428677,-61.12860023431915,0.0,,-1.7797099695244154,-1.2831892201834865,-3.8773893129771495,23.1362296038174,13,-21.853040383633914,0.197530864197575,0.4653158365130795,0.4086265607264394,2.3710407239821096,0.4974980485543885,2,0.0,4,4,0,0.4166666666666667,13,-1.7797099695244154,-1.3474459871170454,-0.43226398240737035,-61.12860023431915,-45.113141772067884,-16.015458462251278,13,0,7,-16.015458462251278,-30.393080257254823,1.9999799937061273,0.9140625,0.0078125,2,2,1,1,0,0,0,0,0,0
joint,ETHUSDT,5,opposite_v6_next_open,2,0,2,0,0.0,-0.15070944061040786,-0.3014188812208157,-0.15070944061040786,0.27071175694944366,0.4214211975598564,0.4214211975598564,0.54946376153816,-8.8563944567345,0.0,,-0.15070944061040786,-0.1223392226148432,-0.1790796586059725,0.3014188812208157,2,-0.17907965860597252,1.4925278170117506,1.4925278170117506,1.7839553101548944,2.075382803298038,1.4925278170117506,0,1.199278458298387,2,2,2,13.375,2,-0.15070944061040786,-0.35335350030935697,0.20264405969894916,-8.8563944567345,-1.8804368311392388,-6.97595762559526,2,0,2,-6.97595762559526,-45.81470531003568,31.862790058845157,0.75,0.25,1,1,1,1,0,0,0,0,0,0
joint,ETHUSDT,5,trailing_stop,4,2,2,0,0.5,7.219027951427771,28.876111805711083,0.5367754225052833,7.9477055189878705,0.7286775675601052,0.463431230007083,0.4328193865879151,413.5776506785192,26.445047649191977,15.00547696261976,-0.5674210597642182,28.85919925857288,-1.056638297872362,1.1348421195284364,2,0.01691254713820456,3.8201245576787093,12.180784776029489,12.791843064565988,38.20203892493065,12.180784776029489,0,3.057523000707718,4,2,2,7.333333333333334,4,7.219027951427771,-0.8578541942635146,8.076882145691284,413.5776506785192,-43.60548680314128,457.18313748166054,4,0,3,457.18313748166054,10.698348007061355,1677.2513914410508,0.125,0.125,4,2,4,2,3,1,1,0,1,0
