arm,symbol,timeframe_min,month_utc,n,wins,losses,breakeven,win_rate,net_mean_r,net_sum_r,net_median_r,gross_mean_r,fee_mean_r,fee_median_r,risk_median_pct,net_mean_bp,pf_r,avg_win_r,avg_loss_r,max_win_r,max_loss_r,closed_trade_drawdown_r,max_loss_streak,net_sum_without_best_r,mfe_median_r,mfe_mean_r,mfe_q75_r,mfe_max_r,mfe_upper_mean_r,excursion_ambiguous,close_peak_median_r,net_float_positive,net_float_then_loss,gross_win_net_loss,holding_median_hours,matched_n,matched_target_mean_r,matched_random_mean_r,matched_excess_mean_r,matched_target_mean_bp,matched_random_mean_bp,matched_excess_mean_bp,inherited_matches,boundary_control_exclusions,paired_bp_weeks,paired_bp_mean_excess_bp,paired_bp_p_one_sided,paired_bp_ci_low_bp,paired_bp_ci_high_bp,mfe_ge1_n,mfe_ge1_then_loss_n,mfe_ge2_n,mfe_ge2_then_loss_n,mfe_ge3_n,mfe_ge3_then_loss_n,mfe_ge5_n,mfe_ge5_then_loss_n,mfe_ge10_n,mfe_ge10_then_loss_n,paired_bp_minimum_p_resolution
joint,BTCUSDT,5,2026-07,1,0,1,0,0.0,-1.2495698965913422,-1.2495698965913422,-1.2495698965913422,-0.9999999999999964,0.2495698965913486,0.2495698965913486,0.8013787028468601,-100.137870284686,0.0,,-1.2495698965913422,-1.2495698965913422,-1.2495698965913422,1.2495698965913422,1,0.0,0.0880888548448875,0.0880888548448875,0.0880888548448875,0.0880888548448875,0.0880888548448875,0,0.0,0,0,0,0.5,1,-1.2495698965913422,-0.8706905487804639,-0.3788793478108783,-100.137870284686,-17.747303366770755,-82.39056691791525,1,0,1,-82.39056691791525,,,,0,0,0,0,0,0,0,0,0,0,
joint,BTCUSDT,5,2026-08,6,0,6,0,0.0,-1.6006810213374265,-9.604086128024559,-1.4761520843378988,-0.9243803743045098,0.6763006470329339,0.5839245640893486,0.36173788451439504,-55.415096887768165,0.0,,-1.6006810213374265,-1.3084729255940906,-2.2013918669131853,9.604086128024559,6,-8.295613202430468,0.7554877724560346,0.728867003545925,0.960313732345424,1.5499075785582404,0.728867003545925,0,0.6328311294168769,3,3,0,3.25,6,-1.6006810213374265,-2.716286715563564,1.115605694226138,-55.415096887768165,-47.880627004087295,-7.53446988368087,6,0,4,-7.53446988368087,0.875,-21.263383247275435,3.919601196920649,2,2,0,0,0,0,0,0,0,0,0.0625
joint,BTCUSDT,5,2026-09,7,1,6,0,0.14285714285714285,-1.3775761291080646,-9.643032903756453,-1.5233407652907556,-0.48555973689711085,0.8920163922109774,0.7426202749141382,0.26931664372229003,-37.26160621280443,0.070810902684489,0.7348685714285392,-1.7296502458641652,0.7348685714285392,-2.9746377551021417,9.643032903756453,3,-10.377901475184991,1.201868032539969,1.5911030028778304,2.23491841534463,3.5480952380951964,1.5911030028778304,0,1.0515463917526424,5,4,1,2.0,7,-1.3775761291080646,-1.7361136123128598,0.358537483204795,-37.26160621280443,-32.86505408106122,-4.396552131743212,7,0,4,-4.396552131743212,0.75,-20.276278313149422,31.63671334122798,4,3,2,1,1,0,0,0,0,0,0.0625
joint,BTCUSDT,15,2026-08,3,1,2,0,0.3333333333333333,0.35061784221114484,1.0518535266334346,-0.7106470674486781,0.560293167199378,0.20967532498823452,0.2198453579418367,0.90973037535281,-9.124524439088981,1.5448628095086465,2.982345952023945,-0.9652462126952552,2.982345952023945,-1.2198453579418325,1.9304924253905105,2,-1.9304924253905105,0.9814516129032236,2.5600352138645,3.733229554577508,6.485007496251792,2.5600352138645,0,0.6851906158357707,2,1,0,18.25,3,0.35061784221114484,-0.2710129158783439,0.6216307580894888,-9.124524439088981,-42.00426511165737,32.87974067256839,3,0,2,32.87974067256839,0.5,-40.23091699271144,69.4350695052083,1,0,1,0,1,0,1,0,0,0,0.25
joint,BTCUSDT,15,2026-09,3,1,2,0,0.3333333333333333,-0.12519636901237394,-0.3755891070371218,-1.2096570968607487,0.09981236743351996,0.22500873644589506,0.2096570968607484,0.95393861211785,3.4525415450553303,0.8487127082185181,2.1070325501713354,-1.2413108286042287,2.1070325501713354,-1.2729645603477084,2.4826216572084574,2,-2.4826216572084574,1.920713710759335,2.389917313819107,3.2035653722666084,4.486417033773882,2.389917313819107,0,1.6989535819694377,3,2,0,15.0,3,-0.12519636901237394,0.8098742566608342,-0.9350706256732083,3.4525415450553303,105.13237097218446,-101.67982942712912,3,0,3,-101.67982942712912,1.0,-243.7328798157993,-14.012150081418056,2,1,1,0,1,0,0,0,0,0,0.125
joint,BTCUSDT,60,2026-09,1,1,0,0,1.0,1.284860735760009,1.284860735760009,1.284860735760009,1.337169457554798,0.052308721794789,0.052308721794789,3.8234541609449897,491.260612637645,,1.284860735760009,,1.284860735760009,1.284860735760009,0.0,0,0.0,2.094523824917574,2.094523824917574,2.094523824917574,2.094523824917574,2.094523824917574,0,2.0072412232495065,1,0,0,119.0,1,1.284860735760009,2.5979612140017516,-1.3131004782417426,491.260612637645,345.4399810214648,145.8206316161802,1,0,1,145.8206316161802,,,,1,0,1,0,0,0,0,0,0,0,
joint,ETHUSDT,5,2026-07,2,0,2,0,0.0,-1.5898030299403985,-3.179606059880797,-1.5898030299403985,-0.9999999999999942,0.5898030299404091,0.5898030299404091,0.36416586007476,-56.4165860074755,0.0,,-1.5898030299403985,-1.4350528683914647,-1.7445531914893322,3.179606059880797,2,-1.7445531914893322,0.1924564796905204,0.1924564796905204,0.2886847195357806,0.3849129593810408,0.22620226146780636,1,0.0193423597678738,0,0,0,0.375,2,-1.5898030299403985,-1.5214167386633024,-0.06838629127709606,-56.4165860074755,-58.37616021181934,1.9595742043438342,2,0,1,1.9595742043438342,,,,0,0,0,0,0,0,0,0,0,0,
joint,ETHUSDT,5,2026-08,13,2,11,0,0.15384615384615385,1.0982691601064027,14.277499081383237,-1.2831892201834865,1.9486342761423396,0.8503651160359578,0.4883949044586061,0.40950468191658,95.02254482682098,1.9074611535150798,15.00547696261976,-1.4303140767142073,28.85919925857288,-3.8773893129771495,11.509824026901105,7,-14.581700177189642,0.9096728307254632,4.25335696081086,2.880851063829891,38.20203892493065,4.280347514117202,1,0.7731152204836368,8,6,4,3.4166666666666665,13,1.0982691601064027,-1.097135894066505,2.1954050541729084,95.02254482682098,-30.340723761702414,125.36326858852343,13,0,4,125.36326858852343,0.4375,-6.690271343128791,838.6535636102892,6,4,6,4,3,1,1,0,1,0,0.0625
joint,ETHUSDT,5,2026-09,4,0,4,0,0.0,-1.4148574252073942,-5.659429700829577,-1.3698060495494284,-1.0000000000000016,0.4148574252073992,0.369806049549432,0.5415589798742549,-70.13347499481576,0.0,,-1.4148574252073942,-1.3501940189642678,-1.5696235827664533,5.659429700829577,4,-4.309235681865309,0.42113661565600735,0.5196867907223193,0.818888715223521,1.2142857142857584,0.5196867907223193,0,0.3274981765134936,2,2,0,1.125,4,-1.4148574252073942,-1.0873303775007974,-0.32752704770659713,-70.13347499481576,-63.36798364648898,-6.7654913483267745,4,0,3,-6.7654913483267745,0.75,-52.40015560589743,20.15775462393913,1,1,0,0,0,0,0,0,0,0,0.125
joint,ETHUSDT,15,2026-07,1,0,1,0,0.0,-1.2239118840579748,-1.2239118840579748,-1.2239118840579748,-1.0000000000000036,0.2239118840579713,0.2239118840579713,0.89320850852302,-109.320850852302,0.0,,-1.2239118840579748,-1.2239118840579748,-1.2239118840579748,1.2239118840579748,1,0.0,0.3089855072463726,0.3089855072463726,0.3089855072463726,0.3089855072463726,0.3089855072463726,0,0.0,1,1,0,3.25,1,-1.2239118840579748,1.49314074074079,-2.7170526247987645,-109.320850852302,65.10157284500997,-174.42242369731196,1,0,1,-174.42242369731196,,,,0,0,0,0,0,0,0,0,0,0,
