交易标识,合约,周期,方向,入场北京时间,出场北京时间,入场价,初始止损价,出场价,初始止损距离百分比,退出原因,毛盈亏R,固定成本R,净盈亏R,可确认最大毛浮盈R,含退出K线歧义的毛浮盈上界R,最大收盘毛浮盈R,持仓小时,曾有净浮盈但最终亏损,人工判断状态
BTCUSDT:5:ordinary:baseline:2026-07-25 06:00:00+00:00,BTCUSDT,5m,空,2026-07-25 14:00:00+08:00,2026-07-25 17:35:00+08:00,63990.0,64078.0,63920.9,0.13752148773245,追踪止损,0.7852272727272205,1.4543181818182689,-0.6690909090909614,2.6079545454545454,2.6079545454545454,2.412500000000033,3.5833333333333335,True,尚未作出事前人工交易判断
ETHUSDT:5:ordinary:baseline:2026-07-29 12:20:00+00:00,ETHUSDT,5m,空,2026-07-29 20:20:00+08:00,2026-07-30 01:55:00+08:00,1904.12,1915.29,1915.29,0.58662269184715,初始止损,-0.9999999999999885,0.3409346463742181,-1.340934646374203,1.5971351835272876,1.5971351835272876,1.4261414503133154,5.583333333333333,True,尚未作出事前人工交易判断
ETHUSDT:5:ordinary:baseline:2026-07-30 19:45:00+00:00,ETHUSDT,5m,多,2026-07-31 03:45:00+08:00,2026-07-31 04:30:00+08:00,1924.67,1919.5,1919.5,0.26861747728182,初始止损,-0.9999999999999808,0.7445531914893609,-1.7445531914893322,0.3849129593810408,0.3849129593810408,0.0386847195357476,0.75,False,尚未作出事前人工交易判断
ETHUSDT:15:ordinary:baseline:2026-07-30 22:30:00+00:00,ETHUSDT,15m,多,2026-07-31 06:30:00+08:00,2026-07-31 09:45:00+08:00,1931.24,1913.99,1913.99,0.89320850852302,初始止损,-1.0000000000000036,0.2239118840579713,-1.2239118840579748,0.3089855072463726,0.3089855072463726,0.0,3.25,True,尚未作出事前人工交易判断
ETHUSDT:5:ordinary:baseline:2026-07-30 23:40:00+00:00,ETHUSDT,5m,多,2026-07-31 07:40:00+08:00,2026-07-31 07:40:00+08:00,1933.81,1924.92,1924.92,0.4597142428677,初始止损,-1.0000000000000075,0.4350528683914574,-1.4350528683914647,0.0,0.0674915635545719,0.0,0.0,False,尚未作出事前人工交易判断
ETHUSDT:5:ordinary:baseline:2026-07-31 01:10:00+00:00,ETHUSDT,5m,多,2026-07-31 09:10:00+08:00,2026-07-31 09:45:00+08:00,1935.03,1913.13,1913.13,1.1317653989860499,初始止损,-0.9999999999999964,0.1767150684931526,-1.1767150684931482,0.0105022831050237,0.0105022831050237,0.0,0.5833333333333334,False,尚未作出事前人工交易判断
BTCUSDT:5:ordinary:baseline:2026-07-31 01:15:00+00:00,BTCUSDT,5m,多,2026-07-31 09:15:00+08:00,2026-07-31 09:45:00+08:00,65162.7,64640.5,64640.5,0.8013787028468601,初始止损,-0.9999999999999964,0.2495698965913486,-1.2495698965913422,0.0880888548448875,0.0880888548448875,0.0,0.5,False,尚未作出事前人工交易判断
ETHUSDT:5:ordinary:baseline:2026-07-31 02:00:00+00:00,ETHUSDT,5m,空,2026-07-31 10:00:00+08:00,2026-07-31 21:15:00+08:00,1909.38,1926.18,1886.22,0.8798667630330201,追踪止损,1.3785714285714414,0.2273071428571445,1.1512642857142978,2.1928571428571573,2.1928571428571573,2.0785714285714385,11.25,False,尚未作出事前人工交易判断
ETHUSDT:15:ordinary:baseline:2026-07-31 03:15:00+00:00,ETHUSDT,15m,空,2026-07-31 11:15:00+08:00,2026-08-01 22:00:00+08:00,1900.83,1914.66,1872.46,0.7275769006171,追踪止损,2.0513376717281018,0.2748850325379605,1.7764526391901434,3.872017353579129,3.872017353579129,3.18365871294284,34.75,False,尚未作出事前人工交易判断
BTCUSDT:60:ordinary:baseline:2026-07-31 08:00:00+00:00,BTCUSDT,1h,空,2026-07-31 16:00:00+08:00,2026-08-02 10:00:00+08:00,63909.1,64557.3,63263.2,1.01425305629402,追踪止损,0.9964517124344155,0.1971894477013263,0.7992622647330899,2.5922554767046964,2.5922554767046964,2.170626349891994,42.0,False,尚未作出事前人工交易判断
