arm,symbol,timeframe_min,side,n,wins,losses,breakeven,win_rate,net_mean_r,net_sum_r,net_median_r,gross_mean_r,fee_mean_r,fee_median_r,risk_median_pct,net_mean_bp,pf_r,avg_win_r,avg_loss_r,max_win_r,max_loss_r,closed_trade_drawdown_r,max_loss_streak,net_sum_without_best_r,mfe_median_r,mfe_mean_r,mfe_q75_r,mfe_max_r,mfe_upper_mean_r,excursion_ambiguous,close_peak_median_r,net_float_positive,net_float_then_loss,gross_win_net_loss,holding_median_hours,matched_n,matched_target_mean_r,matched_random_mean_r,matched_excess_mean_r,matched_target_mean_bp,matched_random_mean_bp,matched_excess_mean_bp,inherited_matches,boundary_control_exclusions,paired_bp_weeks,paired_bp_mean_excess_bp,paired_bp_ci_low_bp,paired_bp_ci_high_bp,paired_bp_p_one_sided,paired_bp_minimum_p_resolution,mfe_ge1_n,mfe_ge1_then_loss_n,mfe_ge2_n,mfe_ge2_then_loss_n,mfe_ge3_n,mfe_ge3_then_loss_n,mfe_ge5_n,mfe_ge5_then_loss_n,mfe_ge10_n,mfe_ge10_then_loss_n
joint,BTCUSDT,5,1,14,1,13,0,0.07142857142857142,-1.4640492091694537,-20.49668892837235,-1.4761520843378988,-0.7103714574362023,0.753677751733271,0.6533796605596682,0.30917662010008495,-49.532835364351854,0.034612089642289824,0.7348685714285392,-1.6331967307539146,0.7348685714285392,-2.9746377551021417,20.49668892837235,10,-21.23155749980089,0.8570369657296741,1.114215135447518,1.4628976920536725,3.5480952380951964,1.114215135447518,0,0.6341066396209798,8,7,1,2.291666666666667,14,-1.4640492091694537,-2.0943718663108477,0.6303226571413939,-49.532835364351854,-38.22046028276594,-11.312375081585925,14,0,9,-11.312375081585925,-27.464630068887946,5.481127969959565,0.880859375,0.001953125,6,5,2,1,1,0,0,0,0,0
joint,BTCUSDT,15,1,6,2,4,0,0.3333333333333333,0.11271073659938546,0.6762644195963128,-0.9601520821547134,0.33005276731644906,0.2173420307170648,0.21475122740129254,0.93183449373533,-2.8359914470168235,1.1532397320664884,2.5446892510976404,-1.103278520649742,2.982345952023945,-1.2729645603477084,2.4826216572084574,2,-2.3060815324276325,1.4510826618312793,2.474976263841804,3.8449912030202453,6.485007496251792,2.474976263841804,0,1.1920720989026041,5,3,0,16.625,6,0.11271073659938546,0.2694306703912452,-0.15671993379185975,-2.8359914470168235,31.564052930263546,-34.40004437728037,6,0,4,-34.40004437728037,-123.70050578670718,52.759422663868534,0.75,0.0625,3,1,2,0,2,0,1,0,0,0
joint,BTCUSDT,60,1,1,1,0,0,1.0,1.284860735760009,1.284860735760009,1.284860735760009,1.337169457554798,0.052308721794789,0.052308721794789,3.8234541609449897,491.260612637645,,1.284860735760009,,1.284860735760009,1.284860735760009,0.0,0,0.0,2.094523824917574,2.094523824917574,2.094523824917574,2.094523824917574,2.094523824917574,0,2.0072412232495065,1,0,0,119.0,1,1.284860735760009,2.5979612140017516,-1.3131004782417426,491.260612637645,345.4399810214648,145.8206316161802,1,0,1,145.8206316161802,,,,,1,0,1,0,0,0,0,0,0,0
joint,ETHUSDT,5,1,19,2,17,0,0.10526315789473684,0.2862349116143611,5.438463320672861,-1.3561828718609132,1.0174866099921274,0.7312516983777824,0.4384675555555598,0.45613409125925003,44.31189530286626,1.221323243467317,15.00547696261976,-1.4454406237980386,28.85919925857288,-3.8773893129771495,14.689430086781902,9,-23.42073593790002,0.4086265607264394,3.0398579269900785,2.223211763640074,38.20203892493065,3.061877335228869,2,0.1152522935779968,10,8,4,1.75,19,0.2862349116143611,-1.139732716326019,1.42596762794038,44.31189530286626,-40.24492967956452,84.55682498243077,19,0,8,84.55682498243077,-10.719300781946409,370.32943872406946,0.41796875,0.00390625,7,5,6,4,3,1,1,0,1,0
joint,ETHUSDT,15,1,7,2,5,0,0.2857142857142857,-0.537661477360805,-3.7636303415256354,-1.20117722534082,-0.09449842927683791,0.4431630480839775,0.2239118840579713,0.89320850852302,-10.42325384025243,0.4497113601412152,1.537872306786654,-1.3678749910197885,1.9064750483559143,-2.0886936416184967,4.4689281645407295,3,-5.67010538988155,0.6705202312138474,1.565677221388227,2.59296307694378,4.1852998065764195,1.565677221388227,0,0.4550922213312167,5,3,0,9.5,7,-0.537661477360805,-0.36740775677603865,-0.17025372058476623,-10.42325384025243,-32.08962876556079,21.666374925308357,7,0,6,21.666374925308357,-106.87302636386043,147.2514848457702,0.390625,0.015625,3,1,2,0,2,0,0,0,0,0
joint,ETHUSDT,60,1,2,1,1,0,0.5,8.347601369993976,16.695202739987952,8.347601369993976,8.450010682329351,0.10240931233537574,0.10240931233537574,2.3614191586163202,1077.2023201463385,23.10528258987207,17.45046124763703,-0.7552585076490792,17.45046124763703,-0.7552585076490792,0.7552585076490792,1,-0.7552585076490779,12.153630339467881,12.153630339467881,18.01915921510254,23.8846880907372,12.153630339467881,0,11.544039083161026,2,1,0,113.0,2,8.347601369993976,14.601468090673043,-6.253866720679068,1077.2023201463385,1155.172688769252,-77.97036862291365,2,0,2,-77.97036862291365,-114.00180321736397,-41.938934028463336,1.0,0.25,1,0,1,0,1,0,1,0,1,0
ordinary,BTCUSDT,5,-1,10,2,8,0,0.2,-1.3334678671757,-13.334678671757,-1.0799381103395056,-0.1973200637440724,1.1361478034316932,0.5424916544280305,0.37394131876403497,-32.117378206167494,0.09644532332254868,0.7116710416623713,-1.8447525943852177,0.8426684444444043,-5.002603174603395,13.334678671757002,3,-14.177347116201405,1.1504589452802256,1.775550249914613,2.4519355352591368,5.96533333333332,1.775550249914613,0,0.9805863369384413,8,6,1,3.791666666666667,10,-1.3334678671757,-1.8330527441325852,0.49958487695688536,-32.117378206167494,-21.213614571065282,-10.903763635102218,10,0,7,-10.903763635102218,-65.87583166727549,25.118712233747658,0.640625,0.0078125,6,4,3,1,2,0,1,0,0,0
ordinary,BTCUSDT,5,1,16,1,15,0,0.0625,-1.4921067804852792,-23.873708487764468,-1.5120977074955573,-0.7465750252566759,0.7455317552286236,0.6542345024798889,0.308683910757795,-49.87117824057306,0.029862294339932795,0.7348685714285392,-1.6405718039462003,0.7348685714285392,-2.9746377551021417,23.873708487764468,12,-24.608577059193006,0.9046378852391138,1.0728061886631788,1.5665329175956795,3.5480952380951964,1.0728061886631788,0,0.713369296285993,9,8,1,2.458333333333333,16,-1.4921067804852792,-1.085080680706466,-0.40702609977881343,-49.87117824057306,-9.430288574395192,-40.44088966617787,16,0,9,-40.44088966617787,-93.44445927816741,-1.1659492982139559,0.953125,0.001953125,7,6,2,1,1,0,0,0,0,0
ordinary,BTCUSDT,15,-1,2,1,1,0,0.5,-0.31500038222967164,-0.6300007644593433,-0.31500038222967164,0.07693081255024148,0.39193119477991567,0.39193119477991567,0.528732222737085,-5.299088861963998,0.5700011110434762,0.8351210780369547,-1.465121842496298,0.8351210780369547,-1.465121842496298,1.465121842496298,1,-1.465121842496298,2.2743291107766117,2.2743291107766117,2.7851935175765097,3.2960579243764077,2.2743291107766117,0,1.9846450673548537,2,1,0,19.0,2,-0.31500038222967164,-0.6219700822403467,0.306969700010675,-5.299088861963998,-37.50722781724279,32.20813895527879,2,0,2,32.20813895527879,18.288451972425904,46.12782593813168,0.25,0.25,2,1,1,0,1,0,0,0,0,0
ordinary,BTCUSDT,15,1,6,3,3,0,0.5,0.809835168467398,4.859011010804388,0.19454703074087837,1.0431302968513538,0.2332951283839574,0.24640495914477478,0.82121311164359,42.530257072674516,2.5168023271224462,2.687489332180869,-1.067818995246073,3.9803809155882273,-1.2729645603477084,1.9304924253905105,2,0.878630095216161,1.8882507464692975,3.1621263946928426,5.562518092197687,7.734981649604078,3.1621263946928426,0,1.6357510093953578,5,2,0,18.75,6,0.809835168467398,-0.27764420108222926,1.0874793695496274,42.530257072674516,-46.29894218225515,88.82919925492968,6,0,4,88.82919925492968,-35.04777701540163,177.64998156937608,0.1875,0.0625,3,0,3,0,2,0,2,0,0,0
