period,path_group,n
full,never_observed_gt5,44079
full,gaveback_confirmed,3256
full,realized_gt5,1703
full,unknown,137
full,exit_bar_ambiguous,32
earlier,never_observed_gt5,16328
earlier,gaveback_confirmed,1337
earlier,realized_gt5,862
earlier,exit_bar_ambiguous,12
later,never_observed_gt5,27436
later,gaveback_confirmed,1859
later,realized_gt5,801
later,unknown,137
later,exit_bar_ambiguous,19
crossing_or_unresolved,never_observed_gt5,315
crossing_or_unresolved,gaveback_confirmed,60
crossing_or_unresolved,realized_gt5,40
crossing_or_unresolved,exit_bar_ambiguous,1
