交易编号,方向_1多_负1空,入场时间UTC,退出K线开盘时间UTC,入场价,原始1h止损,3R目标价,退出价,止损距离比例,毛R,净R,毛价格收益比例,净价格收益比例,退出原因,持仓5m根数,大菱形1h开盘UTC,大菱形确认UTC,5m确认可用UTC,等待5m根数
0,1,2023-09-25 16:05:00+00:00,2023-09-26 13:55:00+00:00,26294.2,26134.0,26774.800000000003,26134.0,0.0060925983677008,-1.0,-1.3282671660424457,-0.0060925983677008,-0.0080925983677008,stop,263,2023-09-25 15:00:00+00:00,2023-09-25 16:00:00+00:00,2023-09-25 16:05:00+00:00,1
1,-1,2023-09-27 15:05:00+00:00,2023-09-28 10:40:00+00:00,26247.6,26633.6,25089.6,26633.6,0.0147061064630671,-1.0,-1.1359979274611398,-0.0147061064630671,-0.0167061064630671,stop,236,2023-09-27 14:00:00+00:00,2023-09-27 15:00:00+00:00,2023-09-27 15:05:00+00:00,1
2,-1,2023-09-29 03:05:00+00:00,2023-09-29 07:30:00+00:00,26926.3,27085.0,26450.199999999997,27085.0,0.0058938658486312,-1.0,-1.3393358538122226,-0.0058938658486312,-0.0078938658486312,stop,54,2023-09-29 02:00:00+00:00,2023-09-29 03:00:00+00:00,2023-09-29 03:05:00+00:00,1
3,-1,2023-10-01 15:05:00+00:00,2023-10-01 22:10:00+00:00,27133.2,27226.9,26852.1,27226.9,0.0034533339230168,-1.0,-1.5791504802561322,-0.0034533339230168,-0.0054533339230168,stop,86,2023-10-01 14:00:00+00:00,2023-10-01 15:00:00+00:00,2023-10-01 15:05:00+00:00,1
4,-1,2023-10-02 15:55:00+00:00,2023-10-11 17:45:00+00:00,28094.7,28607.8,26555.400000000005,26555.400000000005,0.0182632311432404,3.0,2.890490352757747,0.0547896934297214,0.0527896934297214,target,2615,2023-10-02 14:00:00+00:00,2023-10-02 15:00:00+00:00,2023-10-02 15:55:00+00:00,11
5,1,2023-10-12 00:05:00+00:00,2023-10-12 01:20:00+00:00,26850.0,26760.5,27118.5,26760.5,0.0033333333333333,-1.0,-1.6,-0.0033333333333333,-0.0053333333333333,stop,16,2023-10-11 23:00:00+00:00,2023-10-12 00:00:00+00:00,2023-10-12 00:05:00+00:00,1
6,-1,2023-10-20 01:05:00+00:00,2023-10-20 02:20:00+00:00,28617.0,28768.8,28161.6,28768.8,0.0053045392598804,-1.0,-1.3770355731225314,-0.0053045392598804,-0.0073045392598804,stop,16,2023-10-20 00:00:00+00:00,2023-10-20 01:00:00+00:00,2023-10-20 01:05:00+00:00,1
7,-1,2023-10-20 15:45:00+00:00,2023-10-21 14:45:00+00:00,29490.8,29915.0,28218.199999999997,29915.0,0.0143841469203955,-1.0,-1.1390419613389908,-0.0143841469203955,-0.0163841469203955,stop,277,2023-10-20 12:00:00+00:00,2023-10-20 13:00:00+00:00,2023-10-20 15:45:00+00:00,33
8,-1,2023-10-21 23:10:00+00:00,2023-10-22 05:55:00+00:00,29933.2,30159.7,29253.7,30159.7,0.0075668488501062,-1.0,-1.264310816777042,-0.0075668488501062,-0.0095668488501062,stop,82,2023-10-21 20:00:00+00:00,2023-10-21 21:00:00+00:00,2023-10-21 23:10:00+00:00,26
9,-1,2023-11-02 14:05:00+00:00,2023-11-05 23:00:00+00:00,34959.5,35369.4,33729.799999999996,35369.4,0.0117249960668774,-1.0,-1.1705757501829708,-0.0117249960668774,-0.0137249960668774,stop,972,2023-11-02 13:00:00+00:00,2023-11-02 14:00:00+00:00,2023-11-02 14:05:00+00:00,1
10,-1,2023-11-08 03:30:00+00:00,2023-11-08 10:20:00+00:00,35285.3,35382.2,34994.60000000002,35382.2,0.0027461860888243,-1.0,-1.7282827657379178,-0.0027461860888243,-0.0047461860888243,stop,83,2023-11-08 02:00:00+00:00,2023-11-08 03:00:00+00:00,2023-11-08 03:30:00+00:00,6
11,-1,2023-11-09 16:15:00+00:00,2023-11-24 11:30:00+00:00,36598.1,38036.0,32284.39999999999,38036.0,0.0392889248348958,-1.0,-1.050904930801864,-0.0392889248348958,-0.0412889248348958,stop,4264,2023-11-09 15:00:00+00:00,2023-11-09 16:00:00+00:00,2023-11-09 16:15:00+00:00,3
12,-1,2023-11-24 17:05:00+00:00,2023-11-28 19:40:00+00:00,37680.6,38347.2,35680.8,38347.2,0.0176908011018932,-1.0,-1.1130531053105317,-0.0176908011018932,-0.0196908011018932,stop,1184,2023-11-24 16:00:00+00:00,2023-11-24 17:00:00+00:00,2023-11-24 17:05:00+00:00,1
13,-1,2023-11-29 00:05:00+00:00,2023-11-29 01:00:00+00:00,37769.2,37939.3,37258.89999999998,37939.3,0.0045036696567575,-1.0,-1.4440823045267337,-0.0045036696567575,-0.0065036696567575,stop,12,2023-11-28 23:00:00+00:00,2023-11-29 00:00:00+00:00,2023-11-29 00:05:00+00:00,1
14,-1,2023-12-01 13:55:00+00:00,2023-12-01 16:20:00+00:00,38336.2,38632.7,37446.7,38632.7,0.0077342042247275,-1.0,-1.258591568296796,-0.0077342042247275,-0.0097342042247275,stop,30,2023-12-01 12:00:00+00:00,2023-12-01 13:00:00+00:00,2023-12-01 13:55:00+00:00,11
15,-1,2023-12-04 15:35:00+00:00,2023-12-04 22:10:00+00:00,41178.1,42170.8,38199.999999999985,42170.8,0.0241074746042193,-1.0,-1.0829618212954564,-0.0241074746042193,-0.0261074746042193,stop,80,2023-12-04 11:00:00+00:00,2023-12-04 12:00:00+00:00,2023-12-04 15:35:00+00:00,43
16,-1,2023-12-06 04:45:00+00:00,2023-12-06 10:20:00+00:00,43622.0,44150.0,42038.0,44150.0,0.0121039842281417,-1.0,-1.1652348484848485,-0.0121039842281417,-0.0141039842281417,stop,68,2023-12-06 01:00:00+00:00,2023-12-06 02:00:00+00:00,2023-12-06 04:45:00+00:00,33
17,1,2023-12-12 00:25:00+00:00,2023-12-12 17:25:00+00:00,41675.8,40850.0,44153.20000000001,40850.0,0.0198148565834369,-1.0,-1.100934366674739,-0.0198148565834369,-0.0218148565834369,stop,205,2023-12-11 21:00:00+00:00,2023-12-11 22:00:00+00:00,2023-12-12 00:25:00+00:00,29
18,1,2023-12-12 23:25:00+00:00,2023-12-13 01:25:00+00:00,41505.5,41096.5,42732.5,41096.5,0.0098541157196034,-1.0,-1.202960880195599,-0.0098541157196034,-0.0118541157196034,stop,25,2023-12-12 22:00:00+00:00,2023-12-12 23:00:00+00:00,2023-12-12 23:25:00+00:00,5
19,-1,2023-12-14 14:05:00+00:00,2023-12-14 17:30:00+00:00,42442.2,43098.2,40474.2,43098.2,0.0154563147056467,-1.0,-1.129396951219512,-0.0154563147056467,-0.0174563147056467,stop,42,2023-12-14 13:00:00+00:00,2023-12-14 14:00:00+00:00,2023-12-14 14:05:00+00:00,1
20,1,2023-12-15 22:05:00+00:00,2023-12-15 22:30:00+00:00,42230.9,41958.0,43049.600000000006,41958.0,0.0064620929224809,-1.0,-1.3094972517405628,-0.0064620929224809,-0.0084620929224809,stop,6,2023-12-15 19:00:00+00:00,2023-12-15 20:00:00+00:00,2023-12-15 22:05:00+00:00,25
21,1,2023-12-17 17:05:00+00:00,2023-12-17 22:30:00+00:00,42226.3,41692.5,43827.70000000001,41692.5,0.0126414106848102,-1.0,-1.1582101910828018,-0.0126414106848102,-0.0146414106848102,stop,66,2023-12-17 16:00:00+00:00,2023-12-17 17:00:00+00:00,2023-12-17 17:05:00+00:00,1
22,1,2023-12-18 13:30:00+00:00,2023-12-18 21:05:00+00:00,41173.1,40790.2,42321.8,42321.8,0.0092997612518853,3.0,2.7849407155915387,0.0278992837556561,0.0258992837556561,target,92,2023-12-18 11:00:00+00:00,2023-12-18 12:00:00+00:00,2023-12-18 13:30:00+00:00,18
23,-1,2023-12-20 20:10:00+00:00,2023-12-22 01:45:00+00:00,43387.4,44278.3,40714.7,44278.3,0.0205336111405615,-1.0,-1.0974012796048938,-0.0205336111405615,-0.0225336111405615,stop,356,2023-12-20 19:00:00+00:00,2023-12-20 20:00:00+00:00,2023-12-20 20:10:00+00:00,2
24,1,2023-12-25 06:05:00+00:00,2023-12-25 09:00:00+00:00,43228.7,43109.3,43586.89999999998,43109.3,0.0027620539132565,-1.0,-1.7240988274707223,-0.0027620539132565,-0.0047620539132565,stop,36,2023-12-25 05:00:00+00:00,2023-12-25 06:00:00+00:00,2023-12-25 06:05:00+00:00,1
25,1,2023-12-26 22:15:00+00:00,2023-12-27 03:30:00+00:00,42457.9,42126.0,43453.600000000006,42126.0,0.0078171553468259,-1.0,-1.2558475444410957,-0.0078171553468259,-0.0098171553468259,stop,64,2023-12-26 21:00:00+00:00,2023-12-26 22:00:00+00:00,2023-12-26 22:15:00+00:00,3
26,1,2024-01-04 02:20:00+00:00,2024-01-04 15:15:00+00:00,42917.8,42574.0,43949.20000000001,43949.20000000001,0.0080106622427058,3.0,2.7503327515997698,0.0240319867281176,0.0220319867281176,target,156,2024-01-03 21:00:00+00:00,2024-01-03 22:00:00+00:00,2024-01-04 02:20:00+00:00,52
27,-1,2024-01-09 08:55:00+00:00,2024-01-09 21:10:00+00:00,46592.4,47162.0,44883.600000000006,47162.0,0.012225169770177,-1.0,-1.16359691011236,-0.012225169770177,-0.014225169770177,stop,148,2024-01-09 00:00:00+00:00,2024-01-09 01:00:00+00:00,2024-01-09 08:55:00+00:00,95
28,-1,2024-01-11 17:05:00+00:00,2024-01-12 16:35:00+00:00,46170.3,47036.0,43573.20000000001,43573.20000000001,0.0187501489052485,3.0,2.89333418043202,0.0562504467157456,0.0542504467157456,target,283,2024-01-11 16:00:00+00:00,2024-01-11 17:00:00+00:00,2024-01-11 17:05:00+00:00,1
29,1,2024-01-15 03:25:00+00:00,2024-01-15 14:50:00+00:00,42615.9,42198.9,43866.9,42198.9,0.0097850802165388,-1.0,-1.2043928057553956,-0.0097850802165388,-0.0117850802165388,stop,138,2024-01-15 02:00:00+00:00,2024-01-15 03:00:00+00:00,2024-01-15 03:25:00+00:00,5
30,1,2024-01-19 06:40:00+00:00,2024-01-19 14:30:00+00:00,41351.2,41049.0,42257.79999999999,41049.0,0.0073081313238792,-1.0,-1.2736677696889505,-0.0073081313238792,-0.0093081313238792,stop,95,2024-01-19 04:00:00+00:00,2024-01-19 05:00:00+00:00,2024-01-19 06:40:00+00:00,20
31,1,2024-01-19 18:05:00+00:00,2024-01-22 18:45:00+00:00,41189.9,40244.0,44027.600000000006,40244.0,0.0229643674784352,-1.0,-1.0870914472988686,-0.0229643674784352,-0.0249643674784352,stop,873,2024-01-19 17:00:00+00:00,2024-01-19 18:00:00+00:00,2024-01-19 18:05:00+00:00,1
32,1,2024-01-23 03:05:00+00:00,2024-01-23 07:25:00+00:00,40060.0,39813.1,40800.7,39813.1,0.006163255117324,-1.0,-1.3245038477116224,-0.006163255117324,-0.008163255117324,stop,53,2024-01-23 02:00:00+00:00,2024-01-23 03:00:00+00:00,2024-01-23 03:05:00+00:00,1
33,1,2024-01-23 16:55:00+00:00,2024-01-26 10:55:00+00:00,39268.4,38769.6,40764.80000000001,40764.80000000001,0.0127023255340172,3.0,2.8425485164394555,0.0381069766020517,0.0361069766020517,target,793,2024-01-23 15:00:00+00:00,2024-01-23 16:00:00+00:00,2024-01-23 16:55:00+00:00,11
34,-1,2024-01-27 05:50:00+00:00,2024-01-27 19:35:00+00:00,41784.7,41977.4,41206.599999999984,41977.4,0.0046117358746144,-1.0,-1.4336761805915834,-0.0046117358746144,-0.0066117358746144,stop,166,2024-01-26 23:00:00+00:00,2024-01-27 00:00:00+00:00,2024-01-27 05:50:00+00:00,70
