section,exit,period,n,win_rate,sum_net_maker,pf_maker,mean_hold_bars
A_short_monthly,baseline_tp5_sl2_h72,2025-06,261,0.2759,-0.17165,0.909,16.78
A_short_monthly,baseline_tp5_sl2_h72,2025-07,261,0.4215,1.27663,1.685,23.83
A_short_monthly,baseline_tp5_sl2_h72,2025-08,385,0.5247,2.83256,2.313,19.46
A_short_monthly,baseline_tp5_sl2_h72,2025-09,602,0.2841,-0.32309,0.918,21.93
A_short_monthly,baseline_tp5_sl2_h72,2025-10,405,0.3926,1.57789,1.568,26.46
A_short_monthly,baseline_tp5_sl2_h72,2025-11,499,0.3868,1.58367,1.418,23.29
A_short_monthly,baseline_tp5_sl2_h72,2025-12,768,0.3815,2.0026,1.413,21.05
A_short_monthly,baseline_tp5_sl2_h72,2026-01,761,0.3719,2.3747,1.481,21.23
A_short_monthly,baseline_tp5_sl2_h72,2026-02,611,0.3404,0.75442,1.154,18.98
A_short_monthly,baseline_tp5_sl2_h72,2026-03,843,0.3025,-0.81303,0.874,19.54
A_short_monthly,baseline_tp5_sl2_h72,2026-04,731,0.3146,-0.48544,0.899,23.39
A_short_monthly,baseline_tp5_sl2_h72,2026-05,75,0.2667,-0.139,0.694,31.57
A_short_quarterly,baseline_tp5_sl2_h72,2025Q2,261,0.2759,-0.17165,0.909,16.78
A_short_quarterly,baseline_tp5_sl2_h72,2025Q3,1248,0.387,3.7861,1.476,21.56
A_short_quarterly,baseline_tp5_sl2_h72,2025Q4,1672,0.3858,5.16417,1.453,23.03
A_short_quarterly,baseline_tp5_sl2_h72,2026Q1,2215,0.3368,2.3161,1.142,19.97
A_short_quarterly,baseline_tp5_sl2_h72,2026Q2,806,0.3102,-0.62444,0.882,24.15
A_short_monthly,no_tp_sl2_h144,2025-06,261,0.1762,0.25817,1.12,42.4
A_short_monthly,no_tp_sl2_h144,2025-07,261,0.2644,1.45644,1.627,66.65
A_short_monthly,no_tp_sl2_h144,2025-08,385,0.2364,0.65385,1.196,57.71
A_short_monthly,no_tp_sl2_h144,2025-09,602,0.1561,1.03611,1.223,46.56
A_short_monthly,no_tp_sl2_h144,2025-10,405,0.2173,2.06691,1.552,61.06
A_short_monthly,no_tp_sl2_h144,2025-11,499,0.2545,3.75826,1.81,58.32
A_short_monthly,no_tp_sl2_h144,2025-12,768,0.1927,0.65098,1.102,51.92
A_short_monthly,no_tp_sl2_h144,2026-01,761,0.251,6.90915,2.161,56.52
A_short_monthly,no_tp_sl2_h144,2026-02,611,0.2013,4.97507,1.841,46.62
A_short_monthly,no_tp_sl2_h144,2026-03,843,0.2147,2.16353,1.297,49.55
A_short_monthly,no_tp_sl2_h144,2026-04,731,0.1587,-1.89447,0.678,50.3
A_short_monthly,no_tp_sl2_h144,2026-05,39,0.0769,-0.22439,0.342,41.28
A_short_quarterly,no_tp_sl2_h144,2025Q2,261,0.1762,0.25817,1.12,42.4
A_short_quarterly,no_tp_sl2_h144,2025Q3,1248,0.2035,3.14639,1.305,54.2
A_short_quarterly,no_tp_sl2_h144,2025Q4,1672,0.2171,6.47615,1.438,56.04
A_short_quarterly,no_tp_sl2_h144,2026Q1,2215,0.2235,14.04775,1.734,51.14
A_short_quarterly,no_tp_sl2_h144,2026Q2,770,0.1545,-2.11886,0.659,49.84
