feature,gain,split
ext_up,1802.4539022445679,32
close_vs_ema200,1605.191795349121,57
ret_4,1367.1648807525635,23
atr_pct_ratio96,1294.4649000167847,56
close_vs_ema55,1165.0718927383423,24
atr_pct,705.5131893157959,31
ret_12,649.819504737854,32
dense_frac48,545.936201095581,27
spread_chg24,507.74720191955566,31
spread_chg8,502.0013017654419,23
pre_range48,408.2322015762329,22
slow_slope_12,363.4956007003784,18
volume_ratio,302.9636993408203,19
fast_slow_gap,279.13879680633545,15
drawdown24,255.6588010787964,15
pre_range168,248.65460014343262,16
spread_mean8,247.30468082427979,15
order_score,244.53229904174805,11
spread_mean24,242.82149982452393,11
volume_z,232.60019874572754,15
vol_ratio_mean8,205.1485013961792,14
ma_spread_pct,200.86110305786133,11
ret_24,183.56869792938232,11
full_ratio_min48,128.93619918823242,9
ret_48,117.2431993484497,8
spread_pos96,89.10360050201416,6
full_spread,81.12560081481934,6
dense_run_len,40.47220039367676,2
