panel,entry,thr,gap,exit,n,pf_maker,sum_net_maker,win_rate,pf_legacy,pf_2026_04,n_2026_04,sum_net_2026_04,owner_recall_w18,rule_precision_w18,jaccard_w18,ge_1_3,apr_not_collapse,n_months
E3,spread_base,0.00383,18,baseline_tp5_sl2_h72,511,1.3,1.11217,0.3757,1.095,1.434,57,0.13765,0.25,0.0371,0.0334,True,True,12
E3,spread_base,0.00383,18,no_tp_sl2_h144,508,1.673,3.05908,0.2283,1.461,0.529,57,-0.20724,0.25,0.0371,0.0334,True,False,12
E3,spread_base,0.00383,18,trail4_atr_h144,508,1.375,1.43372,0.4114,1.17,0.796,57,-0.06811,0.25,0.0371,0.0334,True,False,12
E3,spread_sparse,0.00383,18,baseline_tp5_sl2_h72,511,1.3,1.11217,0.3757,1.095,1.434,57,0.13765,0.25,0.0371,0.0334,True,True,12
E3,spread_sparse,0.00383,18,no_tp_sl2_h144,508,1.673,3.05908,0.2283,1.461,0.529,57,-0.20724,0.25,0.0371,0.0334,True,False,12
E3,spread_sparse,0.00383,18,trail4_atr_h144,508,1.375,1.43372,0.4114,1.17,0.796,57,-0.06811,0.25,0.0371,0.0334,True,False,12
