window,n_owner,n_rule,owner_hit,rule_hit,owner_recall,rule_precision_vs_owner,jaccard_approx,entry
0,1284,6283,77,77,0.06,0.0123,0.0103,spread_base
8,1284,6283,314,314,0.2445,0.05,0.0433,spread_base
18,1284,6283,329,329,0.2562,0.0524,0.0455,spread_base
48,1284,6283,355,378,0.2765,0.0602,0.0492,spread_base
0,1284,1398,20,20,0.0156,0.0143,0.0075,spread_sparse
8,1284,1398,127,127,0.0989,0.0908,0.0497,spread_sparse
18,1284,1398,143,143,0.1114,0.1023,0.0563,spread_sparse
48,1284,1398,157,157,0.1223,0.1123,0.0622,spread_sparse
0,1284,2229,30,30,0.0234,0.0135,0.0086,spread_sparse_sens1
8,1284,2229,200,200,0.1558,0.0897,0.0604,spread_sparse_sens1
18,1284,2229,219,219,0.1706,0.0983,0.0665,spread_sparse_sens1
48,1284,2229,237,234,0.1846,0.105,0.0714,spread_sparse_sens1
0,1284,1418,19,19,0.0148,0.0134,0.0071,two_stage
8,1284,1418,126,126,0.0981,0.0889,0.0489,two_stage
18,1284,1418,142,142,0.1106,0.1001,0.0555,two_stage
48,1284,1418,156,156,0.1215,0.11,0.0613,two_stage
0,1284,4138,55,55,0.0428,0.0133,0.0102,two_stage_predeclared
8,1284,4138,284,284,0.2212,0.0686,0.0553,two_stage_predeclared
18,1284,4138,305,305,0.2375,0.0737,0.0596,two_stage_predeclared
48,1284,4138,328,330,0.2555,0.0797,0.0644,two_stage_predeclared
