symbol,signal_i,signal_time,entry_time,conf,atr,atr_pct,outcome,gross_ret,net_ret,segment
ENJ_USDT_SWAP,30423,2026-04-16 13:00:00+00:00,2026-04-16 13:15:00+00:00,0.21137955784797668,0.002798571428571429,0.031261968594408274,sl,-0.0625309223231243,-0.0631309223231243,preholdout
ENJ_USDT_SWAP,30683,2026-04-19 06:00:00+00:00,2026-04-19 06:15:00+00:00,0.5077627897262573,0.0022092857142857144,0.03404138234646709,sl,-0.06808276469293428,-0.06868276469293429,preholdout
ENJ_USDT_SWAP,30955,2026-04-22 02:00:00+00:00,2026-04-22 02:15:00+00:00,0.17149649560451508,0.0006435714285714289,0.010449284438568419,sl,-0.02090196260381383,-0.021501962603813828,preholdout
STABLE_USDT_SWAP,12262,2026-04-15 07:00:00+00:00,2026-04-15 07:15:00+00:00,0.24560801684856415,0.0002321428571428571,0.008843537414965985,sl,-0.01768033946251768,-0.01828033946251768,preholdout
STABLE_USDT_SWAP,12302,2026-04-15 17:00:00+00:00,2026-04-15 17:15:00+00:00,0.17442916333675385,0.0001542857142857147,0.0058910162002945654,tp,0.029443838604144013,0.028843838604144013,preholdout
STABLE_USDT_SWAP,12446,2026-04-17 05:00:00+00:00,2026-04-17 05:15:00+00:00,0.33198216557502747,0.0002485714285714286,0.0095567638820234,timeout,-0.009607993850883956,-0.010207993850883956,preholdout
STABLE_USDT_SWAP,12466,2026-04-17 10:00:00+00:00,2026-04-17 10:15:00+00:00,0.19996361434459686,0.00015714285714285768,0.00598639455782315,sl,-0.011954572624028659,-0.012554572624028659,preholdout
STABLE_USDT_SWAP,12490,2026-04-17 16:00:00+00:00,2026-04-17 16:15:00+00:00,0.2302289754152298,0.00018571428571428607,0.007005442690090007,sl,-0.014010885380180027,-0.014610885380180027,preholdout
STABLE_USDT_SWAP,12686,2026-04-19 17:00:00+00:00,2026-04-19 17:15:00+00:00,0.17315620183944702,0.0001378571428571427,0.005335028748341436,sl,-0.010670057496682817,-0.011270057496682816,preholdout
STABLE_USDT_SWAP,12982,2026-04-22 19:00:00+00:00,2026-04-22 19:15:00+00:00,0.28461235761642456,0.00015499999999999938,0.005772811918063292,sl,-0.011545623836126562,-0.012145623836126562,preholdout
STABLE_USDT_SWAP,13018,2026-04-23 04:00:00+00:00,2026-04-23 04:15:00+00:00,0.17089833319187164,0.00017999999999999985,0.006721433905899919,tp,0.03363228699551568,0.03303228699551568,preholdout
