panel,entry,thr,gap,exit,n,pf_maker,sum_net_maker,win_rate,pf_legacy,pf_2026_04,n_2026_04,sum_net_2026_04,owner_recall_w18,rule_precision_w18,jaccard_w18,ge_1_3,apr_not_collapse,n_months
E3,spread_base,0.00383,18,baseline_tp5_sl2_h72,6272,1.247,10.67923,0.3541,1.039,0.883,739,-0.57376,0.2562,0.0524,0.0455,False,False,12
E3,spread_base,0.00383,18,no_tp_sl2_h144,6235,1.418,22.26055,0.2072,1.225,0.668,739,-1.98279,0.2562,0.0524,0.0455,True,False,12
E3,spread_base,0.00383,18,trail4_atr_h144,6235,1.357,15.46257,0.4196,1.139,0.961,739,-0.20483,0.2562,0.0524,0.0455,True,False,12
E3,spread_sparse,0.014,18,baseline_tp5_sl2_h72,1397,1.123,1.76446,0.3658,0.988,1.631,112,0.46773,0.1114,0.1023,0.0563,False,True,12
E3,spread_sparse,0.014,18,no_tp_sl2_h144,1396,1.412,6.92566,0.2779,1.273,1.638,112,0.60162,0.1114,0.1023,0.0563,True,True,12
E3,spread_sparse,0.014,18,trail4_atr_h144,1396,1.445,6.71964,0.4011,1.293,2.059,112,0.67637,0.1114,0.1023,0.0563,True,True,12
E3,spread_sparse_sens1,0.011,18,baseline_tp5_sl2_h72,2229,1.201,4.16901,0.3652,1.046,1.923,178,0.97011,0.1706,0.0983,0.0665,False,True,12
E3,spread_sparse_sens1,0.011,18,no_tp_sl2_h144,2225,1.463,11.19739,0.2719,1.305,1.542,178,0.76361,0.1706,0.0983,0.0665,True,True,12
E3,spread_sparse_sens1,0.011,18,trail4_atr_h144,2225,1.412,8.81769,0.4009,1.245,2.134,178,1.04341,0.1706,0.0983,0.0665,True,True,12
