bar,source,symbol,n_bars,first,last,age_hours,n_gaps,max_gap_hours,zero_vol_share,spike_bars,ohlc_bad,flagged,reasons,blacklist_candidate
15m,okx,0G_USDT_SWAP,27854,2025-09-22,2026-07-09 13:45,2.9,0,0.25,0.0,1,0,False,,False
15m,okx,1INCH_USDT_SWAP,38499,2025-06-03,2026-07-09 13:45,2.9,0,0.25,0.0,1,0,False,,False
15m,okx,2Z_USDT_SWAP,26884,2025-10-02,2026-07-09 13:45,2.9,0,0.25,0.0,1,0,False,,False
15m,okx,AAPL_USDT_SWAP,12215,2026-03-04,2026-07-09 13:45,2.9,0,0.25,0.034,0,0,True,zero_vol>0.02,True
15m,gate,AAVE_USDT,9382,2026-03-29,2026-07-04 19:00,117.6,0,0.25,0.0001,0,0,True,stale>48.0h,False
15m,okx,AAVE_USDT,38692,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0,1,0,False,,False
15m,okx,AAVE_USDT_SWAP,38588,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,1,0,False,,False
15m,okx,ACH_USDT_SWAP,38499,2025-06-03,2026-07-09 13:45,2.9,0,0.25,0.0,1,0,False,,False
15m,gate,ACT_USDT,9465,2026-03-28,2026-07-04 19:00,117.6,0,0.25,0.0586,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,ACT_USDT_SWAP,38499,2025-06-03,2026-07-09 13:45,2.9,0,0.25,0.0,3,0,True,spikes>=3,False
15m,okx,ACU_USDT_SWAP,16060,2026-01-23,2026-07-09 13:45,2.9,0,0.25,0.0002,0,0,False,,False
15m,gate,ADA_USDT,9381,2026-03-29,2026-07-04 18:45,117.9,0,0.25,0.0001,0,0,True,stale>48.0h,False
15m,okx,ADA_USDT,38692,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0,2,0,False,,False
15m,okx,ADA_USDT_SWAP,38588,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,2,0,False,,False
15m,okx,ADBE_USDT_SWAP,3474,2026-06-03,2026-07-09 13:45,2.9,0,0.25,0.1503,0,0,True,zero_vol>0.02,True
15m,gate,AERO_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.0187,0,0,True,stale>48.0h,False
15m,okx,AERO_USDT_SWAP,35647,2025-07-03,2026-07-09 13:45,2.9,0,0.25,0.0,0,0,False,,False
15m,okx,AEVO_USDT_SWAP,38499,2025-06-03,2026-07-09 14:00,2.6,0,0.25,0.0,2,0,False,,False
15m,gate,AGLD_USDT,9012,2026-03-29,2026-06-30 23:00,209.6,0,0.25,0.2378,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,AGLD_USDT_SWAP,38499,2025-06-03,2026-07-09 14:00,2.6,0,0.25,0.0,0,0,False,,False
15m,gate,AIGENSYN_USDT,6118,2026-04-29,2026-07-02 07:00,177.6,0,0.25,0.0049,2,0,True,stale>48.0h,False
