feature,gain,split
atr_pct,1.4956634920090437,17
pre_range168,1.2464026920497417,8
slow_slope_12,0.9701942950487137,6
close_vs_ema200,0.9225844014436007,13
pre_range48,0.6309208944439888,8
spread_chg24,0.6077368967235088,6
vol_ratio_mean8,0.5862495992332697,17
ret_12,0.4800052996724844,12
ext_up,0.3485424052923918,7
atr_pct_ratio96,0.3464683014899492,9
volume_z,0.3267248999327421,9
drawdown24,0.3213582020252943,8
ret_4,0.2898183986544609,8
ret_48,0.26847950369119644,5
close_vs_ema55,0.2203469928354025,3
ma_spread_pct,0.18056690506637096,3
order_score,0.12860499322414398,1
volume_ratio,0.1142813004553318,3
full_ratio_min48,0.09468659944832325,2
spread_pos96,0.08320819959044456,2
spread_chg8,0.07238530181348324,3
fast_slow_gap,0.06535260193049908,2
ret_24,0.056543100625276566,1
spread_mean8,0.034947898238897324,1
full_spread,0.0,0
dense_frac48,0.0,0
dense_run_len,0.0,0
spread_mean24,0.0,0
