feature,gain,split
close_vs_ema200,675.9290347099304,25
drawdown24,545.2376146316528,22
ext_up,458.17582416534424,20
atr_pct,347.07172775268555,21
slow_slope_12,325.8157215118408,30
atr_pct_ratio96,307.87041997909546,27
full_spread,237.477689743042,23
ret_4,233.23021984100342,17
fast_slow_gap,188.9967975616455,18
pre_range48,129.7666425704956,10
spread_chg24,125.45421981811523,11
ma_spread_pct,122.88395023345947,10
spread_mean24,117.09054946899414,10
vol_ratio_mean8,110.05924129486084,10
ret_24,109.84338998794556,12
spread_mean8,107.09914922714233,10
volume_ratio,105.21005964279175,10
ret_12,89.73382091522217,10
spread_chg8,88.8079195022583,9
close_vs_ema55,83.81237030029297,7
ret_48,82.56377077102661,8
volume_z,78.18807888031006,8
pre_range168,65.52376937866211,6
dense_run_len,61.88125038146973,6
spread_pos96,58.539130210876465,6
full_ratio_min48,20.372400283813477,2
order_score,9.689149856567383,1
dense_frac48,9.667960166931152,1
