tree
version=v4
num_class=1
num_tree_per_iteration=1
label_index=0
max_feature_idx=27
objective=regression
feature_names=ma_spread_pct full_spread fast_slow_gap full_ratio_min48 spread_mean8 spread_mean24 spread_chg8 spread_chg24 spread_pos96 dense_run_len dense_frac48 ext_up close_vs_ema55 close_vs_ema200 order_score slow_slope_12 volume_ratio volume_z vol_ratio_mean8 atr_pct atr_pct_ratio96 pre_range48 pre_range168 drawdown24 ret_4 ret_12 ret_24 ret_48
feature_infos=[0.00056031941260729998:0.67891621252993795] [0.00088822251590280001:0.75523540767692132] [2.8999967751623144e-06:0.40171456097834901] [1:85.224213359753321] [0.0005278167789982:0.27763457612784981] [0.00068292862993450003:0.172769679842987] [-0.0940593251005723:0.65232138173524645] [-0.154295134716709:0.67462362519676866] [0:1] [0:139] [0:1] [-0.022961338067405:0.43341819500614681] [-0.022961338067405:1.112334407536085] [-0.15066593311313231:1.1605281218158621] [0:4] [-0.049610655946601502:0.023522808680701401] [0.0061780445654078002:18.010597798662634] [-1.4210169936198511:9.6783344182936393] [0.12714464735508191:5.7024800376223732] [0.0015289084661992:0.1213409122783897] [0.4538570824309347:12.538469999594827] [0.0082629717832141993:1.5303596127247581] [0.013206321714656801:1.6182226832641768] [0:0.1595505617977527] [-0.0226268576784041:0.4272133095662507] [-0.0439684329199546:0.5568563154104289] [-0.054669703872437303:0.5723285321345124] [-0.50749659245797374:0.58051695628209221]
tree_sizes=1537

Tree=0
num_leaves=15
num_cat=0
split_feature=0 22 23 11 23 5 11 21 11 25 24 1 21 22
split_gain=0.0924503 0.136401 0.0789853 0.0624443 0.0416413 0.0500607 0.0376064 0.0334849 0.0451884 0.0303651 0.0197744 0.0190744 0.0177667 0.0144128
threshold=0.034565173811662055 0.21623257295923473 0.017415885145458002 0.042242113291027804 0.005250069180070001 0.035817405806295707 0.011711127473250453 0.11863045777855631 0.026825946782418654 0.041748764874543758 0.026030204459434204 0.035966376965812459 0.097177375623248977 0.16817712981004887
decision_type=2 2 2 2 2 2 2 2 2 2 2 2 2 2
left_child=3 2 -2 6 -3 -6 10 9 11 12 -1 -9 13 -8
right_child=1 4 -4 -5 5 -7 7 8 -10 -11 -12 -13 -14 -15
leaf_value=-0.00031796570204650694 0.00087390497600854829 -0.0018081764292704112 0.0037867167382111995 -0.002163062648820083 -0.0008599980361754106 0.0013165850841904904 -0.00048552848804313351 0.00017283437976604665 0.0015596202536862034 -0.00099154321209545329 0.00092816459651405363 -0.0011795223550730926 0.00031451274605669312 -0.00095880759611565521
leaf_weight=6288 61 37 38 48 58 47 1338 63 41 409 31 43 62 182
leaf_count=6288 61 37 38 48 58 47 1338 63 41 409 31 43 62 182
internal_value=-0.000355875 0.000607786 0.00202233 -0.000383293 -0.000388232 0.000120989 -0.000372981 -0.000554196 0.000171647 -0.000608031 -0.000311648 -0.000378214 -0.000508549 -0.000542548
internal_weight=8746 241 99 8505 142 105 8457 2138 147 1991 6319 106 1582 1520
internal_count=8746 241 99 8505 142 105 8457 2138 147 1991 6319 106 1582 1520
is_linear=0
shrinkage=1


end of trees

feature_importances:
ext_up=3
pre_range48=2
pre_range168=2
drawdown24=2
ma_spread_pct=1
full_spread=1
spread_mean24=1
ret_4=1
ret_12=1

parameters:
[boosting: gbdt]
[objective: regression]
[metric: custom]
[tree_learner: serial]
[device_type: cpu]
[data_sample_strategy: bagging]
[data: ]
[valid: ]
[num_iterations: 600]
[learning_rate: 0.05]
[num_leaves: 15]
[num_threads: 1]
[seed: 42]
[deterministic: 1]
[force_col_wise: 1]
[force_row_wise: 0]
[histogram_pool_size: -1]
[max_depth: -1]
[min_data_in_leaf: 30]
[min_sum_hessian_in_leaf: 0.001]
[bagging_fraction: 0.8]
[pos_bagging_fraction: 1]
[neg_bagging_fraction: 1]
[bagging_freq: 1]
[bagging_seed: 42]
[bagging_by_query: 0]
[feature_fraction: 0.8]
[feature_fraction_bynode: 1]
[feature_fraction_seed: 42]
[extra_trees: 0]
[extra_seed: 12879]
[early_stopping_round: 0]
[early_stopping_min_delta: 0]
[first_metric_only: 0]
[max_delta_step: 0]
[lambda_l1: 0]
[lambda_l2: 1]
[linear_lambda: 0]
[min_gain_to_split: 0]
[drop_rate: 0.1]
[max_drop: 50]
[skip_drop: 0.5]
[xgboost_dart_mode: 0]
[uniform_drop: 0]
[drop_seed: 17869]
[top_rate: 0.2]
[other_rate: 0.1]
[min_data_per_group: 100]
[max_cat_threshold: 32]
[cat_l2: 10]
[cat_smooth: 10]
[max_cat_to_onehot: 4]
[top_k: 20]
[monotone_constraints: ]
[monotone_constraints_method: basic]
[monotone_penalty: 0]
[feature_contri: ]
[forcedsplits_filename: ]
[refit_decay_rate: 0.9]
[cegb_tradeoff: 1]
[cegb_penalty_split: 0]
[cegb_penalty_feature_lazy: ]
[cegb_penalty_feature_coupled: ]
[path_smooth: 0]
[interaction_constraints: ]
[verbosity: -1]
[saved_feature_importance_type: 0]
[use_quantized_grad: 0]
[num_grad_quant_bins: 4]
[quant_train_renew_leaf: 0]
[stochastic_rounding: 1]
[linear_tree: 0]
[max_bin: 255]
[max_bin_by_feature: ]
[min_data_in_bin: 3]
[bin_construct_sample_cnt: 200000]
[data_random_seed: 42]
[is_enable_sparse: 1]
[enable_bundle: 1]
[use_missing: 1]
[zero_as_missing: 0]
[feature_pre_filter: 1]
[pre_partition: 0]
[two_round: 0]
[header: 0]
[label_column: ]
[weight_column: ]
[group_column: ]
[ignore_column: ]
[categorical_feature: ]
[forcedbins_filename: ]
[precise_float_parser: 0]
[parser_config_file: ]
[objective_seed: 16083]
[num_class: 1]
[is_unbalance: 0]
[scale_pos_weight: 1]
[sigmoid: 1]
[boost_from_average: 1]
[reg_sqrt: 0]
[alpha: 0.9]
[fair_c: 1]
[poisson_max_delta_step: 0.7]
[tweedie_variance_power: 1.5]
[lambdarank_truncation_level: 30]
[lambdarank_norm: 1]
[label_gain: ]
[lambdarank_position_bias_regularization: 0]
[eval_at: ]
[multi_error_top_k: 1]
[auc_mu_weights: ]
[num_machines: 1]
[local_listen_port: 12400]
[time_out: 120]
[machine_list_filename: ]
[machines: ]
[gpu_platform_id: -1]
[gpu_device_id: -1]
[gpu_use_dp: 0]
[num_gpu: 1]

end of parameters

pandas_categorical:[]
