feature,gain,split
volume_ratio,97.55560946464539,12
pre_range168,41.24783992767334,5
atr_pct,38.49323081970215,4
drawdown24,35.90971040725708,4
ret_24,35.04040050506592,3
ret_12,33.42173957824707,4
atr_pct_ratio96,33.01154947280884,4
volume_z,25.553100109100342,3
vol_ratio_mean8,24.965980052947998,3
ret_4,23.472130060195923,4
spread_mean8,22.52571964263916,2
spread_pos96,20.728229999542236,3
pre_range48,18.17006015777588,3
spread_chg8,17.88760995864868,2
full_ratio_min48,17.342609882354736,2
spread_chg24,16.50625991821289,2
close_vs_ema200,14.579960346221924,2
spread_mean24,13.999549865722656,2
ma_spread_pct,11.202799797058105,1
fast_slow_gap,7.6188201904296875,1
slow_slope_12,6.427830219268799,1
dense_frac48,5.957759857177734,1
ext_up,5.253779888153076,1
full_spread,4.415359973907471,1
order_score,0.0,0
close_vs_ema55,0.0,0
dense_run_len,0.0,0
ret_48,0.0,0
