feature,gain,split
atr_pct,144.0106897354126,17
volume_ratio,124.4270396232605,14
drawdown24,106.24880027770996,13
atr_pct_ratio96,74.11029958724976,12
pre_range168,62.66825008392334,8
full_ratio_min48,60.697789669036865,8
ret_12,49.72268009185791,7
ret_24,49.687490463256836,5
ret_4,47.11130905151367,6
spread_mean24,40.658849477767944,6
spread_chg8,38.115699768066406,5
ma_spread_pct,35.519240379333496,4
vol_ratio_mean8,35.4620406627655,5
volume_z,34.84072971343994,4
close_vs_ema55,34.83371019363403,4
spread_mean8,33.67839002609253,4
pre_range48,32.89419937133789,5
spread_pos96,28.685309886932373,5
ret_48,28.381159782409668,4
dense_frac48,26.370439767837524,4
close_vs_ema200,24.772900104522705,3
fast_slow_gap,23.58840036392212,3
ext_up,22.376830101013184,3
full_spread,21.877540111541748,2
spread_chg24,16.22415065765381,2
slow_slope_12,7.597259998321533,1
dense_run_len,0.0,0
order_score,0.0,0
