panel,gate,base_entry,exit,n,pf_maker,sum_net_maker,win_rate,pf_legacy,pf_2026_04_maker,n_2026_04,sum_net_2026_04,n_frac_of_ungated,pass_pf_1_3,note
E2,spread_no_gate,spread_expand_chg8,no_tp_sl2_h144,6166,1.415,21.8096,0.2071,1.222,0.678,731,-1.89447,1.0,True,
E2,spread_not_btc_up,spread_expand_chg8,no_tp_sl2_h144,6031,1.438,22.40079,0.2091,1.241,0.652,684,-1.92025,0.9781,True,
E2,spread_atr_q34,spread_expand_chg8,no_tp_sl2_h144,3083,1.607,18.82842,0.252,1.424,0.845,261,-0.41076,0.5,True,
E2_on_E1_control,R3_confirm_no_gate,R3_confirm,no_tp_sl2_h144,66697,1.141,134.27284,0.2147,1.04,1.377,5609,28.39838,1.0,False,control only — do not claim E1×E2 combo success
E2_on_E1_control,R3_confirm_not_btc_up,R3_confirm,no_tp_sl2_h144,64995,1.138,127.15984,0.2148,1.036,1.393,5171,27.11365,0.9745,False,control only — do not claim E1×E2 combo success
E2_on_E1_control,R3_confirm_atr_q34,R3_confirm,no_tp_sl2_h144,33349,1.15,93.55632,0.233,1.071,1.998,2015,41.02483,0.5,False,control only — do not claim E1×E2 combo success
