side,n_boxes,lgbm_auc,oracle_n,oracle_pf_maker,rule_n,rule_pf_maker,pass_1.3
long,1152,0.9738,1090,5.62,51172,0.917,False
short,1361,0.9679,1286,7.379,66101,1.127,False
