side,n_boxes,n_features,lgbm_auc,oracle_n,oracle_pf_maker,rule_n,rule_pf_maker,narrow_pf_maker,delta_vs_narrow,pass_1.3
long,1152,116,0.9799,1090,5.62,53466,0.938,0.917,0.021,False
short,1361,116,0.9721,1286,7.417,25718,1.227,1.127,0.1,False
