outcome,gross_ret,entry_time,symbol,signal_time
sl,-0.014211548905860516,2026-04-01 02:15:00+00:00,APR_USDT_SWAP,2026-04-01 02:00:00+00:00
sl,-0.016556493896822344,2026-04-02 15:30:00+00:00,APR_USDT_SWAP,2026-04-02 15:15:00+00:00
tp,0.027913222852218977,2026-04-02 23:30:00+00:00,APR_USDT_SWAP,2026-04-02 23:15:00+00:00
timeout,0.03687399954264803,2026-04-03 12:00:00+00:00,APR_USDT_SWAP,2026-04-03 11:45:00+00:00
timeout,0.004113775270333853,2026-04-04 02:00:00+00:00,APR_USDT_SWAP,2026-04-04 01:45:00+00:00
sl,-0.012760770525842124,2026-04-04 20:00:00+00:00,APR_USDT_SWAP,2026-04-04 19:45:00+00:00
sl,-0.011551316591978944,2026-04-05 00:30:00+00:00,APR_USDT_SWAP,2026-04-05 00:15:00+00:00
sl,-0.015370775801268888,2026-04-05 10:30:00+00:00,APR_USDT_SWAP,2026-04-05 10:15:00+00:00
sl,-0.01631232822087414,2026-04-05 16:45:00+00:00,APR_USDT_SWAP,2026-04-05 16:30:00+00:00
sl,-0.05015720509294752,2026-04-06 21:00:00+00:00,APR_USDT_SWAP,2026-04-06 20:45:00+00:00
timeout,0.02656685077829002,2026-04-07 10:15:00+00:00,APR_USDT_SWAP,2026-04-07 10:00:00+00:00
sl,-0.044746426705671194,2026-04-07 15:45:00+00:00,APR_USDT_SWAP,2026-04-07 15:30:00+00:00
timeout,0.0378724589250905,2026-04-08 02:15:00+00:00,APR_USDT_SWAP,2026-04-08 02:00:00+00:00
sl,-0.026004569598551797,2026-04-08 09:45:00+00:00,APR_USDT_SWAP,2026-04-08 09:30:00+00:00
sl,-0.03539634456885388,2026-04-08 17:30:00+00:00,APR_USDT_SWAP,2026-04-08 17:15:00+00:00
timeout,0.05272544866792994,2026-04-11 06:45:00+00:00,APR_USDT_SWAP,2026-04-11 06:30:00+00:00
sl,-0.022369752265854137,2026-04-12 08:30:00+00:00,APR_USDT_SWAP,2026-04-12 08:15:00+00:00
sl,-0.021150689996050742,2026-04-12 18:15:00+00:00,APR_USDT_SWAP,2026-04-12 18:00:00+00:00
sl,-0.01859536838926501,2026-04-12 22:45:00+00:00,APR_USDT_SWAP,2026-04-12 22:30:00+00:00
sl,-0.015309524144712316,2026-04-13 04:30:00+00:00,APR_USDT_SWAP,2026-04-13 04:15:00+00:00
sl,-0.02142604689570704,2026-04-13 09:00:00+00:00,APR_USDT_SWAP,2026-04-13 08:45:00+00:00
sl,-0.019263159913051275,2026-04-13 15:30:00+00:00,APR_USDT_SWAP,2026-04-13 15:15:00+00:00
timeout,0.09428899961671144,2026-04-15 08:45:00+00:00,APR_USDT_SWAP,2026-04-15 08:30:00+00:00
sl,-0.04493429612594646,2026-04-17 14:15:00+00:00,APR_USDT_SWAP,2026-04-17 14:00:00+00:00
timeout,0.0991596638655462,2026-04-18 03:30:00+00:00,APR_USDT_SWAP,2026-04-18 03:15:00+00:00
timeout,0.05354058721934374,2026-04-18 10:45:00+00:00,APR_USDT_SWAP,2026-04-18 10:30:00+00:00
tp,0.10500631668283344,2026-04-19 03:15:00+00:00,APR_USDT_SWAP,2026-04-19 03:00:00+00:00
tp,0.07627306887726826,2026-04-19 08:15:00+00:00,APR_USDT_SWAP,2026-04-19 08:00:00+00:00
tp,0.0769337588559208,2026-04-19 17:45:00+00:00,APR_USDT_SWAP,2026-04-19 17:30:00+00:00
sl,-0.06588222342331229,2026-04-19 23:00:00+00:00,APR_USDT_SWAP,2026-04-19 22:45:00+00:00
sl,-0.02751224565380328,2026-04-21 17:15:00+00:00,APR_USDT_SWAP,2026-04-21 17:00:00+00:00
sl,-0.026037762425291433,2026-04-22 03:45:00+00:00,APR_USDT_SWAP,2026-04-22 03:30:00+00:00
sl,-0.018295295158365033,2026-04-22 10:00:00+00:00,APR_USDT_SWAP,2026-04-22 09:45:00+00:00
tp,0.04429974281666982,2026-04-22 17:30:00+00:00,APR_USDT_SWAP,2026-04-22 17:15:00+00:00
sl,-0.020734794235329312,2026-04-23 03:15:00+00:00,APR_USDT_SWAP,2026-04-23 03:00:00+00:00
sl,-0.015275460413792574,2026-04-23 07:45:00+00:00,APR_USDT_SWAP,2026-04-23 07:30:00+00:00
sl,-0.016978507188858183,2026-04-23 13:15:00+00:00,APR_USDT_SWAP,2026-04-23 13:00:00+00:00
sl,-0.01636079932514134,2026-04-23 17:45:00+00:00,APR_USDT_SWAP,2026-04-23 17:30:00+00:00
sl,-0.01884322720416942,2026-04-24 05:30:00+00:00,APR_USDT_SWAP,2026-04-24 05:15:00+00:00
sl,-0.013845765548839761,2026-04-24 12:00:00+00:00,APR_USDT_SWAP,2026-04-24 11:45:00+00:00
sl,-0.02658406730904561,2026-04-25 01:15:00+00:00,APR_USDT_SWAP,2026-04-25 01:00:00+00:00
sl,-0.015579652481117812,2026-04-25 15:45:00+00:00,APR_USDT_SWAP,2026-04-25 15:30:00+00:00
tp,0.027420114963998765,2026-04-26 02:15:00+00:00,APR_USDT_SWAP,2026-04-26 02:00:00+00:00
sl,-0.011502447460615572,2026-04-27 03:00:00+00:00,APR_USDT_SWAP,2026-04-27 02:45:00+00:00
sl,-0.014073151985803056,2026-04-27 09:15:00+00:00,APR_USDT_SWAP,2026-04-27 09:00:00+00:00
sl,-0.013064194157661912,2026-04-27 15:00:00+00:00,APR_USDT_SWAP,2026-04-27 14:45:00+00:00
timeout,-0.0068259385665527805,2026-04-28 00:45:00+00:00,APR_USDT_SWAP,2026-04-28 00:30:00+00:00
sl,-0.011175199056148166,2026-04-28 05:15:00+00:00,APR_USDT_SWAP,2026-04-28 05:00:00+00:00
sl,-0.012737703769786668,2026-04-29 11:15:00+00:00,APR_USDT_SWAP,2026-04-29 11:00:00+00:00
sl,-0.014285805068588564,2026-04-29 16:00:00+00:00,APR_USDT_SWAP,2026-04-29 15:45:00+00:00
tp,0.025467167878134078,2026-04-30 04:15:00+00:00,APR_USDT_SWAP,2026-04-30 04:00:00+00:00
sl,-0.02174683525911658,2026-05-02 06:45:00+00:00,APR_USDT_SWAP,2026-05-02 06:30:00+00:00
sl,-0.019688932746310117,2026-05-02 14:30:00+00:00,APR_USDT_SWAP,2026-05-02 14:15:00+00:00
sl,-0.011886074037615435,2026-04-01 06:15:00+00:00,BABY_USDT_SWAP,2026-04-01 06:00:00+00:00
sl,-0.02185849118248484,2026-04-02 04:15:00+00:00,BABY_USDT_SWAP,2026-04-02 04:00:00+00:00
sl,-0.02222585104933872,2026-04-02 09:45:00+00:00,BABY_USDT_SWAP,2026-04-02 09:30:00+00:00
sl,-0.021417282016363837,2026-04-02 16:15:00+00:00,BABY_USDT_SWAP,2026-04-02 16:00:00+00:00
sl,-0.014715004029321133,2026-04-03 16:00:00+00:00,BABY_USDT_SWAP,2026-04-03 15:45:00+00:00
sl,-0.012693242928285553,2026-04-03 22:30:00+00:00,BABY_USDT_SWAP,2026-04-03 22:15:00+00:00
sl,-0.011692253690759324,2026-04-04 03:00:00+00:00,BABY_USDT_SWAP,2026-04-04 02:45:00+00:00
tp,0.025629838880654843,2026-04-04 09:00:00+00:00,BABY_USDT_SWAP,2026-04-04 08:45:00+00:00
sl,-0.011171492433741381,2026-04-06 23:45:00+00:00,BABY_USDT_SWAP,2026-04-06 23:30:00+00:00
sl,-0.01665121629985289,2026-04-07 08:15:00+00:00,BABY_USDT_SWAP,2026-04-07 08:00:00+00:00
sl,-0.019973984173740744,2026-04-07 15:45:00+00:00,BABY_USDT_SWAP,2026-04-07 15:30:00+00:00
sl,-0.009104217476410659,2026-04-08 06:45:00+00:00,BABY_USDT_SWAP,2026-04-08 06:30:00+00:00
sl,-0.014275458623119297,2026-04-09 02:15:00+00:00,BABY_USDT_SWAP,2026-04-09 02:00:00+00:00
sl,-0.015431875413692842,2026-04-10 00:30:00+00:00,BABY_USDT_SWAP,2026-04-10 00:15:00+00:00
sl,-0.012574689518865867,2026-04-10 16:45:00+00:00,BABY_USDT_SWAP,2026-04-10 16:30:00+00:00
sl,-0.009000585110139792,2026-04-10 23:15:00+00:00,BABY_USDT_SWAP,2026-04-10 23:00:00+00:00
sl,-0.014986351504077122,2026-04-12 00:15:00+00:00,BABY_USDT_SWAP,2026-04-12 00:00:00+00:00
sl,-0.019235767715329866,2026-04-12 15:00:00+00:00,BABY_USDT_SWAP,2026-04-12 14:45:00+00:00
timeout,0.0063157894736841635,2026-04-12 23:45:00+00:00,BABY_USDT_SWAP,2026-04-12 23:30:00+00:00
sl,-0.017790215616286575,2026-04-13 07:00:00+00:00,BABY_USDT_SWAP,2026-04-13 06:45:00+00:00
sl,-0.016275869612421445,2026-04-14 14:30:00+00:00,BABY_USDT_SWAP,2026-04-14 14:15:00+00:00
sl,-0.020078813196620082,2026-04-14 19:00:00+00:00,BABY_USDT_SWAP,2026-04-14 18:45:00+00:00
sl,-0.011988967127536387,2026-04-15 10:30:00+00:00,BABY_USDT_SWAP,2026-04-15 10:15:00+00:00
sl,-0.012656255344413614,2026-04-15 15:15:00+00:00,BABY_USDT_SWAP,2026-04-15 15:00:00+00:00
sl,-0.011053517762242393,2026-04-16 00:15:00+00:00,BABY_USDT_SWAP,2026-04-16 00:00:00+00:00
sl,-0.012171454781300106,2026-04-18 02:15:00+00:00,BABY_USDT_SWAP,2026-04-18 02:00:00+00:00
sl,-0.014676281149728077,2026-04-18 17:15:00+00:00,BABY_USDT_SWAP,2026-04-18 17:00:00+00:00
sl,-0.010324820800784451,2026-04-19 00:15:00+00:00,BABY_USDT_SWAP,2026-04-19 00:00:00+00:00
timeout,0.028912633563796364,2026-04-19 13:00:00+00:00,BABY_USDT_SWAP,2026-04-19 12:45:00+00:00
sl,-0.01111485807945578,2026-04-20 04:15:00+00:00,BABY_USDT_SWAP,2026-04-20 04:00:00+00:00
sl,-0.014928135597555237,2026-04-20 10:00:00+00:00,BABY_USDT_SWAP,2026-04-20 09:45:00+00:00
sl,-0.014739148133972702,2026-04-21 15:45:00+00:00,BABY_USDT_SWAP,2026-04-21 15:30:00+00:00
sl,-0.01133032674894019,2026-04-21 22:15:00+00:00,BABY_USDT_SWAP,2026-04-21 22:00:00+00:00
tp,0.024118224241434505,2026-04-22 22:30:00+00:00,BABY_USDT_SWAP,2026-04-22 22:15:00+00:00
sl,-0.014159708591264586,2026-04-23 20:00:00+00:00,BABY_USDT_SWAP,2026-04-23 19:45:00+00:00
sl,-0.01233206313869517,2026-04-24 00:30:00+00:00,BABY_USDT_SWAP,2026-04-24 00:15:00+00:00
sl,-0.010201695885230455,2026-04-24 11:30:00+00:00,BABY_USDT_SWAP,2026-04-24 11:15:00+00:00
sl,-0.0075523736331277735,2026-04-24 22:45:00+00:00,BABY_USDT_SWAP,2026-04-24 22:30:00+00:00
sl,-0.008506581101163535,2026-04-25 03:15:00+00:00,BABY_USDT_SWAP,2026-04-25 03:00:00+00:00
tp,0.02197540484283189,2026-04-25 09:45:00+00:00,BABY_USDT_SWAP,2026-04-25 09:30:00+00:00
tp,0.02178033166353166,2026-04-25 14:15:00+00:00,BABY_USDT_SWAP,2026-04-25 14:00:00+00:00
timeout,0.0051679586563307955,2026-04-26 13:45:00+00:00,BABY_USDT_SWAP,2026-04-26 13:30:00+00:00
sl,-0.007838612434219794,2026-04-27 04:30:00+00:00,BABY_USDT_SWAP,2026-04-27 04:15:00+00:00
sl,-0.01351502604927779,2026-04-27 09:00:00+00:00,BABY_USDT_SWAP,2026-04-27 08:45:00+00:00
sl,-0.013998681641303579,2026-04-27 15:45:00+00:00,BABY_USDT_SWAP,2026-04-27 15:30:00+00:00
sl,-0.012561077552175615,2026-04-27 20:15:00+00:00,BABY_USDT_SWAP,2026-04-27 20:00:00+00:00
sl,-0.012443683945951634,2026-04-28 06:45:00+00:00,BABY_USDT_SWAP,2026-04-28 06:30:00+00:00
sl,-0.00974184076067064,2026-04-28 11:45:00+00:00,BABY_USDT_SWAP,2026-04-28 11:30:00+00:00
sl,-0.005076736663292003,2026-04-28 21:00:00+00:00,BABY_USDT_SWAP,2026-04-28 20:45:00+00:00
tp,0.023382640952256728,2026-04-29 01:30:00+00:00,BABY_USDT_SWAP,2026-04-29 01:15:00+00:00
tp,0.01752860190715333,2026-04-29 07:15:00+00:00,BABY_USDT_SWAP,2026-04-29 07:00:00+00:00
tp,0.028578511943720297,2026-04-29 14:00:00+00:00,BABY_USDT_SWAP,2026-04-29 13:45:00+00:00
tp,0.02592873046918709,2026-04-01 22:30:00+00:00,UNI_USDT,2026-04-01 22:15:00+00:00
timeout,0.009090909090909038,2026-04-03 13:15:00+00:00,UNI_USDT,2026-04-03 13:00:00+00:00
