panel,entry,exit,n,pf_maker,sum_net_maker,win_rate,pf_legacy,owner_recall_w18,jaccard_w18,rule_precision_w18,n_owner_w18,n_rule_overlap_w18,pf_2026_04_maker,n_2026_04,sum_net_2026_04,pass_pf_1_3,pass_overlap_line
E1,spread_expand_chg8,baseline_tp5_sl2_h72,417,1.384,1.07629,0.3765,1.156,0.1842,0.0292,0.0335,76,418,1.185,42,0.04591,True,False
E1,spread_expand_chg8,no_tp_sl2_h144,414,1.866,3.01108,0.2198,1.619,0.1842,0.0292,0.0335,76,418,0.487,42,-0.16162,True,False
E1,spread_expand_chg8,trail4_atr_h144,414,1.518,1.42062,0.4203,1.273,0.1842,0.0292,0.0335,76,418,0.609,42,-0.09345,True,False
E1,R1_stump,baseline_tp5_sl2_h72,12834,1.134,18.21963,0.341,1.002,1.0,0.0059,0.0114,76,12859,0.908,1205,-1.09457,False,True
E1,R1_stump,no_tp_sl2_h144,12808,1.147,23.82474,0.2136,1.034,1.0,0.0059,0.0114,76,12859,0.805,1205,-2.69422,False,True
E1,R1_stump,trail4_atr_h144,12808,1.171,24.67973,0.3866,1.043,1.0,0.0059,0.0114,76,12859,0.914,1205,-1.10189,False,True
E1,R2_and3,baseline_tp5_sl2_h72,2769,1.235,5.39653,0.3485,1.06,0.8553,0.0234,0.0238,76,2770,1.056,294,0.12133,False,True
E1,R2_and3,no_tp_sl2_h144,2760,1.311,8.64971,0.2167,1.155,0.8553,0.0234,0.0238,76,2770,0.801,294,-0.53458,True,True
E1,R2_and3,trail4_atr_h144,2760,1.255,6.01943,0.4058,1.083,0.8553,0.0234,0.0238,76,2770,0.845,294,-0.38741,False,True
E1,R3_confirm,baseline_tp5_sl2_h72,4981,1.092,5.11511,0.3359,0.969,0.9474,0.0144,0.0183,76,4984,0.974,403,-0.09692,False,True
E1,R3_confirm,no_tp_sl2_h144,4974,1.063,4.19326,0.2053,0.962,0.9474,0.0144,0.0183,76,4984,0.65,403,-1.61485,False,True
E1,R3_confirm,trail4_atr_h144,4974,1.28,16.31292,0.3955,1.15,0.9474,0.0144,0.0183,76,4984,0.632,403,-1.66939,False,True
