feature,p2r_stable,net_taker_median_rho,net_taker_same_sign_folds,tp_label_median_rho,tp_label_same_sign_folds,atr_normalized_gross_median_rho,atr_normalized_gross_same_sign_folds,within_atr_net_median_rho,within_atr_net_same_sign_folds,feature_vs_atr_pct_median_rho,mechanical_scale_dominant,scale_robust,classification
pre_range48,True,-0.25582346265740424,5,-0.09194858269367984,5,-0.05182055075869331,4,-0.11061767758441261,5,0.8430212428228815,True,True,mechanical_and_scale_robust
full_spread,True,-0.210746409382982,5,-0.08724261523598964,4,-0.05116252088792256,4,-0.08532695924155344,5,0.564840575731156,True,True,mechanical_and_scale_robust
ma_spread_pct,True,-0.19708806148730265,5,-0.05972890218863821,5,-0.03646183391986858,4,-0.061258237579403345,4,0.5589469954947089,True,True,mechanical_and_scale_robust
close_vs_ema55,True,-0.242809613162706,5,-0.06274764285792062,4,-0.032248189182876724,3,-0.07743229286748017,4,0.6231754742543753,True,False,mechanical_scale_dominant
ext_up,True,-0.23372608599262543,5,-0.07885566499926681,4,-0.02915273463524302,4,-0.03975218994914378,5,0.6080250685360932,True,False,mechanical_scale_dominant
ret_12,True,-0.21777761513658703,5,-0.07324148467890577,4,-0.020487132259449713,4,-0.035483488290529205,5,0.6465924156705339,True,False,mechanical_scale_dominant
spread_mean24,True,-0.19076643230738133,5,-0.046533314666542716,5,-0.016831372699710894,3,-0.0819362192920109,4,0.6230461015416334,True,False,mechanical_scale_dominant
ret_24,True,-0.18765569136642418,5,-0.05431103300572579,5,-0.0369801567311757,3,-0.07527804651940967,4,0.5037548283519844,True,False,mechanical_scale_dominant
spread_mean8,True,-0.18647390205265574,5,-0.042906036144260695,4,-0.024726941968618035,3,-0.04726140878850651,4,0.5754109401153541,True,False,mechanical_scale_dominant
ret_4,True,-0.18332274217175354,5,-0.062304976283739155,4,-0.008417645550736461,3,-0.013807291566381918,5,0.5260557351350548,True,False,mechanical_scale_dominant
drawdown24,True,-0.17453736973738584,5,-0.053681497035075514,3,0.0014218332605260256,3,-0.03319547950291768,5,0.477751023051621,True,False,mechanical_scale_dominant
ret_48,True,-0.15063911384612333,5,-0.04382834575325226,5,-0.029268587070119336,4,-0.0592439264549421,4,0.3273364362582333,True,False,mechanical_scale_dominant
spread_chg8,True,-0.09456480232262826,5,-0.02594330509565378,5,-0.0012676676272770954,3,-0.044910185917879625,3,0.2351790945754549,True,False,mechanical_scale_dominant
dense_run_len,True,0.09204855412342922,5,0.031062500283471496,4,0.022305869022105473,4,0.019898132639978607,5,-0.25879823412106173,True,False,mechanical_scale_dominant
atr_pct_ratio96,True,-0.08690576139751559,5,-0.0815922598265773,4,0.009730237098882795,3,-0.003725424490799328,3,0.38660419425869635,False,False,mixed
atr_pct,True,-0.3001850715423181,5,-0.13744393872995272,5,-0.09003556118675844,4,-0.3124134455929044,5,1.0,False,True,scale_robust
pre_range168,True,-0.2632380864183544,5,-0.07279101234586532,5,-0.05256964885950651,5,-0.16592488489405083,5,0.7712936819779767,False,True,scale_robust
fast_slow_gap,True,-0.15220361752079192,5,-0.08120030892772527,4,-0.058875259304959494,4,-0.07840580668279634,5,0.39543234875400113,False,True,scale_robust
close_vs_ema200,True,-0.14637775683082982,5,-0.07656467221623633,5,-0.04820674918837738,5,-0.03916971781973548,4,0.2527102067455785,False,True,scale_robust
dense_frac48,True,0.2176507022289463,5,0.04001991045877719,5,0.03788315322763315,5,0.11447151757671342,4,-0.5440970945053316,False,True,scale_robust
slow_slope_12,False,-0.09530835591403829,3,-0.060565430826850286,3,-0.0471167043320998,5,-0.01048572241789401,3,-0.08828922250024843,False,False,not_in_frozen_p2r_stable_subset
vol_ratio_mean8,False,-0.024100988814764118,3,-0.005576717325062682,3,0.013419524634462096,4,0.012675888047376732,3,0.07783096313532821,False,False,not_in_frozen_p2r_stable_subset
spread_chg24,False,-0.019754546499338617,4,0.007246476473598561,4,-0.0027174891683242946,3,0.004971416250893082,3,0.08208361042635068,False,False,not_in_frozen_p2r_stable_subset
volume_z,False,-0.004976543753009203,3,-0.02419915767351013,4,0.013621163474019793,4,0.01787962659903228,3,0.10688802391994219,False,False,not_in_frozen_p2r_stable_subset
volume_ratio,False,0.008208879578764398,3,4.207890534265963e-07,3,0.0070100183230097195,4,0.01550192083866899,3,0.013226138950976246,False,False,not_in_frozen_p2r_stable_subset
full_ratio_min48,False,0.012486058555689586,3,-0.03522705409959018,3,-0.01526973518168241,3,-0.015222522141091111,3,-0.06008158171527835,False,False,not_in_frozen_p2r_stable_subset
order_score,False,0.023740763770496165,3,-0.01657934108905459,3,-0.03148371883816166,3,-0.022162167973124758,3,-0.08291987663699943,False,False,not_in_frozen_p2r_stable_subset
spread_pos96,False,0.045020372167547125,3,0.0010607510257515597,3,0.045948066108726926,3,0.028717016146267003,3,0.0077465924204086385,False,False,not_in_frozen_p2r_stable_subset
