feature,gain,split
close_vs_ema55,310.34788036346436,13
close_vs_ema200,239.70330333709717,10
dense_frac48,170.00142192840576,12
spread_chg24,151.70958995819092,12
atr_pct_ratio96,148.35732078552246,10
drawdown24,139.55765056610107,11
spread_chg8,107.97099113464355,9
spread_pos96,107.71628952026367,9
spread_mean24,101.72570037841797,7
volume_ratio,97.39357852935791,8
pre_range168,96.05810165405273,8
ret_4,90.01780033111572,6
atr_pct,86.30419921875,7
ret_48,77.37579917907715,6
dense_run_len,68.57029914855957,3
vol_ratio_mean8,59.294270515441895,5
ret_12,52.19338035583496,4
ma_spread_pct,50.15709972381592,4
slow_slope_12,47.69709873199463,4
ext_up,44.84426021575928,4
fast_slow_gap,44.67539882659912,3
volume_z,39.052700996398926,3
pre_range48,34.78260040283203,3
full_spread,33.713250160217285,3
ret_24,24.609100341796875,2
order_score,22.534300804138184,2
spread_mean8,0.0,0
full_ratio_min48,0.0,0
