feature,gain,split
pre_range168,0.15081379748880863,2
ext_up,0.14523909986019135,3
drawdown24,0.12062660232186317,2
ma_spread_pct,0.09245029836893082,1
pre_range48,0.051251597702503204,2
spread_mean24,0.0500607006251812,1
ret_12,0.030365100130438805,1
ret_4,0.01977439969778061,1
full_spread,0.019074400886893272,1
atr_pct,0.0,0
atr_pct_ratio96,0.0,0
close_vs_ema200,0.0,0
close_vs_ema55,0.0,0
dense_frac48,0.0,0
dense_run_len,0.0,0
fast_slow_gap,0.0,0
full_ratio_min48,0.0,0
order_score,0.0,0
ret_24,0.0,0
ret_48,0.0,0
slow_slope_12,0.0,0
spread_chg24,0.0,0
spread_chg8,0.0,0
spread_mean8,0.0,0
spread_pos96,0.0,0
vol_ratio_mean8,0.0,0
volume_ratio,0.0,0
volume_z,0.0,0
