window,n_owner,n_rule,owner_hit,rule_hit,owner_recall,rule_precision_vs_owner,jaccard_approx,entry
0,76,418,3,3,0.0395,0.0072,0.0061,spread_expand_chg8
8,76,418,13,13,0.1711,0.0311,0.027,spread_expand_chg8
18,76,418,14,14,0.1842,0.0335,0.0292,spread_expand_chg8
48,76,418,15,17,0.1974,0.0407,0.0313,spread_expand_chg8
0,76,12859,5,5,0.0658,0.0004,0.0004,R1_stump
8,76,12859,70,70,0.9211,0.0054,0.0054,R1_stump
18,76,12859,76,146,1.0,0.0114,0.0059,R1_stump
48,76,12859,76,292,1.0,0.0227,0.0059,R1_stump
0,76,2770,11,11,0.1447,0.004,0.0039,R2_and3
8,76,2770,61,61,0.8026,0.022,0.0219,R2_and3
18,76,2770,65,66,0.8553,0.0238,0.0234,R2_and3
48,76,2770,66,85,0.8684,0.0307,0.0237,R2_and3
0,76,4984,14,14,0.1842,0.0028,0.0028,R3_confirm
8,76,4984,70,70,0.9211,0.014,0.014,R3_confirm
18,76,4984,72,91,0.9474,0.0183,0.0144,R3_confirm
48,76,4984,75,146,0.9868,0.0293,0.015,R3_confirm
