window,n_owner,n_rule,owner_hit,rule_hit,owner_recall,rule_precision_vs_owner,jaccard_approx,entry
0,76,512,5,5,0.0658,0.0098,0.0086,spread_base
8,76,512,17,17,0.2237,0.0332,0.0298,spread_base
18,76,512,19,19,0.25,0.0371,0.0334,spread_base
48,76,512,21,25,0.2763,0.0488,0.037,spread_base
0,76,512,5,5,0.0658,0.0098,0.0086,spread_sparse
8,76,512,17,17,0.2237,0.0332,0.0298,spread_sparse
18,76,512,19,19,0.25,0.0371,0.0334,spread_sparse
48,76,512,21,25,0.2763,0.0488,0.037,spread_sparse
0,76,293,1,1,0.0132,0.0034,0.0027,two_stage
8,76,293,13,13,0.1711,0.0444,0.0365,two_stage
18,76,293,13,13,0.1711,0.0444,0.0365,two_stage
48,76,293,17,17,0.2237,0.058,0.0483,two_stage
