feature,fold_1_test_spearman,fold_1_train_spearman,fold_2_test_spearman,fold_2_train_spearman,fold_3_test_spearman,fold_3_train_spearman,fold_4_test_spearman,fold_4_train_spearman,fold_5_test_spearman,fold_5_train_spearman,test_median_spearman,test_min_spearman,test_max_spearman,same_sign_test_folds,stable_by_preregistered_rule,missing_total,nonfinite_total
atr_pct,-0.28645845412726506,-0.34025960899737523,-0.5155444990797993,-0.3523852398471082,-0.3001850715423181,-0.3611982418893182,-0.41703961557340435,-0.3880274188868247,-0.27270939074548783,-0.3775270227776978,-0.3001850715423181,-0.5155444990797993,-0.27270939074548783,5,True,0,0
pre_range168,-0.21309728457622876,-0.2996898427074871,-0.37394074833502117,-0.3023819111761731,-0.2632380864183544,-0.2926516003082559,-0.3616153108756572,-0.28927079594684535,-0.23940308408385857,-0.2955552349220381,-0.2632380864183544,-0.37394074833502117,-0.21309728457622876,5,True,0,0
pre_range48,-0.25394951792772175,-0.28237024340899863,-0.3775121057213975,-0.30457496277075147,-0.2423904716520648,-0.3024482024071815,-0.32331850559790953,-0.305563947454752,-0.25582346265740424,-0.30454928160358474,-0.25582346265740424,-0.3775121057213975,-0.2423904716520648,5,True,0,0
close_vs_ema55,-0.29548047281957185,-0.3031747724935439,-0.313167492712333,-0.2957954270665812,-0.13875220676275396,-0.32157105226385263,-0.242809613162706,-0.30575044957519076,-0.19691084943453882,-0.28966747864683084,-0.242809613162706,-0.313167492712333,-0.13875220676275396,5,True,0,0
ext_up,-0.2948468400947851,-0.355125092883248,-0.3407403403197565,-0.30399644163756645,-0.13032893944069893,-0.31852892630860646,-0.23372608599262543,-0.31378417567032046,-0.13213571601507956,-0.2889028554951727,-0.23372608599262543,-0.3407403403197565,-0.13032893944069893,5,True,0,0
ret_12,-0.27798586702396727,-0.33531563642066703,-0.3342236976632823,-0.303588924852001,-0.1266174669839079,-0.30854161899092397,-0.21777761513658703,-0.30162739676860684,-0.15871624346225532,-0.28491161442557317,-0.21777761513658703,-0.3342236976632823,-0.1266174669839079,5,True,0,0
full_spread,-0.210746409382982,-0.1993145109488395,-0.24099546408888103,-0.18116357377132314,-0.1520435802089025,-0.2013570123610945,-0.26498283469097583,-0.1943085106509729,-0.18178464419829377,-0.20410889536110025,-0.210746409382982,-0.26498283469097583,-0.1520435802089025,5,True,0,0
ma_spread_pct,-0.20537290685219964,-0.1888362963799667,-0.19708806148730265,-0.21347913703040036,-0.1175640710441703,-0.22918524547798816,-0.20713771697301903,-0.21000036952206366,-0.1951797034644115,-0.21158709964892292,-0.19708806148730265,-0.20713771697301903,-0.1175640710441703,5,True,0,0
spread_mean24,-0.10523908464611037,-0.1925109817039958,-0.245817622207739,-0.21469761131262052,-0.18041557876797298,-0.18343768834459653,-0.26932254423857804,-0.18856208874713087,-0.19076643230738133,-0.2031439492862715,-0.19076643230738133,-0.26932254423857804,-0.10523908464611037,5,True,0,0
ret_24,-0.2200603875724754,-0.153689736883255,-0.21866043331239626,-0.1850193340338305,-0.11258737775572603,-0.21419417613248273,-0.14737262815400795,-0.20131613588694333,-0.18765569136642418,-0.20249884654168235,-0.18765569136642418,-0.2200603875724754,-0.11258737775572603,5,True,0,0
spread_mean8,-0.12478149570788287,-0.16301292136968565,-0.19954216427880953,-0.19644631232025211,-0.15284487185942885,-0.18107836663737872,-0.2370741867871208,-0.17637044233658422,-0.18647390205265574,-0.19039370937395883,-0.18647390205265574,-0.2370741867871208,-0.12478149570788287,5,True,0,0
ret_4,-0.278676819643563,-0.2862567863107048,-0.254162998991486,-0.254610499333011,-0.08840566860180199,-0.27009541917355656,-0.18332274217175354,-0.25754262708778103,-0.09815856459836844,-0.23774427467763934,-0.18332274217175354,-0.278676819643563,-0.08840566860180199,5,True,0,0
drawdown24,-0.18631711897489853,-0.047432027994492205,-0.1771133247608474,-0.07914561138205903,-0.11357995937314697,-0.11092027487820436,-0.17453736973738584,-0.12978801134256476,-0.11164094628844475,-0.12932515641634143,-0.17453736973738584,-0.18631711897489853,-0.11164094628844475,5,True,0,0
fast_slow_gap,-0.15220361752079192,-0.1618775276844678,-0.1705225667965464,-0.11489682557142475,-0.13954834627607007,-0.1333126080154887,-0.19260300786554047,-0.12891801017360988,-0.13777360553040058,-0.14204884890314473,-0.15220361752079192,-0.19260300786554047,-0.13777360553040058,5,True,0,0
ret_48,-0.23266009361153633,-0.15087987805435868,-0.16039298716390452,-0.15081836046877553,-0.06547388601238043,-0.2013181457671893,-0.12708933878918657,-0.18723012391781318,-0.15063911384612333,-0.18025050128434336,-0.15063911384612333,-0.23266009361153633,-0.06547388601238043,5,True,0,0
close_vs_ema200,-0.22301355340999396,-0.21181611097637915,-0.14637775683082982,-0.20027304046251446,-0.13353343447113442,-0.22678254936203923,-0.03204694442244028,-0.19424862708931448,-0.18676840208537798,-0.18906859457858677,-0.14637775683082982,-0.22301355340999396,-0.03204694442244028,5,True,0,0
spread_chg8,-0.24518401255069006,-0.1182350124824383,-0.09456480232262826,-0.12213974547643565,-0.044678918449845076,-0.19913566055368437,-0.06449473309111194,-0.1657413221716012,-0.16118046013116222,-0.152009028588792,-0.09456480232262826,-0.24518401255069006,-0.044678918449845076,5,True,0,0
atr_pct_ratio96,-0.1554599411960275,-0.25243544713587013,-0.1891658498109847,-0.19325003823563425,-0.08690576139751559,-0.1819313178527699,-0.04389387747271865,-0.19100405304075294,-0.039258704362078255,-0.16635191441532107,-0.08690576139751559,-0.1891658498109847,-0.039258704362078255,5,True,0,0
dense_run_len,0.06594033148527914,0.043449543062474026,0.10782050064243265,0.08714266989536863,0.06781806065700773,0.07821937039658541,0.10965423043565202,0.07668639078433227,0.09204855412342922,0.08628592313565005,0.09204855412342922,0.06594033148527914,0.10965423043565202,5,True,0,0
dense_frac48,0.12392748535935416,0.1447277241858075,0.2176507022289463,0.17426211499295513,0.22871488550589783,0.15239936482908797,0.26904749018362756,0.15665147245049374,0.19893104616914606,0.17911208636634882,0.2176507022289463,0.12392748535935416,0.26904749018362756,5,True,0,0
slow_slope_12,-0.1195796330156499,-0.10762409933157593,0.017100117873907788,-0.08965565251577766,-0.09530835591403829,-0.11413423637113572,0.0757088523286125,-0.07716655682225775,-0.12645605316178365,-0.08006577779114105,-0.09530835591403829,-0.12645605316178365,0.0757088523286125,3,False,0,0
vol_ratio_mean8,-0.1727178486335894,-0.0022935198268618194,-0.02512222779641042,-0.04652360296771538,-0.024100988814764118,-0.06960384314006123,0.06473623901001363,-0.06229955212361073,0.00879652675516964,-0.06255747591191983,-0.024100988814764118,-0.1727178486335894,0.06473623901001363,3,False,0,0
spread_chg24,-0.16032862933749947,0.017994823543662913,-0.019754546499338617,-0.020485653493039598,0.026929536685672308,-0.09366622906469818,-0.012861155809204558,-0.07455786732294001,-0.04378961197662355,-0.06813814873765735,-0.019754546499338617,-0.16032862933749947,0.026929536685672308,4,False,0,0
volume_z,-0.13394762589278916,-0.2015903023466278,-0.06676688651038465,-0.14459716437926334,-0.004976543753009203,-0.13626924498751106,0.02926257925992264,-0.12076256895332915,0.023510883501209272,-0.09901393138301248,-0.004976543753009203,-0.13394762589278916,0.02926257925992264,3,False,0,0
volume_ratio,-0.12745255049211057,-0.10997927571573957,-0.04480036099278036,-0.08557388562079636,0.009478252422099645,-0.09008285042062933,0.04258558539891661,-0.07949944701100876,0.008208879578764398,-0.06696980109706241,0.008208879578764398,-0.12745255049211057,0.04258558539891661,3,False,0,0
full_ratio_min48,0.012486058555689586,0.07587967539345927,0.02268971708802111,0.017934214891525982,-0.022637494829343168,-0.011390436722840397,0.07968457467042254,0.008313428767698975,-0.05369383907315254,-0.008159778855168809,0.012486058555689586,-0.05369383907315254,0.07968457467042254,3,False,0,0
order_score,-0.06930826244843065,0.01740284440097161,0.06366579127141954,0.0014969886599376495,0.024527676350879237,-0.03374447597987165,0.023740763770496165,-0.00907202481713201,-0.06754669567095335,0.0011133183496472186,0.023740763770496165,-0.06930826244843065,0.06366579127141954,3,False,0,0
spread_pos96,-0.07876562503964349,-0.06792324352927619,0.045020372167547125,-0.058511444701497904,0.04932250233751596,-0.08096583456846004,0.08420087511559299,-0.05719705331040179,-0.028172685131587036,-0.03840859088315939,0.045020372167547125,-0.07876562503964349,0.08420087511559299,3,False,0,0
