month,n_all,pf_all,n_kept,pf_kept,sum_net_kept,score_thr_median_prior
2025-07,261,1.627,135,2.088,1.39996,3.0926
2025-08,385,1.196,243,1.031,0.06602,3.0969
2025-09,602,1.223,249,1.416,0.8325,3.136
2025-10,405,1.552,238,1.964,2.25511,3.1138
2025-11,499,1.81,271,1.961,2.64417,3.1263
2025-12,768,1.102,404,1.006,0.02329,3.1318
2026-01,761,2.161,384,2.394,4.45133,3.1348
2026-02,611,1.841,290,1.089,0.29792,3.1352
2026-03,843,1.297,436,1.345,1.37773,3.1337
2026-04,731,0.678,297,0.899,-0.24257,3.1352
2026-05,39,0.342,8,0.222,-0.06482,3.1289
