panel,entry,exit,n,pf_maker,sum_net_maker,win_rate,pf_legacy
A_fixed_entry_vary_exit,spread_expand_chg8_short,baseline_tp5_sl2_h72,6202,1.245,10.47028,0.3541,1.037
A_fixed_entry_vary_exit,spread_expand_chg8_short,no_tp_sl2_h144,6166,1.415,21.8096,0.2071,1.222
A_fixed_entry_vary_exit,spread_expand_chg8_short,trail4_atr_h144,6166,1.359,15.37714,0.4199,1.141
A_fixed_entry_vary_exit,spread_expand_chg8_short,ma_ema55_h144,6166,1.316,13.17759,0.3393,1.096
A_fixed_exit_vary_entry,ctrl_fixed_short,no_tp_sl2_h144,16059,1.285,35.32085,0.1888,1.09
A_fixed_exit_vary_entry,arrange_order_score,no_tp_sl2_h144,4609,1.275,9.79422,0.1814,1.082
A_fixed_exit_vary_entry,range_break_n20,no_tp_sl2_h144,7788,1.252,15.48406,0.1821,1.065
A_fixed_exit_vary_entry,spread_expand_chg8,no_tp_sl2_h144,6166,1.415,21.8096,0.2071,1.222
