Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
设备 mps

    批大小     预测长度       用时       每条     25602条需要
      1       72     7.8s    7.83s        55.7h
      8       72    36.1s    4.51s        32.1h
     32       72   182.9s    5.71s        40.6h
      1       24     2.5s    2.50s        17.8h
      8       24    13.4s    1.68s        11.9h
     32       24    46.4s    1.45s        10.3h
      1       12     0.9s    0.89s         6.3h
      8       12     6.2s    0.77s         5.5h
     32       12    28.7s    0.90s         6.4h
