feature,gain
box_width_bars,436.77899169921875
ma_spread_pct,0.0
full_spread,0.0
fast_slow_gap,0.0
full_ratio_min48,0.0
spread_mean8,0.0
spread_mean24,0.0
spread_chg8,0.0
spread_chg24,0.0
spread_pos96,0.0
dense_run_len,0.0
dense_frac48,0.0
ext_up,0.0
close_vs_ema55,0.0
close_vs_ema200,0.0
order_score,0.0
slow_slope_12,0.0
volume_ratio,0.0
volume_z,0.0
vol_ratio_mean8,0.0
atr_pct,0.0
atr_pct_ratio96,0.0
pre_range48,0.0
pre_range168,0.0
drawdown24,0.0
ret_4,0.0
ret_12,0.0
ret_24,0.0
ret_48,0.0
box_height_pct,0.0
box_right_frac,0.0
