scope,n_pos,n_neg,fav_pos_mean,fav_pos_median,fav_pos_q25,fav_pos_q75,fav_neg_mean,fav_neg_median,fav_neg_q25,fav_neg_q75,fav_U_p,fav_rank_biserial,adv_pos_mean,adv_pos_median,adv_pos_q25,adv_pos_q75,adv_neg_mean,adv_neg_median,adv_neg_q25,adv_neg_q75,adv_U_p,adv_rank_biserial,pos_median_net,neg_median_net,pos_net_minus_cost,covers_cost
version:v169_seed (long),30,50,0.039615293,0.021648225,0.014827645,0.0504908425,0.029202416,0.025769145,0.015452690000000002,0.0382670975,0.7618049384908377,0.041333333333333444,-0.002810671333333334,-0.00150069,-0.004214755000000001,-0.000371165,-0.0048186314000000004,-0.0036186400000000002,-0.0067374424999999995,-0.0013105875,0.02376135155480348,0.30400000000000005,0.020147535,0.022150505,0.018147535,True
version:v170_mixed (long),82,557,0.05644977878048779,0.031372045,0.0108607925,0.0616758275,0.03332961669658887,0.01865369,0.0070922,0.03717362,0.000680288794215957,0.2322108858431493,-0.012657521707317076,-0.00351467,-0.0150315425,-0.00112568,-0.02626347461400359,-0.02072743,-0.03802798,-0.00732357,1.8883556284810048e-11,0.4589044095108814,0.027857375,-0.002073740000000001,0.025857375000000002,True
version:v171_hard_mining (long),164,674,0.03999894652439024,0.02057927,0.0053593650000000005,0.0459152,0.03531393930267062,0.019817519999999998,0.0074043699999999995,0.04039349,0.8766500731619148,0.007816457986538294,-0.015479038719512197,-0.004055145,-0.02099276,-0.0012383,-0.02614836715133531,-0.019470164999999998,-0.037967677500000005,-0.00658063,1.2081039498563498e-12,0.357358688572049,0.016524125,0.0003473550000000006,0.014524125,True
version:v172_base (long),82,557,0.05644977878048779,0.031372045,0.0108607925,0.0616758275,0.03332961669658887,0.01865369,0.0070922,0.03717362,0.000680288794215957,0.2322108858431493,-0.012657521707317076,-0.00351467,-0.0150315425,-0.00112568,-0.02626347461400359,-0.02072743,-0.03802798,-0.00732357,1.8883556284810048e-11,0.4589044095108814,0.027857375,-0.002073740000000001,0.025857375000000002,True
version:v172_balanced (long),79,343,0.05585636569620254,0.02960559,0.01031322,0.057752455,0.06324496795918366,0.02710611,0.00957606,0.070234715,0.8254823186297674,0.01594272428682153,-0.013489401139240508,-0.00356575,-0.01755304,-0.00116322,-0.022868391807580175,-0.00865551,-0.02838281,-0.0013928249999999999,0.04291234108384592,0.14606783038712767,0.02603984,0.018450599999999998,0.02403984,True
version:v172_active_feedback (long),2,224,0.026171085,0.026171085,0.013488307500000001,0.0388538625,0.09236481258928571,0.05011472,0.0174049625,0.1134665075,,,-0.025098195,-0.025098195,-0.0364652575,-0.013731132499999998,-0.020831455669642857,-0.00316715,-0.0210461075,-0.0005247525,,,0.00107289,0.04694757,-0.0009271100000000001,False
version:v176_human_seed (long),28,92,0.016528761428571428,0.01032632,0.004787665,0.019483195,0.015217045760869564,0.012215315000000001,0.0064992575,0.021559210000000002,0.40048752174734104,-0.10559006211180122,-0.012149147142857142,-0.007244365,-0.0182407,-0.001170125,-0.014182973260869569,-0.0106546,-0.02120899,-0.003999455,0.22275486003510203,0.1529503105590062,0.003081955,0.0015607150000000007,0.001081955,True
version:v177_combined (long),129,831,0.04400037837209303,0.0212739,0.00836871,0.05133104,0.046416666413959085,0.02134338,0.008707514999999999,0.04606606,0.647059248224368,0.025037546992042747,-0.01121311449612403,-0.00355135,-0.01412714,-0.0008507,-0.023099651684717212,-0.01468788,-0.031147805,-0.003392725,8.4290848198445e-10,0.33546021884532506,0.017722549999999997,0.006655499999999998,0.015722549999999995,True
version:v178_user_feedback (long),241,992,0.034182243360995845,0.01963321,0.00836871,0.04332479,0.04123727936491936,0.018168265,0.0070951025000000004,0.04160419,0.7343601665069821,0.014079440503279361,-0.010449628630705395,-0.00336041,-0.01332584,-0.00086022,-0.021669465967741934,-0.01329149,-0.02879777,-0.0036473525,3.2648331016926253e-17,0.3499489693481461,0.0162728,0.004876775,0.0142728,True
version:v179_clean_feedback (long),114,203,0.022953000614035084,0.01595624,0.0080673275,0.03147378,0.015562033103448275,0.00929355,0.0035603650000000002,0.01982933,0.0002808974554600336,0.2458733039495289,-0.008723855087719298,-0.002507795,-0.0116535625,-0.00089757,-0.01378188290640394,-0.00884823,-0.017612935,-0.003990189999999999,4.77060489650751e-08,0.3695445510327544,0.013448445,0.00044531999999999905,0.011448445,True
version:v180_hard_negative (long),111,308,0.024777600720720723,0.01726384,0.008067845,0.031724230000000006,0.014644531525974025,0.009687335,0.00349206,0.0193602125,8.652265788135219e-06,0.2846905346905346,-0.00883044972972973,-0.00253947,-0.011551160000000001,-0.0008715999999999999,-0.014757408214285712,-0.008731365000000001,-0.0203921725,-0.003658325,2.1573637392623672e-08,0.3583128583128583,0.014724369999999999,0.0009559699999999987,0.012724369999999999,True
version:v181_long_first (long),271,1162,0.03293958693726937,0.01930199,0.008067845,0.041287094999999996,0.03761140532702237,0.01699511,0.006698775,0.037454825,0.28515526060909735,0.041644702161307334,-0.01096551184501845,-0.00356575,-0.01502514,-0.00094753,-0.02108928343373494,-0.01287294,-0.028115664999999998,-0.0037062975,1.1235508370301243e-16,0.32302113038342095,0.015736240000000002,0.004122170000000001,0.013736240000000002,True
merged_dedup (long),301,1365,0.03147590252491694,0.0178499,0.00743825,0.0382328,0.04055405806593406,0.01731088,0.00696613,0.03957131,0.8440147833183705,-0.007238387304832505,-0.011174543787375415,-0.00387553,-0.01533301,-0.00095077,-0.020138555633699633,-0.0119343,-0.02679739,-0.00324149,9.232937877312961e-14,0.2740291823348302,0.013974369999999998,0.005376580000000001,0.011974369999999998,True
