fold,test_start,test_end,rows,atr_return_scale_median,tp_before_sl_rate,gross_mean,net_taker_mean,atr_normalized_gross_mean,atr_normalized_gross_median,tp_median_atr_units,sl_median_atr_units,timeout_median_atr_units,atr_quintile_rows
1,2026-02-15T13:00:00+00:00,2026-03-01T17:15:00+00:00,2937,0.006743108359357172,0.3302689819543752,0.0035472452760391716,0.0025472452760391716,0.6334298687087652,-1.9999999999999796,5.0000000000001075,-2.0000000000000395,2.084331638651983,"[588, 587, 587, 587, 588]"
2,2026-03-01T17:15:00+00:00,2026-03-17T13:15:00+00:00,2918,0.006656497487459043,0.13502398903358465,-0.004932104278642514,-0.005932104278642518,-0.6664392524590705,-2.000000000000003,5.000000000000174,-2.0000000000000386,1.3604383300159784,"[584, 583, 584, 583, 584]"
3,2026-03-17T13:15:00+00:00,2026-04-01T17:45:00+00:00,2996,0.0052312040059518386,0.3007343124165554,0.0018237913480333848,0.0008237913480333822,0.4080735227565378,-1.9999999999999822,5.000000000000112,-2.00000000000004,1.7759773249926278,"[600, 599, 599, 599, 599]"
4,2026-04-01T17:45:00+00:00,2026-04-18T08:30:00+00:00,2944,0.005354507687496049,0.20414402173913043,-0.001394967776562279,-0.002394967776562281,-0.1999102383836434,-1.9999999999999898,5.000000000000112,-2.000000000000039,1.3464105978541991,"[589, 589, 588, 589, 589]"
5,2026-04-18T08:30:00+00:00,2026-05-04T00:00:00+00:00,3000,0.005466596574329474,0.24266666666666667,0.0007089682889027927,-0.00029103171109721033,0.048774180523041104,-1.999999999999983,5.000000000000137,-2.0000000000000324,1.1886047522174885,"[600, 600, 600, 600, 600]"
