panel,entry,thr_spread,gap,order_max,ret8_max,exit,n,pf_maker,sum_net_maker,win_rate,pf_legacy,pf_2026_04,n_2026_04,sum_net_2026_04,owner_recall_w18,rule_precision_w18,jaccard_w18,ge_1_3,apr_not_collapse,is_primary
two_stage,two_stage,0.014,36,0.0,-0.015,baseline_tp5_sl2_h72,1417,1.105,1.54885,0.362,0.973,1.516,115,0.41154,0.1106,0.1001,0.0555,False,True,True
two_stage,two_stage,0.014,36,0.0,-0.015,no_tp_sl2_h144,1416,1.365,6.32025,0.2747,1.231,1.525,115,0.53191,0.1106,0.1001,0.0555,True,True,True
two_stage,two_stage,0.014,36,0.0,-0.015,trail4_atr_h144,1416,1.441,6.81638,0.399,1.29,1.794,115,0.58206,0.1106,0.1001,0.0555,True,True,True
two_stage,two_stage_predeclared,0.006,36,0.0,-0.015,baseline_tp5_sl2_h72,4135,1.314,10.42866,0.3753,1.126,1.311,415,0.86116,0.2375,0.0737,0.0596,True,True,False
two_stage,two_stage_predeclared,0.006,36,0.0,-0.015,no_tp_sl2_h144,4118,1.435,17.78038,0.2402,1.266,0.93,415,-0.25103,0.2375,0.0737,0.0596,True,False,False
two_stage,two_stage_predeclared,0.006,36,0.0,-0.015,trail4_atr_h144,4118,1.5,16.51624,0.4303,1.295,1.181,415,0.52612,0.2375,0.0737,0.0596,True,True,False
