feat,top_mean,rest_mean,top_med,rest_med,ks,delta_mean
pre_range48,0.08342193416743048,0.046360047177562556,0.06360439491739985,0.0387267904509284,0.42417029308643006,0.03706188698986792
atr_pct,0.011390686012678425,0.006557555177701993,0.008996621155988701,0.0056927695637571,0.41963454009513745,0.0048331308349764315
drawdown24,0.05715651106120969,0.03185701423419693,0.0429500376299467,0.0259284420289855,0.41912444568297536,0.02529949682701276
spread_mean24,0.011915694052575062,0.006074401995623673,0.008794575782984749,0.0047798530020795,0.37669217669704924,0.005841292056951389
full_spread,0.02920626770973359,0.015456533209040694,0.02089974788756265,0.0112478974485821,0.3686229999563349,0.013749734500692895
af_vol_of_vol,0.0030608655328710167,0.0015839036873765088,0.002010104600825397,0.0011950318872481107,0.36212136232819997,0.001476961845494508
pre_range168,0.14200325363865415,0.08848138941577499,0.11351108107308565,0.074126870990734,0.35632451292345996,0.05352186422287916
af_ma_bandwidth_pct,0.023468767256143077,0.012528576449962189,0.016364634042375287,0.009098658520859705,0.34005070397301684,0.010940190806180888
af_vwap_dev,-0.022387463413762056,-0.013352698324260283,-0.017483098791876817,-0.01099030246888133,0.33908060818531094,-0.009034765089501772
ret_12,-0.029878586683218418,-0.017798768215570172,-0.024226183622675902,-0.0142708488181954,0.335158471467115,-0.012079818467648246
ext_up,-0.027787649338009028,-0.016813627491785946,-0.021552612747079,-0.0134208284176327,0.33408236134789066,-0.010974021846223082
spread_mean8,0.012183060148603752,0.006224110668924177,0.00852700706100765,0.0044584102987233,0.3311131729694001,0.0059589494796795745
fast_slow_gap,0.01728667125746114,0.008827801577340061,0.012053529686846351,0.0059041672092467,0.3067425264768778,0.008458869680121078
close_vs_ema55,-0.026362274592371372,-0.01647654892215344,-0.0205102015537725,-0.0131469030872807,0.2915208961799796,-0.009885725670217931
af_rev5,0.023431063784165408,0.014190094041882224,0.01820063873983535,0.01115039434321452,0.28526605062039095,0.009240969742283184
ma_spread_pct,0.015809539133505534,0.008763667791542126,0.0113663286600004,0.0066578033228225,0.2797184107932597,0.007045871341963408
ret_4,-0.01996127378756501,-0.01206705747036905,-0.01545472851612065,-0.0092219020172911,0.2710641218979283,-0.007894216317195961
ret_24,-0.032541124643770944,-0.019200646368229844,-0.02597862781071155,-0.0157601977750307,0.2689174862928173,-0.0133404782755411
af_mom20,-0.03057301333087292,-0.01886203059806205,-0.023792241553312443,-0.015164162493043976,0.26249264674326855,-0.01171098273281087
slow_slope_12,-7.394856910770125e-05,-0.0006267109787500716,-4.667777722849875e-05,-0.0005031853023582,0.25379411180998157,0.0005527624096423703
af_convergence_speed,0.006090592343013002,0.003238745758004666,0.004925016428324929,0.002812105064455164,0.24301906777477283,0.0028518465850083364
dense_frac48,0.13313387751337388,0.25587114798509986,0.0416666666666666,0.1875,0.2382828676754864,-0.12273727047172597
atr_pct_ratio96,1.1660392682251128,1.0249675771246503,1.1066201639234796,0.9703907571519984,0.20817830197536724,0.14107169110046258
af_obv_slope,-0.0030760414289225137,-0.0006221508260279187,-0.00025041573571308565,-0.00012160455631717567,0.19029390725873024,-0.0024538906028945947
ret_48,-0.027571172521519,-0.01966473292014065,-0.023674172697120202,-0.0160126296797473,0.18450609071730867,-0.007906439601378351
close_vs_ema200,-0.021530742988840987,-0.01730610524031913,-0.01827494821236105,-0.0135502792697673,0.16280754135392878,-0.0042246377485218554
spread_chg8,0.003815465350234278,0.0032668475462929634,0.003980909956917101,0.0028982252083466,0.1622690177848084,0.0005486178039413145
spread_chg24,0.0047782361584488755,0.0022434378132352227,0.0026691100259882,0.0014018266274498,0.16118739799376725,0.002534798345213653
af_illiq,1.7610521932634724,1.4114137151325246,0.054997577770281775,0.11046709612912844,0.14394577349766635,0.34963847813094784
af_ma_order_score,1.1272827891532928,0.8567558415171013,1.0,1.0,0.1095675263691207,0.27052694763619156
full_ratio_min48,2.700954863789195,2.395141985155246,1.5590990422193118,1.67658244444,0.10394185159830144,0.3058128786339491
dense_run_len,0.13558384061981185,1.2293938367761599,0.0,0.0,0.09175295830958774,-1.093809996156348
