source,symbol,signal_time,detected_at,status,score,threshold,model_path,dataset_sha256,signal_i,entry_time,entry_price,maker_filled,outcome,label,exit_offset,exit_time,realized_ret,atr_pct,dense_run_len,tier,size_mult
okx,OL_USDT_SWAP,2026-07-18 16:45:00+00:00,2026-07-18T18:02:34.860360+00:00,closed,0.0212025029768544,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,25178,2026-07-18 17:00:00+00:00,0.005005,True,timeout,0,72,2026-07-19 11:00:00+00:00,0.003996003996004,0.0074022671023107,0,,
okx,GPS_USDT_SWAP,2026-07-18 20:15:00+00:00,2026-07-19T09:02:41.864174+00:00,closed,0.0210765034910187,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,39378,2026-07-18 20:30:00+00:00,0.009005,False,timeout,0,72,2026-07-19 14:30:00+00:00,-0.0069961132704053,0.0054683944121648,0,,
okx,YB_USDT_SWAP,2026-07-18 21:00:00+00:00,2026-07-19T05:02:25.595131+00:00,closed,0.0233314940948853,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,26840,2026-07-18 21:15:00+00:00,0.07789,False,tp,1,17,2026-07-19 01:30:00+00:00,0.0369683071707009,0.0073927123120048,0,,
okx,MVLL_USDT_SWAP,2026-07-19 02:45:00+00:00,2026-07-19T21:27:37.449774+00:00,closed,0.0204422574265094,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,1606,2026-07-19 03:00:00+00:00,21.11,True,tp,1,19,2026-07-19 07:45:00+00:00,0.0181461111331746,0.0036275038448988,0,,
okx,KAITO_USDT_SWAP,2026-07-19 03:00:00+00:00,2026-07-19T07:17:42.103356+00:00,closed,0.0285821417581535,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,39404,2026-07-19 03:15:00+00:00,0.8384,True,tp,1,6,2026-07-19 04:45:00+00:00,0.0465443233656619,0.0093088646731324,0,,
okx,RAM_USDT_SWAP,2026-07-19 03:00:00+00:00,2026-07-20T17:27:03.369258+00:00,closed,0.0311989379452257,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,1605,2026-07-19 03:15:00+00:00,12.25,True,sl,0,5,2026-07-19 04:30:00+00:00,-0.0237244705665462,0.0118428999364381,0,,
okx,KAITO_USDT_SWAP,2026-07-19 03:15:00+00:00,2026-07-19T05:47:30.098722+00:00,closed,0.0284856545424845,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,39405,2026-07-19 03:30:00+00:00,0.8429,True,tp,1,5,2026-07-19 04:45:00+00:00,0.045743088421523,0.0091486176843046,0,,
okx,KAITO_USDT_SWAP,2026-07-19 03:30:00+00:00,2026-07-19T05:02:25.595131+00:00,closed,0.0305586690702105,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,39406,2026-07-19 03:45:00+00:00,0.8525,True,tp,1,5,2026-07-19 05:00:00+00:00,0.0528478458312964,0.0105708091438714,0,,
okx,KAITO_USDT_SWAP,2026-07-19 04:00:00+00:00,2026-07-19T06:32:28.680631+00:00,closed,0.0394987223847177,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,39408,2026-07-19 04:15:00+00:00,0.8506,True,tp,1,3,2026-07-19 05:00:00+00:00,0.0544538865034613,0.010892057815366,0,,
okx,MUU_USDT_SWAP,2026-07-19 04:00:00+00:00,2026-07-20T08:17:45.016668+00:00,closed,0.0259522949667427,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,1610,2026-07-19 04:15:00+00:00,27.05,True,tp,1,19,2026-07-19 09:00:00+00:00,0.0157275715654741,0.003144351890954,0,,
okx,OPG_USDT_SWAP,2026-07-19 04:00:00+00:00,2026-07-19T08:47:26.301041+00:00,closed,0.0233090306715469,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,8332,2026-07-19 04:15:00+00:00,0.1045,False,tp,1,13,2026-07-19 07:30:00+00:00,0.0300069390095727,0.0060013878019145,0,,
okx,EDEN_USDT_SWAP,2026-07-19 04:30:00+00:00,2026-07-19T14:17:28.055226+00:00,closed,0.0247147638651711,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,28004,2026-07-19 04:45:00+00:00,0.04178,True,tp,1,8,2026-07-19 06:45:00+00:00,0.0280977415888585,0.0056208936728873,0,,
okx,EDEN_USDT_SWAP,2026-07-19 04:45:00+00:00,2026-07-19T13:32:29.996759+00:00,closed,0.0208263903904056,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,28005,2026-07-19 05:00:00+00:00,0.04197,True,tp,1,7,2026-07-19 06:45:00+00:00,0.0277596367585226,0.0055545742777363,0,,
okx,HOME_USDT_SWAP,2026-07-19 05:15:00+00:00,2026-07-20T14:35:19.453279+00:00,closed,0.0620724658403776,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,1867,2026-07-19 05:30:00+00:00,0.00765,True,tp,1,14,2026-07-19 09:00:00+00:00,0.1049472764483667,0.0209894552896733,0,,
okx,RECALL_USDT_SWAP,2026-07-19 11:00:00+00:00,2026-07-20T14:02:29.714496+00:00,closed,0.0232111175014738,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,1892,2026-07-19 11:15:00+00:00,0.03825,True,sl,0,68,2026-07-20 04:15:00+00:00,-0.0173841218954687,0.0086966081938488,0,,
okx,PARTI_USDT_SWAP,2026-07-19 17:45:00+00:00,2026-07-20T22:47:13.602367+00:00,closed,0.0282527749310712,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,1884,2026-07-19 18:00:00+00:00,0.02938,True,sl,0,2,2026-07-19 18:30:00+00:00,-0.0243651061084532,0.0121867010123656,0,,
okx,CAP_USDT_SWAP,2026-07-20 05:00:00+00:00,2026-07-20T17:27:03.369258+00:00,closed,0.0348177163003948,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,1951,2026-07-20 05:15:00+00:00,0.01931,False,tp,1,23,2026-07-20 11:00:00+00:00,0.054374682579573,0.0108693076667862,0,,
okx,XPL_USDT_SWAP,2026-07-20 06:00:00+00:00,2026-07-21T00:02:16.082616+00:00,closed,0.027371838437826,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,1928,2026-07-20 06:15:00+00:00,0.08227,True,tp,1,42,2026-07-20 16:45:00+00:00,0.0442979771763185,0.0088585186735433,0,,
okx,DOOD_USDT_SWAP,2026-07-20 08:15:00+00:00,2026-07-20T14:02:29.714496+00:00,closed,0.0222843067231775,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,1977,2026-07-20 08:30:00+00:00,0.001442,True,tp,1,19,2026-07-20 13:15:00+00:00,0.0458368836932094,0.0091673767386419,0,,
okx,RECALL_USDT_SWAP,2026-07-20 08:30:00+00:00,2026-07-20T13:17:25.400204+00:00,closed,0.0457245152585547,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,1981,2026-07-20 08:45:00+00:00,0.03934,True,tp,1,18,2026-07-20 13:15:00+00:00,0.0621364630582417,0.012424134468672,0,,
okx,BONK_USDT_SWAP,2026-07-20 08:45:00+00:00,2026-07-20T14:17:55.899569+00:00,closed,0.0281261609767412,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,1978,2026-07-20 09:00:00+00:00,2.957e-06,True,tp,1,13,2026-07-20 12:15:00+00:00,0.0640336780513517,0.0128067356102703,0,,
okx,UB_USDT_SWAP,2026-07-20 09:30:00+00:00,2026-07-20T14:02:29.714496+00:00,closed,0.026216886371746,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,1982,2026-07-20 09:45:00+00:00,0.09242,True,tp,1,15,2026-07-20 13:30:00+00:00,0.0654868413405005,0.0131044578904169,0,,
okx,LIGHT_USDT_SWAP,2026-07-20 09:45:00+00:00,2026-07-21T00:32:13.817031+00:00,closed,0.0210258122907275,0.0202214184738154,models/frozen_tp5_sl2_swap_yolo_v11_reg_20260718.txt,ffc2be68faf45cc9df2e5baae19f7029889f131008a4c941824fa4c8913bc2dd,1941,2026-07-20 10:00:00+00:00,0.1205,False,tp,1,26,2026-07-20 16:30:00+00:00,0.0371620509464678,0.0074262473284401,0,,
