symbol,signal_time,segment,outcome,net_ret,ctrl_mean,excess,cell,week,n_ctrl
0G_USDT_SWAP,2026-03-03 03:00:00+00:00,preholdout,sl,-0.013491596504437941,-0.008424283662268658,-0.005067312842169283,0G_USDT_SWAP|2026-03|q3,2026-W09,8
0G_USDT_SWAP,2026-03-03 10:00:00+00:00,preholdout,sl,-0.012941062079281872,-0.003434417460590266,-0.009506644618691606,0G_USDT_SWAP|2026-03|q2,2026-W09,8
0G_USDT_SWAP,2026-03-05 20:00:00+00:00,preholdout,sl,-0.011851498662731785,-0.004898103802165359,-0.006953394860566425,0G_USDT_SWAP|2026-03|q2,2026-W09,8
0G_USDT_SWAP,2026-03-06 02:00:00+00:00,preholdout,sl,-0.010000623628594395,-0.0020240730432739377,-0.007976550585320458,0G_USDT_SWAP|2026-03|q1,2026-W09,8
0G_USDT_SWAP,2026-03-06 06:30:00+00:00,preholdout,sl,-0.010060890382579134,-0.007263648745363626,-0.0027972416372155084,0G_USDT_SWAP|2026-03|q1,2026-W09,8
0G_USDT_SWAP,2026-03-06 14:00:00+00:00,preholdout,timeout,0.006692011932383158,-0.006645917685732302,0.01333792961811546,0G_USDT_SWAP|2026-03|q3,2026-W09,8
0G_USDT_SWAP,2026-03-10 08:00:00+00:00,preholdout,sl,-0.00756312309896685,0.001142793168156967,-0.008705916267123817,0G_USDT_SWAP|2026-03|q0,2026-W10,8
0G_USDT_SWAP,2026-03-10 13:00:00+00:00,preholdout,sl,-0.010195442164971657,-0.005803799429297856,-0.004391642735673801,0G_USDT_SWAP|2026-03|q1,2026-W10,8
0G_USDT_SWAP,2026-03-10 23:00:00+00:00,preholdout,sl,-0.011590936858444766,-0.006554887981236362,-0.0050360488772084044,0G_USDT_SWAP|2026-03|q2,2026-W10,8
0G_USDT_SWAP,2026-03-16 00:30:00+00:00,preholdout,tp,0.02497671773732939,-0.004990337209421197,0.029967054946750588,0G_USDT_SWAP|2026-03|q2,2026-W11,8
0G_USDT_SWAP,2026-03-16 17:30:00+00:00,preholdout,sl,-0.011344062811444133,0.0011326282405438627,-0.012476691051987995,0G_USDT_SWAP|2026-03|q2,2026-W11,8
0G_USDT_SWAP,2026-03-18 09:00:00+00:00,preholdout,sl,-0.010931132282351829,-0.005447337235014071,-0.005483795047337758,0G_USDT_SWAP|2026-03|q2,2026-W11,8
