entry,exit,period,n,pf_maker,sum_net_maker,win_rate
spread_base,no_tp_sl2_h144,2025-06,18,0.988,-0.00161,0.2778
spread_base,no_tp_sl2_h144,2025-07,22,1.591,0.1246,0.2727
spread_base,no_tp_sl2_h144,2025-08,29,1.353,0.08415,0.3103
spread_base,no_tp_sl2_h144,2025-09,48,1.94,0.3355,0.2708
spread_base,no_tp_sl2_h144,2025-10,38,4.521,1.14592,0.3158
spread_base,no_tp_sl2_h144,2025-11,46,1.973,0.45263,0.2609
spread_base,no_tp_sl2_h144,2025-12,53,0.92,-0.03884,0.1509
spread_base,no_tp_sl2_h144,2026-01,67,1.754,0.41648,0.2388
spread_base,no_tp_sl2_h144,2026-02,50,2.214,0.69932,0.22
spread_base,no_tp_sl2_h144,2026-03,78,1.098,0.07268,0.1795
spread_base,no_tp_sl2_h144,2026-04,57,0.529,-0.20724,0.1754
spread_base,no_tp_sl2_h144,2026-05,2,0.0,-0.02451,0.0
spread_sparse,no_tp_sl2_h144,2025-06,18,0.988,-0.00161,0.2778
spread_sparse,no_tp_sl2_h144,2025-07,22,1.591,0.1246,0.2727
spread_sparse,no_tp_sl2_h144,2025-08,29,1.353,0.08415,0.3103
spread_sparse,no_tp_sl2_h144,2025-09,48,1.94,0.3355,0.2708
spread_sparse,no_tp_sl2_h144,2025-10,38,4.521,1.14592,0.3158
spread_sparse,no_tp_sl2_h144,2025-11,46,1.973,0.45263,0.2609
spread_sparse,no_tp_sl2_h144,2025-12,53,0.92,-0.03884,0.1509
spread_sparse,no_tp_sl2_h144,2026-01,67,1.754,0.41648,0.2388
spread_sparse,no_tp_sl2_h144,2026-02,50,2.214,0.69932,0.22
spread_sparse,no_tp_sl2_h144,2026-03,78,1.098,0.07268,0.1795
spread_sparse,no_tp_sl2_h144,2026-04,57,0.529,-0.20724,0.1754
spread_sparse,no_tp_sl2_h144,2026-05,2,0.0,-0.02451,0.0
two_stage,no_tp_sl2_h144,2025-06,13,0.621,-0.04874,0.0769
two_stage,no_tp_sl2_h144,2025-07,10,2.348,0.14062,0.3
two_stage,no_tp_sl2_h144,2025-08,18,2.327,0.14709,0.4444
two_stage,no_tp_sl2_h144,2025-09,23,1.331,0.06909,0.2609
two_stage,no_tp_sl2_h144,2025-10,25,5.169,1.06579,0.36
two_stage,no_tp_sl2_h144,2025-11,34,2.337,0.45729,0.2941
two_stage,no_tp_sl2_h144,2025-12,35,0.599,-0.14347,0.1143
two_stage,no_tp_sl2_h144,2026-01,36,1.804,0.24635,0.3056
two_stage,no_tp_sl2_h144,2026-02,31,1.168,0.06873,0.1935
two_stage,no_tp_sl2_h144,2026-03,39,1.872,0.32506,0.2821
two_stage,no_tp_sl2_h144,2026-04,28,0.648,-0.07642,0.2857
two_stage,no_tp_sl2_h144,2026-05,1,0.0,-0.01579,0.0
