panel,gate,base_entry,exit,n,pf_maker,sum_net_maker,win_rate,pf_legacy,pf_2026_04_maker,n_2026_04,sum_net_2026_04,n_frac_of_ungated,pass_pf_1_3,note
E2,spread_no_gate,spread_expand_chg8,no_tp_sl2_h144,414,1.866,3.01108,0.2198,1.619,0.487,42,-0.16162,1.0,True,
E2,spread_not_btc_up,spread_expand_chg8,no_tp_sl2_h144,406,1.914,3.09557,0.2217,1.66,0.487,42,-0.16162,0.9807,True,
E2,spread_atr_q34,spread_expand_chg8,no_tp_sl2_h144,207,2.419,2.81746,0.2899,2.153,1.167,13,0.01575,0.5,True,
E2_on_E1_control,R2_and3_no_gate,R2_and3,no_tp_sl2_h144,2760,1.311,8.64971,0.2167,1.155,0.801,294,-0.53458,1.0,True,control only — do not claim E1×E2 combo success
E2_on_E1_control,R2_and3_not_btc_up,R2_and3,no_tp_sl2_h144,2663,1.327,8.76042,0.217,1.169,0.902,259,-0.22576,0.9649,True,control only — do not claim E1×E2 combo success
E2_on_E1_control,R2_and3_atr_q34,R2_and3,no_tp_sl2_h144,1380,1.387,6.48847,0.2486,1.25,0.81,98,-0.22295,0.5,True,control only — do not claim E1×E2 combo success
