variant,side,dir_rule,n_next_open,win_next_open,net_maker_next_open,pf_maker_next_open,pf_legacy_next_open,n_signal_close,win_signal_close,net_maker_signal_close,pf_maker_signal_close,pf_legacy_signal_close,delta_pf_maker_close_minus_next
ctrl_fixed_long,long,fixed +1 at dense tip (run==5); no select,1279,0.2955,-0.00106,0.851,0.696,1279,0.2932,-0.00118,0.835,0.683,-0.016
ctrl_fixed_long,short,fixed +1 at dense tip (run==5); no select,0,,,,,0,,,,,
ctrl_fixed_short,long,fixed -1 at dense tip (run==5); no select,0,,,,,0,,,,,
ctrl_fixed_short,short,fixed -1 at dense tip (run==5); no select,1279,0.3081,1e-05,1.001,0.822,1279,0.3081,3e-05,1.005,0.825,0.004
arrange_order_score,long,at tip: order_score>=3 and >down_order_score → +1; down_order_score>=3 and >order_score → -1; else skip,358,0.2849,-0.00145,0.799,0.653,358,0.2821,-0.00157,0.783,0.64,-0.016
arrange_order_score,short,at tip: order_score>=3 and >down_order_score → +1; down_order_score>=3 and >order_score → -1; else skip,385,0.3117,0.00028,1.041,0.856,385,0.3091,0.00019,1.028,0.845,-0.013
range_break_n20,long,"after tip, first close>max(high[i-N:i]) → +1; close<min(low[i-N:i]) → -1; N=20; wait≤48",578,0.3166,-0.0003,0.956,0.782,578,0.3183,-0.00022,0.967,0.791,0.011
range_break_n20,short,"after tip, first close>max(high[i-N:i]) → +1; close<min(low[i-N:i]) → -1; N=20; wait≤48",633,0.3523,0.00132,1.202,0.989,633,0.3507,0.00127,1.195,0.983,-0.007
spread_expand_chg8,long,"after tip, first fast_spread[i]-fast_spread[i-8] >= thr; dir = +1 if close>=cluster_mid else -1",504,0.2798,-0.00151,0.809,0.673,504,0.2817,-0.00145,0.815,0.679,0.006
spread_expand_chg8,short,"after tip, first fast_spread[i]-fast_spread[i-8] >= thr; dir = +1 if close>=cluster_mid else -1",518,0.3707,0.00262,1.382,1.158,518,0.3668,0.00247,1.359,1.138,-0.023
