source,symbol,entry_time,exit_time,score,w,outcome,gross_ret
okx,ZETA_USDT_SWAP,2025-07-13 01:00:00+00:00,2025-07-13 13:45:00+00:00,0.0203980069878909,1.0,tp,0.0547105580769022
okx,CVX_USDT_SWAP,2025-07-13 06:15:00+00:00,2025-07-13 07:45:00+00:00,0.0227269192777302,1.0,tp,0.0283600948962661
okx,JELLYJELLY_USDT_SWAP,2025-07-14 02:15:00+00:00,2025-07-14 14:30:00+00:00,0.0214821736875637,1.0,sl,-0.0197747120864441
okx,AIXBT_USDT_SWAP,2025-07-14 02:30:00+00:00,2025-07-14 03:45:00+00:00,0.0291913522617648,1.0,tp,0.0587499049149222
okx,H_USDT_SWAP,2025-07-14 13:00:00+00:00,2025-07-14 14:45:00+00:00,0.0644944472643214,1.0,sl,-0.0445278715455996
okx,BERA_USDT_SWAP,2025-07-18 03:30:00+00:00,2025-07-18 11:30:00+00:00,0.0276584822048832,1.0,sl,-0.0221476570464186
okx,OP_USDT_SWAP,2025-07-25 21:30:00+00:00,2025-07-26 15:30:00+00:00,0.0215241132236109,1.0,timeout,0.0048644892286309
okx,AR_USDT_SWAP,2025-08-20 15:45:00+00:00,2025-08-21 07:30:00+00:00,0.0206951877049789,1.0,sl,-0.0191271318172431
okx,BAND_USDT_SWAP,2025-08-22 15:00:00+00:00,2025-08-22 15:30:00+00:00,0.0285446366807639,1.0,tp,0.0745338424480608
okx,ARB_USDT_SWAP,2025-08-22 15:15:00+00:00,2025-08-22 18:45:00+00:00,0.0378197054183318,1.0,tp,0.0862781748558627
okx,JUP_USDT_SWAP,2025-08-22 15:30:00+00:00,2025-08-23 09:30:00+00:00,0.037341874454764,1.0,timeout,0.0110102375893372
okx,LRC_USDT_SWAP,2025-09-02 03:45:00+00:00,2025-09-02 06:00:00+00:00,0.0304681321387839,1.0,tp,0.0520046651408323
okx,SOON_USDT_SWAP,2025-09-09 15:00:00+00:00,2025-09-09 18:45:00+00:00,0.0409457639335711,1.0,tp,0.0684425250730738
okx,ATH_USDT_SWAP,2025-09-14 02:45:00+00:00,2025-09-14 06:00:00+00:00,0.0389695887693976,1.0,tp,0.072615929647136
okx,ETHFI_USDT_SWAP,2025-09-17 20:15:00+00:00,2025-09-17 21:15:00+00:00,0.0222720597144999,1.0,sl,-0.0304119157474361
okx,JELLYJELLY_USDT_SWAP,2025-09-24 20:30:00+00:00,2025-09-25 06:30:00+00:00,0.0211421796526065,1.0,sl,-0.0279984750539081
okx,SNX_USDT_SWAP,2025-09-26 07:15:00+00:00,2025-09-26 08:00:00+00:00,0.0436415878824449,1.0,tp,0.0947916540461639
okx,GRASS_USDT_SWAP,2025-09-26 18:15:00+00:00,2025-09-27 02:45:00+00:00,0.043916789533519,1.0,tp,0.0666319238977559
okx,XPL_USDT_SWAP,2025-10-05 14:00:00+00:00,2025-10-05 17:00:00+00:00,0.0225870310765456,1.0,sl,-0.0291681278495727
