候选 5802   maker 6bp/边   taker 10bp/边

现行(三腿全 taker,市价入场): 成交 100.0%  净/候选 -0.0688%
只把止盈腿改挂单     : 成交 100.0%  净/候选 -0.0579%  (+1.09bp)

      入场挂单偏移    等待      成交率       净/成交单       净/候选      vs现行
          0bp     1   100.0%    -0.0179%   -0.0179%    +5.09bp
          1bp     1    90.8%    -0.0505%   -0.0459%    +2.29bp
          2bp     1    89.5%    -0.0442%   -0.0396%    +2.92bp
          5bp     1    84.5%    -0.0403%   -0.0340%    +3.48bp
         10bp     1    74.4%    -0.0603%   -0.0448%    +2.40bp
         20bp     1    57.6%    -0.0528%   -0.0304%    +3.84bp
          0bp     2   100.0%    -0.0179%   -0.0179%    +5.09bp
          1bp     2    93.6%    -0.0535%   -0.0501%    +1.87bp
          2bp     2    92.7%    -0.0449%   -0.0416%    +2.72bp
          5bp     2    88.9%    -0.0377%   -0.0335%    +3.53bp
         10bp     2    81.8%    -0.0566%   -0.0463%    +2.25bp
         20bp     2    68.7%    -0.0513%   -0.0353%    +3.35bp
          0bp     4   100.0%    -0.0179%   -0.0179%    +5.09bp
          1bp     4    95.7%    -0.0543%   -0.0520%    +1.68bp
          2bp     4    95.1%    -0.0460%   -0.0437%    +2.51bp
          5bp     4    92.5%    -0.0386%   -0.0357%    +3.31bp
         10bp     4    87.3%    -0.0511%   -0.0446%    +2.42bp
         20bp     4    77.3%    -0.0467%   -0.0361%    +3.27bp

判读: 最佳 = 入场挂 0bp 等 1 根 + 止盈挂单:成交率 100.0%,净/候选 -0.0179%,比现行 +5.09bp
注:止损腿必然 taker(止损追价);成本假设改动属 owner 决策,本脚本只测不改。
