symbol,t,short_ret,atr_pct,b1,right_frac,future_bars_visible
NIGHT_USDT_SWAP,2026-04-18 12:30:00+00:00,-0.01255622372981502,0.006357943627556697,23,0.11557788944723618,176
BNB_USDT,2025-08-16 12:30:00+00:00,-0.005719850321369235,0.0028753365758401803,135,0.678391959798995,64
DOGE_USDT,2025-09-14 06:15:00+00:00,0.04115973799088657,0.007906790890861853,93,0.46733668341708545,106
BNB_USDT,2025-08-21 09:15:00+00:00,0.02076945401050856,0.0040693721640880365,102,0.5125628140703518,97
ADA_USDT,2025-10-19 10:00:00+00:00,-0.013065401736222726,0.006622309835953237,169,0.8492462311557789,30
XPL_USDT_SWAP,2026-01-26 01:45:00+00:00,-0.01905332536431581,0.009719722490702408,99,0.49748743718592964,100
AVAX_USDT,2025-08-30 16:15:00+00:00,-0.00839202652409976,0.004229924170176837,94,0.4723618090452261,105
ZEC_USDT,2026-04-24 22:45:00+00:00,0.012612359550561836,0.008873121908308178,79,0.3969849246231156,120
APE_USDT,2025-06-04 17:15:00+00:00,0.033688699360341134,0.010931891556015545,144,0.7236180904522613,55
WLD_USDT,2025-06-21 23:30:00+00:00,-0.020536398665743194,0.010478497996925573,102,0.5125628140703518,97
ACH_USDT_SWAP,2025-10-10 16:45:00+00:00,0.05017227491844167,0.009555056083029423,38,0.19095477386934673,161
LTC_USDT,2025-10-20 20:00:00+00:00,0.022640501380713163,0.004425989883091603,104,0.5226130653266332,95
LTC_USDT,2025-09-22 03:30:00+00:00,0.02636602514579045,0.005137280845420457,151,0.7587939698492462,48
MSTR_USDT_SWAP,2026-06-01 07:00:00+00:00,0.017392391457648815,0.0034213999895449376,144,0.7236180904522613,55
DOGE_USDT_SWAP,2026-05-22 19:30:00+00:00,-0.011971898689291827,0.006059069122896025,142,0.7135678391959799,57
HMSTR_USDT_SWAP,2025-12-26 11:00:00+00:00,-0.01992012982888014,0.010162503299553637,197,0.9899497487437185,2
FIL_USDT,2025-10-25 17:00:00+00:00,-0.006312203762211532,0.003172099177312432,72,0.36180904522613067,127
SOL_USDT,2025-07-17 19:30:00+00:00,-0.011191445239604025,0.00565873177523969,183,0.9195979899497487,16
SHELL_USDT_SWAP,2026-02-18 10:30:00+00:00,0.02316103400981029,0.004528726073966083,73,0.36683417085427134,126
FIL_USDT,2025-09-01 19:00:00+00:00,0.037989328678156964,0.007319791760582952,96,0.4824120603015075,103
ETHFI_USDT,2025-09-01 18:30:00+00:00,0.04101905060001343,0.007880557147608607,93,0.46733668341708545,106
HYPE_USDT,2025-12-17 04:30:00+00:00,-0.023659393954799324,0.01211772913063575,30,0.1507537688442211,169
KSM_USDT_SWAP,2026-05-07 03:00:00+00:00,-0.02262847071764551,0.011584820874807408,136,0.6834170854271356,63
CVX_USDT_SWAP,2026-01-22 08:15:00+00:00,-0.01395793955909086,0.007074372626618334,80,0.4020100502512563,119
SAND_USDT_SWAP,2026-06-20 01:30:00+00:00,-0.014651060793357207,0.007431631595541628,151,0.7587939698492462,48
ICX_USDT_SWAP,2025-06-09 02:00:00+00:00,-0.019701811335477326,0.010046406960439604,160,0.8040201005025126,39
SIGN_USDT_SWAP,2025-09-20 00:30:00+00:00,-0.014536527250846198,0.007375477454427403,37,0.18592964824120603,162
BOME_USDT_SWAP,2025-11-30 23:45:00+00:00,0.039884665901892324,0.0076709787555719515,157,0.7889447236180904,42
LIGHT_USDT_SWAP,2026-01-19 00:15:00+00:00,0.020570948782535847,0.029567072619433202,73,0.36683417085427134,126
PI_USDT_SWAP,2025-08-18 01:30:00+00:00,0.022140448464077256,0.004332173430245668,75,0.3768844221105528,124
IOST_USDT_SWAP,2026-07-01 14:15:00+00:00,-0.01001659650790776,0.005063973036606785,61,0.3065326633165829,138
RAY_USDT_SWAP,2026-03-22 00:45:00+00:00,-0.012271720552058829,0.006213133901309555,107,0.5376884422110553,92
ONDO_USDT_SWAP,2025-12-15 15:00:00+00:00,0.0444571605217563,0.008514950788845555,154,0.7738693467336684,45
ADA_USDT_SWAP,2025-08-12 15:30:00+00:00,-0.015098970329899153,0.0076652221264083085,59,0.2964824120603015,140
RSR_USDT_SWAP,2025-11-24 16:30:00+00:00,-0.016901529763028278,0.008593486843933573,41,0.20603015075376885,158
MOVE_USDT_SWAP,2025-11-30 23:30:00+00:00,0.023237816636063613,0.00454110288757974,148,0.7437185929648241,51
MEW_USDT_SWAP,2025-07-28 14:45:00+00:00,0.057577796562302774,0.01088557948119377,113,0.5678391959798995,86
UNI_USDT_SWAP,2025-11-09 12:00:00+00:00,-0.022109185289641564,0.011299251422144049,85,0.4271356783919598,114
HBAR_USDT_SWAP,2025-11-30 23:45:00+00:00,0.02499370896651376,0.004876160372840908,50,0.25125628140703515,149
MMT_USDT_SWAP,2025-12-12 13:45:00+00:00,-0.014010974947399002,0.007105035954457776,93,0.46733668341708545,106
WLD_USDT_SWAP,2025-12-15 15:00:00+00:00,0.04702704480544084,0.008981356160972034,152,0.7638190954773869,47
ENA_USDT_SWAP,2025-10-10 16:30:00+00:00,0.07016304875762591,0.0131125904298564,113,0.5678391959798995,86
ADA_USDT_SWAP,2025-11-09 15:45:00+00:00,-0.01336328813469001,0.006772142154241234,33,0.1658291457286432,166
PYTH_USDT_SWAP,2025-07-23 10:00:00+00:00,0.045120234368728473,0.008635705854660466,41,0.20603015075376885,158
ADA_USDT_SWAP,2025-07-28 14:15:00+00:00,0.0022421524663678305,0.008235066961499017,43,0.21608040201005024,156
SAHARA_USDT_SWAP,2025-08-22 15:30:00+00:00,-0.01850484362479965,0.009425816686555956,153,0.7688442211055276,46
FARTCOIN_USDT_SWAP,2025-06-20 14:30:00+00:00,0.09793857697984398,0.017838609662312894,97,0.48743718592964824,102
APR_USDT_SWAP,2025-11-21 00:30:00+00:00,0.08351541694800702,0.015419109320303454,135,0.678391959798995,64
YFI_USDT_SWAP,2025-11-17 14:15:00+00:00,-0.015986926158949477,0.008121493132621282,86,0.4321608040201005,113
FIL_USDT_SWAP,2025-10-26 08:15:00+00:00,-0.006583651722410044,0.0033136417242503233,57,0.2864321608040201,142
XTZ_USDT_SWAP,2025-10-10 17:00:00+00:00,0.04752657467289434,0.00907544529805223,49,0.24623115577889448,150
VANA_USDT_SWAP,2025-10-26 23:15:00+00:00,-0.008322848760801915,0.0041948150908918585,11,0.05527638190954774,188
CELO_USDT_SWAP,2025-11-03 03:00:00+00:00,0.062408237578450265,0.011753163964229282,110,0.5527638190954773,89
CFX_USDT_SWAP,2025-10-26 10:00:00+00:00,-0.007494760184682869,0.003775677892681707,65,0.32663316582914576,134
PYTH_USDT_SWAP,2025-10-12 16:15:00+00:00,-0.029234803411385846,0.015057607912871453,42,0.21105527638190955,157
PEPE_USDT_SWAP,2025-08-29 07:15:00+00:00,-0.012655317524344789,0.006408763701756673,83,0.41708542713567837,116
APE_USDT_SWAP,2025-11-16 11:45:00+00:00,0.030660863465135968,0.005948030678792453,89,0.4472361809045226,110
COMP_USDT_SWAP,2025-08-11 11:00:00+00:00,0.033351605104298576,0.006453820054949345,78,0.39195979899497485,121
FLOKI_USDT_SWAP,2025-08-22 15:00:00+00:00,-0.024953338600556818,0.01279475005424037,147,0.7386934673366834,52
LUNA_USDT_SWAP,2025-08-14 08:45:00+00:00,0.03334079647459376,0.00645301077598815,151,0.7587939698492462,48
BLUR_USDT_SWAP,2025-07-31 13:45:00+00:00,-0.013470252142821049,0.006828587653840811,34,0.1708542713567839,165
ETH_USDT_SWAP,2025-09-22 00:00:00+00:00,0.01313367359278561,0.002592683262853326,66,0.3316582914572864,133
ORDI_USDT_SWAP,2025-07-02 10:00:00+00:00,-0.010257279330496694,0.005182511835591918,127,0.6381909547738693,72
IOTA_USDT_SWAP,2025-07-28 13:45:00+00:00,0.03657983457908376,0.007061105942939372,140,0.7035175879396985,59
ZRO_USDT_SWAP,2025-10-10 16:00:00+00:00,0.05968676094375147,0.011259833377444491,149,0.7487437185929648,50
SAPIEN_USDT_SWAP,2025-11-09 07:45:00+00:00,-0.0899286714338634,0.049444830259778555,141,0.7085427135678392,58
AUCTION_USDT_SWAP,2025-11-19 04:00:00+00:00,0.02761135037365814,0.005374788066045066,53,0.2663316582914573,146
USELESS_USDT_SWAP,2025-11-16 13:45:00+00:00,0.08766625126953587,0.01612006461857408,28,0.1407035175879397,171
FIL_USDT_SWAP,2025-10-07 14:15:00+00:00,0.03772193391534184,0.007273255150559266,57,0.2864321608040201,142
SUI_USDT_SWAP,2025-11-07 16:00:00+00:00,-0.025441994206479968,0.013053734012473226,38,0.19095477386934673,161
CRO_USDT_SWAP,2025-06-05 18:30:00+00:00,0.020909307867476024,0.004095802119811466,75,0.3768844221105528,124
EGLD_USDT_SWAP,2025-11-13 17:15:00+00:00,0.0526996668336841,0.010009009576582534,125,0.628140703517588,74
TRUST_USDT_SWAP,2025-11-16 11:30:00+00:00,0.05343873596418103,0.010145580210750498,125,0.628140703517588,74
BAT_USDT_SWAP,2025-07-01 03:00:00+00:00,0.020641123602827216,0.004054321492546717,112,0.5628140703517588,87
HOME_USDT_SWAP,2025-06-19 10:45:00+00:00,0.0367876940342724,0.007093385025890076,47,0.23618090452261306,152
OKB_USDT_SWAP,2025-10-16 15:00:00+00:00,0.03636988749728931,0.007019106085331312,153,0.7688442211055276,46
CHZ_USDT_SWAP,2025-07-28 14:45:00+00:00,0.03687006545257976,0.007116794781103371,44,0.22110552763819097,155
ONE_USDT_SWAP,2025-08-29 07:45:00+00:00,-0.0137872176967484,0.00699065071575337,56,0.2814070351758794,143
MUBARAK_USDT_SWAP,2026-04-02 02:45:00+00:00,0.03490434038550294,0.006727656819217702,73,0.36683417085427134,126
DOGE_USDT_SWAP,2025-11-07 15:30:00+00:00,-0.019931923216887526,0.01016864220407543,110,0.5527638190954773,89
BCH_USDT_SWAP,2025-11-14 11:00:00+00:00,-0.016104592721559285,0.008184097924649499,64,0.32160804020100503,135
GRT_USDT_SWAP,2026-03-18 12:00:00+00:00,0.02979969028146945,0.005791731775248382,171,0.8592964824120602,28
COAI_USDT_SWAP,2026-01-31 06:45:00+00:00,0.029773957587295063,0.005782620033828363,177,0.8894472361809045,22
JUP_USDT_SWAP,2025-07-09 06:45:00+00:00,-0.009942520267098631,0.005020032231258212,59,0.2964824120603015,140
ONDO_USDT_SWAP,2025-12-01 00:00:00+00:00,0.03781312004220494,0.007285587304517087,150,0.7537688442211056,49
UMA_USDT_SWAP,2025-11-29 11:30:00+00:00,-0.012804157011504724,0.006482144540601966,199,1.0,0
TRX_USDT_SWAP,2025-06-11 16:30:00+00:00,0.021879058960641906,0.004282572758249773,107,0.5376884422110553,92
SYRUP_USDT_SWAP,2026-05-01 09:15:00+00:00,-0.005020345631955969,0.0025228383364002227,143,0.7185929648241206,56
OL_USDT_SWAP,2026-05-29 16:30:00+00:00,-0.0326264389829638,0.016865604639861562,17,0.08542713567839195,182
STX_USDT_SWAP,2026-06-21 21:15:00+00:00,-0.008196518333378866,0.0041321282314947146,123,0.6180904522613065,76
WLFI_USDT_SWAP,2025-10-21 03:45:00+00:00,0.033173507201643915,0.006416755002486459,167,0.8391959798994975,32
MOVE_USDT_SWAP,2026-01-01 14:00:00+00:00,-0.006915955834681409,0.0034840864984221724,82,0.4120603015075377,117
SNX_USDT_SWAP,2025-11-02 06:15:00+00:00,-0.016053205347085986,0.00815755762116626,188,0.9447236180904522,11
SATS_USDT_SWAP,2025-11-28 22:30:00+00:00,0.02212138400453756,0.006177452060204515,48,0.24120603015075376,151
KSM_USDT_SWAP,2025-11-30 23:45:00+00:00,0.02756558391572894,0.005362696514463796,51,0.2562814070351759,148
MAGIC_USDT_SWAP,2026-01-10 21:00:00+00:00,0.022185832787712245,0.00434128014685723,75,0.3768844221105528,124
MSTR_USDT_SWAP,2026-03-04 09:15:00+00:00,-0.01422896228535886,0.007221746051328103,109,0.5477386934673367,90
