window_bars,n_owner,n_rule,owner_hit,rule_hit,jaccard_approx,owner_recall,rule_precision,median_abs_delta_on_owner_hits
0,1284,6213,76,76,0.0102,0.0592,0.0122,0.0
8,1284,6213,309,309,0.043,0.2407,0.0497,1.0
18,1284,6213,324,324,0.0452,0.2523,0.0521,1.0
48,1284,6213,351,373,0.0491,0.2734,0.06,2.0
