feature,gain,split
ext_up,954.8679747581482,32
pre_range48,606.4411907196045,28
pre_range168,553.8937892913818,33
atr_pct_ratio96,533.0075798034668,42
ma_spread_pct,322.7921314239502,22
close_vs_ema60,282.58841133117676,10
ret_48,266.6408052444458,20
spread_pos96,262.58015060424805,20
drawdown24,261.1913814544678,15
full_spread,256.6460590362549,20
slow_slope_12,238.56425762176514,18
fast_slow_gap,231.36907863616943,18
atr_pct,224.6272416114807,16
spread_mean24,205.4724097251892,18
vol_ratio_mean8,199.57308864593506,16
close_vs_ema120,193.68753814697266,15
full_ratio_min48,148.65815925598145,13
spread_mean8,144.3669090270996,12
spread_chg8,126.02770042419434,12
ret_12,113.4522590637207,9
ret_24,112.85631084442139,10
volume_z,106.55307102203369,10
ret_4,98.89360046386719,9
dense_frac48,95.23703002929688,8
spread_chg24,80.2543306350708,8
dense_run_len,76.21071910858154,7
volume_ratio,74.38426113128662,7
order_score,0.0,0
