window,n_owner,n_rule,owner_hit,rule_hit,owner_recall,rule_precision_vs_owner,jaccard_approx,entry
0,1284,6213,76,76,0.0592,0.0122,0.0102,spread_expand_chg8
8,1284,6213,309,309,0.2407,0.0497,0.043,spread_expand_chg8
18,1284,6213,324,324,0.2523,0.0521,0.0452,spread_expand_chg8
48,1284,6213,351,373,0.2734,0.06,0.0491,spread_expand_chg8
0,1284,156975,68,68,0.053,0.0004,0.0004,R1_stump
8,1284,156975,1246,1246,0.9704,0.0079,0.0079,R1_stump
18,1284,156975,1281,2546,0.9977,0.0162,0.0082,R1_stump
48,1284,156975,1284,4626,1.0,0.0295,0.0082,R1_stump
0,1284,72793,147,147,0.1145,0.002,0.002,R2_and3
8,1284,72793,1147,1147,0.8933,0.0158,0.0157,R2_and3
18,1284,72793,1219,1518,0.9494,0.0209,0.0167,R2_and3
48,1284,72793,1257,2385,0.979,0.0328,0.0173,R2_and3
0,1284,66865,200,200,0.1558,0.003,0.0029,R3_confirm
8,1284,66865,1146,1146,0.8925,0.0171,0.0171,R3_confirm
18,1284,66865,1212,1501,0.9439,0.0224,0.0181,R3_confirm
48,1284,66865,1249,2270,0.9727,0.0339,0.0187,R3_confirm
