feature,gain,split
atr_pct,68.46279907226562,2
ret_4,54.197999000549316,3
volume_ratio,52.09769821166992,1
vol_ratio_mean8,36.16659927368164,2
spread_chg8,28.0132999420166,2
ret_48,16.62929916381836,1
fast_slow_gap,14.535799980163574,1
ma_spread_pct,13.976400375366211,1
pre_range168,13.940400123596191,1
spread_pos96,0.0,0
dense_run_len,0.0,0
ret_24,0.0,0
ret_12,0.0,0
full_ratio_min48,0.0,0
drawdown24,0.0,0
pre_range48,0.0,0
atr_pct_ratio96,0.0,0
spread_mean8,0.0,0
spread_mean24,0.0,0
volume_z,0.0,0
spread_chg24,0.0,0
slow_slope_12,0.0,0
full_spread,0.0,0
close_vs_ema200,0.0,0
close_vs_ema55,0.0,0
ext_up,0.0,0
dense_frac48,0.0,0
order_score,0.0,0
