feature,gain,split
atr_pct,0.7408914272673428,32
ret_12,0.40009831078350544,25
pre_range168,0.3700441285036504,15
vol_ratio_mean8,0.2242862987332046,15
close_vs_ema200,0.2049564030021429,11
atr_pct_ratio96,0.19843403063714504,12
ret_4,0.19807176291942596,14
slow_slope_12,0.17752660065889359,8
volume_z,0.1528253285214305,8
drawdown24,0.1421227427199483,5
volume_ratio,0.1325608086772263,10
close_vs_ema55,0.11076312884688377,4
pre_range48,0.09670664928853512,6
full_ratio_min48,0.09333066083490849,4
ret_48,0.0912143001332879,4
spread_mean24,0.07276908960193396,6
spread_chg24,0.057017660699784756,5
ext_up,0.03063810057938099,2
spread_chg8,0.02627718960866332,3
ma_spread_pct,0.024398100562393665,2
spread_mean8,0.017686299979686737,1
fast_slow_gap,0.015408790204674006,2
full_spread,0.011697400361299515,1
spread_pos96,0.0068313200026750565,1
dense_frac48,0.0,0
dense_run_len,0.0,0
ret_24,0.0,0
order_score,0.0,0
