variant,side,n,win_rate_maker,mean_net_maker,pf_maker,pf_legacy_0.20,dir_rule
ctrl_fixed_long,long,16145,0.2961,-0.00083,0.877,0.712,fixed +1 at dense tip (run==5); no select
ctrl_fixed_long,short,0,,,,,fixed +1 at dense tip (run==5); no select
ctrl_fixed_long,both,16145,0.2961,-0.00083,0.877,0.712,fixed +1 at dense tip (run==5); no select
ctrl_fixed_short,long,0,,,,,fixed -1 at dense tip (run==5); no select
ctrl_fixed_short,short,16145,0.326,0.00041,1.064,0.865,fixed -1 at dense tip (run==5); no select
ctrl_fixed_short,both,16145,0.326,0.00041,1.064,0.865,fixed -1 at dense tip (run==5); no select
arrange_order_score,long,4807,0.2904,-0.00093,0.86,0.695,at tip: order_score>=3 and >down_order_score → +1; down_order_score>=3 and >order_score → -1; else skip
arrange_order_score,short,4627,0.3276,0.00071,1.112,0.905,at tip: order_score>=3 and >down_order_score → +1; down_order_score>=3 and >order_score → -1; else skip
arrange_order_score,both,9434,0.3087,-0.00012,0.981,0.796,at tip: order_score>=3 and >down_order_score → +1; down_order_score>=3 and >order_score → -1; else skip
range_break_n20,long,7286,0.3096,-0.00031,0.953,0.776,"after tip, first close>max(high[i-N:i]) → +1; close<min(low[i-N:i]) → -1; N=20; wait≤48"
range_break_n20,short,7829,0.3252,0.0004,1.062,0.866,"after tip, first close>max(high[i-N:i]) → +1; close<min(low[i-N:i]) → -1; N=20; wait≤48"
range_break_n20,both,15115,0.3177,6e-05,1.009,0.822,"after tip, first close>max(high[i-N:i]) → +1; close<min(low[i-N:i]) → -1; N=20; wait≤48"
spread_expand_chg8,long,5800,0.3012,-0.00079,0.896,0.746,"after tip, first fast_spread[i]-fast_spread[i-8] >= thr; dir = +1 if close>=cluster_mid else -1"
spread_expand_chg8,short,6202,0.3539,0.00169,1.244,1.037,"after tip, first fast_spread[i]-fast_spread[i-8] >= thr; dir = +1 if close>=cluster_mid else -1"
spread_expand_chg8,both,12002,0.3284,0.00049,1.067,0.889,"after tip, first fast_spread[i]-fast_spread[i-8] >= thr; dir = +1 if close>=cluster_mid else -1"
