panel,thr,gap,n_fires,is_base,lever,in_band
E3_count,0.00383,18,512,True,base,False
E3_count,0.00383,36,493,False,gap_only,False
E3_count,0.00383,48,483,False,gap_only,False
E3_count,0.00383,72,468,False,gap_only,False
E3_count,0.00383,96,446,False,gap_only,False
E3_count,0.005,18,425,False,thr_only,False
E3_count,0.005,36,416,False,joint,False
E3_count,0.005,48,412,False,joint,False
E3_count,0.005,72,405,False,joint,False
E3_count,0.005,96,390,False,joint,False
E3_count,0.006,18,364,False,thr_only,False
E3_count,0.006,36,361,False,joint,False
E3_count,0.006,48,361,False,joint,False
E3_count,0.006,72,355,False,joint,False
E3_count,0.006,96,341,False,joint,False
E3_count,0.0075,18,278,False,thr_only,False
E3_count,0.0075,36,276,False,joint,False
E3_count,0.0075,48,276,False,joint,False
E3_count,0.0075,72,275,False,joint,False
E3_count,0.0075,96,268,False,joint,False
E3_count,0.009,18,217,False,thr_only,False
E3_count,0.009,36,217,False,joint,False
E3_count,0.009,48,217,False,joint,False
E3_count,0.009,72,216,False,joint,False
E3_count,0.009,96,212,False,joint,False
E3_count,0.011,18,168,False,thr_only,False
E3_count,0.011,36,168,False,joint,False
E3_count,0.011,48,168,False,joint,False
E3_count,0.011,72,167,False,joint,False
E3_count,0.011,96,166,False,joint,False
E3_count,0.014,18,105,False,thr_only,False
E3_count,0.014,36,105,False,joint,False
E3_count,0.014,48,105,False,joint,False
E3_count,0.014,72,105,False,joint,False
E3_count,0.014,96,105,False,joint,False
E3_count,0.018,18,52,False,thr_only,False
E3_count,0.018,36,52,False,joint,False
E3_count,0.018,48,52,False,joint,False
E3_count,0.018,72,52,False,joint,False
E3_count,0.018,96,52,False,joint,False
