panel,thr,gap,n_fires,is_base,lever,in_band
E3_count,0.00383,18,6283,True,base,False
E3_count,0.00383,36,6081,False,gap_only,False
E3_count,0.00383,48,5927,False,gap_only,False
E3_count,0.00383,72,5680,False,gap_only,False
E3_count,0.00383,96,5497,False,gap_only,False
E3_count,0.005,18,5333,False,thr_only,False
E3_count,0.005,36,5243,False,joint,False
E3_count,0.005,48,5152,False,joint,False
E3_count,0.005,72,4999,False,joint,False
E3_count,0.005,96,4860,False,joint,False
E3_count,0.006,18,4530,False,thr_only,False
E3_count,0.006,36,4493,False,joint,False
E3_count,0.006,48,4434,False,joint,False
E3_count,0.006,72,4344,False,joint,False
E3_count,0.006,96,4234,False,joint,False
E3_count,0.0075,18,3654,False,thr_only,False
E3_count,0.0075,36,3640,False,joint,False
E3_count,0.0075,48,3615,False,joint,False
E3_count,0.0075,72,3565,False,joint,False
E3_count,0.0075,96,3495,False,joint,False
E3_count,0.009,18,2967,False,thr_only,False
E3_count,0.009,36,2963,False,joint,False
E3_count,0.009,48,2951,False,joint,False
E3_count,0.009,72,2927,False,joint,False
E3_count,0.009,96,2879,False,joint,False
E3_count,0.011,18,2229,False,thr_only,True
E3_count,0.011,36,2228,False,joint,True
E3_count,0.011,48,2226,False,joint,True
E3_count,0.011,72,2215,False,joint,True
E3_count,0.011,96,2196,False,joint,True
E3_count,0.014,18,1398,False,thr_only,True
E3_count,0.014,36,1397,False,joint,True
E3_count,0.014,48,1397,False,joint,True
E3_count,0.014,72,1396,False,joint,True
E3_count,0.014,96,1391,False,joint,True
E3_count,0.018,18,767,False,thr_only,False
E3_count,0.018,36,767,False,joint,False
E3_count,0.018,48,767,False,joint,False
E3_count,0.018,72,767,False,joint,False
E3_count,0.018,96,765,False,joint,False
