stage,factor,value,params_key,ma_profile,transition_min_votes,runner_buffer_atr,bank_total_fraction,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,p95_net_bp,positive_folds,total_folds,minimum_fold_events,signals_per_30d,runner_armed_events,runner_armed_share,top_decile_positive_pnl_share,robust_score_bp,eligible,stage_selected
1,ma_profile,ema20_sma50,4c60f02ee7d5,ema20_sma50,0,1.0,0.1,220,-10.801999487363036,-30.801999487363044,-60.81615705440597,0.22727272727272727,0.5013772755754876,-0.6090321934792068,-0.6090321934792068,21.0,116.55124201706867,645.1261365173161,0.31160391451518926,221.68258357592205,0,4,50,9.028727770177838,93,0.42272727272727273,0.7800520055264459,-39.87776074955841,True,False
1,ma_profile,ema30_sma60,2b531ffbf9f3,ema30_sma60,0,1.0,0.1,182,-2.323628653739128,-22.32362865373913,-65.13609525839846,0.2087912087912088,0.6375765668493572,-0.34117700538769913,-0.4675804960373835,20.5,132.0026400297184,811.3530622687604,0.3593083837736424,273.69915667331355,0,4,41,7.46922024623803,77,0.4230769230769231,0.8537624992829376,-24.086411359436767,True,True
1,ma_profile,ema40_sma80,b8ee18a016b4,ema40_sma80,0,1.0,0.1,154,9.027107167416336,-10.972892832583664,-64.50551137199554,0.19480519480519481,0.8282922549069645,-0.33170519206934446,-0.49467973433683,19.5,114.78233318433432,1144.5511683552302,0.37083748124172466,406.77704842637274,1,4,28,6.320109439124487,64,0.4155844155844156,0.9229557783990464,-31.96181393026972,True,False
2,transition_min_votes,0,2b531ffbf9f3,ema30_sma60,0,1.0,0.1,182,-2.323628653739128,-22.32362865373913,-65.13609525839846,0.2087912087912088,0.6375765668493572,-0.34117700538769913,-0.4675804960373835,20.5,132.0026400297184,811.3530622687604,0.3593083837736424,273.69915667331355,0,4,41,7.46922024623803,77,0.4230769230769231,0.8537624992829376,-24.086411359436767,True,False
2,transition_min_votes,1,9127e3160805,ema30_sma60,1,1.0,0.1,180,-2.325700303275487,-22.325700303275497,-65.13609525839846,0.20555555555555555,0.6373893417028237,-0.3395923548152726,-0.466299880638976,21.5,132.47561822520868,811.3530622687604,0.3498565009560659,274.1401671325111,0,4,41,7.387140902872777,76,0.4222222222222222,0.8451675473403089,-26.137392145753854,True,False
2,transition_min_votes,2,f4845e43087c,ema30_sma60,2,1.0,0.1,161,6.169942316598062,-13.830057683401941,-54.97436662640865,0.21739130434782608,0.7556397386737372,-0.202229348321732,-0.37260108604239384,22.0,149.24084066382414,811.3530622687604,0.3435601511265985,280.721376525001,0,4,35,6.607387140902873,73,0.453416149068323,0.8473305775710677,-18.27696448998819,True,True
3,runner_buffer_atr,0.75,aed51b86d8a8,ema30_sma60,2,0.75,0.1,161,2.182845628084162,-17.817154371915844,-54.97436662640865,0.2236024844720497,0.675827365252261,-0.38921447087839334,-0.38921447087839334,22.0,130.92881465647164,821.9396301766651,0.29830871664661224,260.5845691067355,0,4,35,6.607387140902873,73,0.453416149068323,0.8557063541081514,-25.78986433218602,True,False
3,runner_buffer_atr,1.0,f4845e43087c,ema30_sma60,2,1.0,0.1,161,6.169942316598062,-13.830057683401941,-54.97436662640865,0.21739130434782608,0.7556397386737372,-0.202229348321732,-0.37260108604239384,22.0,149.24084066382414,811.3530622687604,0.3435601511265985,280.721376525001,0,4,35,6.607387140902873,73,0.453416149068323,0.8473305775710677,-18.27696448998819,True,False
3,runner_buffer_atr,1.25,d2f792d02709,ema30_sma60,2,1.25,0.1,161,7.404223191518836,-12.595776808481165,-60.87843968494309,0.21739130434782608,0.7832969793906186,-0.18772374980442186,-0.35887250389730263,23.0,181.0764717049605,805.083853097084,0.4231850412136319,359.01289693923326,0,4,35,6.607387140902873,73,0.453416149068323,0.8444488492854142,-15.9302989417715,True,True
3,runner_buffer_atr,1.5,f2bdbf407c83,ema30_sma60,2,1.5,0.1,161,7.83210466877737,-12.167895331222633,-64.40851356167846,0.2236024844720497,0.793604385522675,-0.19125661535239968,-0.3598928992705621,23.0,192.79598697228096,821.5448860391917,0.41746803754481904,359.01289693923326,1,4,35,6.607387140902873,73,0.453416149068323,0.8312358281106217,-18.639981062420343,True,False
4,bank_total_fraction,0.05,7b4050e6ab60,ema30_sma60,2,1.25,0.05,161,7.434308323309068,-12.56569167669094,-63.08040542017996,0.2111801242236025,0.786374320913355,-0.18066391774475488,-0.3598908881571795,23.0,183.35869051193276,840.2537351536168,0.4246791684116315,360.2399397491311,0,4,35,6.607387140902873,73,0.453416149068323,0.8511857499258336,-15.647437786960026,True,False
4,bank_total_fraction,0.1,d2f792d02709,ema30_sma60,2,1.25,0.1,161,7.404223191518836,-12.595776808481165,-60.87843968494309,0.21739130434782608,0.7832969793906186,-0.18772374980442186,-0.35887250389730263,23.0,181.0764717049605,805.083853097084,0.4231850412136319,359.01289693923326,0,4,35,6.607387140902873,73,0.453416149068323,0.8444488492854142,-15.9302989417715,True,True
4,bank_total_fraction,0.15,f051c65e01a6,ema30_sma60,2,1.25,0.15,161,7.374138059728626,-12.625861940271381,-59.02100907394025,0.21739130434782608,0.7801893062991588,-0.19485850108652703,-0.35789392032062484,23.0,178.79425289798834,769.9139710405516,0.41211802859266383,357.7858541293355,0,4,35,6.607387140902873,73,0.453416149068323,0.8372770968391412,-16.219420602915505,True,False
